,x,y,z_test,z_pred
0,0.000122,0.702434,2.203883,2.241785
1,0.000275,0.564187,-1.001482,-0.411587
2,0.000290,0.851270,1.212519,1.285318
3,0.000381,0.499519,0.683685,0.731443
4,0.000534,0.566476,1.429622,1.533263
5,0.000595,0.205524,-0.540708,-0.582448
6,0.001495,0.640772,0.292544,-0.019680
7,0.001633,0.546563,-0.637183,-0.536586
8,0.001709,0.177707,0.080642,0.069585
9,0.001724,0.131380,0.865674,0.698103
10,0.001770,0.966445,-0.968268,-1.092271
11,0.001877,0.486259,1.058958,1.058201
12,0.001892,0.764782,-1.933963,-1.983285
13,0.002121,0.989181,-1.788462,-1.735141
14,0.002121,0.735348,1.398581,1.508784
15,0.002197,0.901732,-0.451295,-0.232945
16,0.002243,0.327398,-2.129231,-1.942501
17,0.002365,0.619745,-1.931732,-2.038322
18,0.002411,0.488594,1.022198,1.160167
19,0.002457,0.767132,-0.017192,-0.094338
20,0.002579,0.140383,-0.350494,-0.433657
21,0.002640,0.532235,0.031064,0.060065
22,0.002747,0.706233,2.286928,2.214291
23,0.002777,0.941726,-1.975041,-1.927195
24,0.002808,0.749248,-0.810475,-1.084325
25,0.002869,0.807309,-0.037620,0.034552
26,0.003189,0.343145,-0.676418,-0.307828
27,0.003265,0.204517,0.958843,0.868259
28,0.003464,0.049790,1.316442,1.418409
29,0.003632,0.701595,0.719503,0.680568
30,0.003738,0.337469,-0.490558,-0.462609
31,0.003769,0.688304,-1.181991,-1.174241
32,0.003784,0.922606,-0.683268,-0.877599
33,0.004135,0.779324,-0.937925,-0.974021
34,0.004242,0.009598,0.910711,0.844101
35,0.004364,0.490715,0.777275,0.672590
36,0.004486,0.985351,0.407875,0.429975
37,0.004623,0.713359,1.753904,2.057048
38,0.004715,0.977417,-0.714030,-0.583419
39,0.004791,0.519417,0.885429,0.915957
40,0.004791,0.187304,-0.991150,-1.050618
41,0.004822,0.204608,-1.499921,-1.644903
42,0.004837,0.307713,0.485509,0.390345
43,0.005097,0.524147,-0.845989,-0.800931
44,0.005173,0.887755,2.071492,1.953913
45,0.005310,0.445350,0.148831,0.313846
46,0.005341,0.530617,0.300884,0.467492
47,0.005341,0.302251,0.027563,0.018165
48,0.005371,0.605203,-0.414598,-0.500487
49,0.005509,0.437736,-1.131868,-1.227755
50,0.005509,0.044450,-0.390936,-0.351596
51,0.005524,0.070787,2.962597,3.003639
52,0.005539,0.560464,0.382650,0.473256
53,0.005783,0.982361,0.804717,0.843106
54,0.005844,0.283818,-0.598407,-0.565851
55,0.006302,0.092256,1.025451,0.669090
56,0.006378,0.617105,-1.504580,-1.445925
57,0.006561,0.800351,1.186633,1.206182
58,0.006699,0.405524,-2.338791,-2.367190
59,0.006836,0.849729,-1.233988,-1.296949
60,0.006882,0.782727,3.275108,3.305037
61,0.007141,0.166888,0.376040,0.548372
62,0.007141,0.315465,-0.222388,-0.242550
63,0.007355,0.668605,0.492883,0.528579
64,0.007538,0.195727,2.895584,2.846087
65,0.007553,0.458335,-0.866870,-0.982995
66,0.007584,0.120226,0.689464,0.643818
67,0.007599,0.924697,-1.952239,-1.959817
68,0.007706,0.186526,-0.486019,-0.503717
69,0.007706,0.499214,1.366268,1.356496
70,0.007752,0.033509,2.880545,2.838600
71,0.007767,0.419730,0.435763,0.406568
72,0.007904,0.336446,-0.604800,-0.739870
73,0.008240,0.218708,0.684781,0.734788
74,0.008255,0.463584,0.699540,0.699977
75,0.008286,0.440787,1.184797,1.056271
76,0.008408,0.709453,0.278832,0.235634
77,0.008652,0.734508,0.292208,0.273986
78,0.008698,0.897292,-0.916899,-0.936431
79,0.008713,0.711101,0.146808,0.133697
80,0.008881,0.414282,2.452133,2.384327
81,0.009201,0.753185,-0.130986,-0.151644
82,0.009232,0.770520,-0.315871,-0.296694
83,0.009308,0.271275,-0.710324,-0.757630
84,0.009354,0.024842,0.666903,0.532623
85,0.009461,0.281209,-0.200002,-0.181038
86,0.009461,0.136767,-1.878021,-2.180548
87,0.009567,0.420584,1.374803,1.272648
88,0.009842,0.058747,-1.527194,-1.440509
89,0.009857,0.173465,-0.724578,-0.647518
90,0.010208,0.674342,0.742266,0.868782
91,0.010224,0.142657,-0.298148,-0.252338
92,0.010376,0.306432,0.378719,0.397379
93,0.010895,0.561685,1.821484,1.744673
94,0.011276,0.037598,-0.522295,-0.528857
95,0.011322,0.494377,1.446288,1.455026
96,0.011398,0.219883,0.390078,0.261784
97,0.011475,0.041611,0.034442,0.011587
98,0.011551,0.518746,0.999239,1.005859
99,0.011566,0.369451,-0.070303,-0.150329
100,0.011673,0.264225,0.979980,0.775300
101,0.011719,0.730724,-1.257461,-0.822466
102,0.011795,0.955596,-1.460119,-1.420732
103,0.011887,0.021378,1.531766,1.495064
104,0.011887,0.174716,1.237914,1.307897
105,0.012207,0.603494,2.620527,2.369585
106,0.012467,0.323598,0.468115,0.446334
107,0.012573,0.536446,1.567819,1.370826
108,0.012573,0.841550,-0.768356,-0.585459
109,0.012573,0.549630,-1.899590,-1.768611
110,0.012787,0.701442,1.465263,1.405915
111,0.013153,0.919112,0.044947,0.013040
112,0.013169,0.567376,1.763877,1.806144
113,0.013245,0.030610,0.664334,0.597621
114,0.013397,0.439780,-1.111609,-1.055755
115,0.013443,0.429175,1.498920,1.474735
116,0.013519,0.944503,2.320676,2.434302
117,0.013565,0.862211,0.787550,0.976138
118,0.013764,0.737682,0.514379,0.502075
119,0.014191,0.395850,0.576067,0.591501
120,0.014252,0.802396,1.621359,0.790599
121,0.014313,0.421180,-0.541061,-0.561315
122,0.014374,0.310277,0.755680,0.846806
123,0.014374,0.272496,0.971704,0.930675
124,0.014389,0.579767,0.045544,0.023040
125,0.014405,0.392432,2.034435,2.022140
126,0.014420,0.419837,1.763425,1.975640
127,0.014466,0.530770,0.214041,0.233664
128,0.014466,0.173205,1.227811,1.137388
129,0.014481,0.967330,1.080946,1.081785
130,0.014603,0.659541,0.268600,0.267132
131,0.014618,0.257771,0.161458,0.204767
132,0.014694,0.079316,-1.029045,-0.896251
133,0.014771,0.942397,-1.057532,-1.114777
134,0.015229,0.818219,-0.209428,-0.079293
135,0.015640,0.650599,1.093617,1.244046
136,0.015885,0.863615,-1.089842,-0.861285
137,0.015885,0.192737,1.403021,1.439837
138,0.015885,0.672251,0.130187,0.281213
139,0.016098,0.833265,0.825981,0.877515
140,0.016266,0.450492,2.191542,2.083051
141,0.016327,0.031830,-2.075989,-1.997696
142,0.016358,0.063706,-0.246061,-0.092183
143,0.016358,0.697230,-0.733072,-0.738758
144,0.016480,0.925246,0.915522,0.976723
145,0.016510,0.254414,-0.550231,-0.590898
146,0.016556,0.728618,1.365202,1.318294
147,0.016571,0.615412,1.412160,1.435666
148,0.016602,0.829664,0.868159,0.933029
149,0.016876,0.010712,-1.152568,-1.088952
150,0.017166,0.841215,0.368858,0.584432
151,0.017227,0.465507,-1.646152,-1.632067
152,0.017258,0.309499,0.199212,0.470022
153,0.017258,0.880369,0.289215,0.342490
154,0.017288,0.536461,0.619079,0.492153
155,0.017304,0.573861,-0.240845,-0.283508
156,0.017380,0.691295,-0.998209,-0.981069
157,0.017380,0.227253,-0.874994,-0.884604
158,0.017456,0.800702,-1.062448,-1.136146
159,0.017456,0.101183,-1.246342,-1.212602
160,0.017716,0.288899,-0.622762,-0.550644
161,0.017762,0.372305,1.426411,1.235636
162,0.017762,0.582132,0.891085,0.765843
163,0.017838,0.779202,-0.624608,-0.683797
164,0.018143,0.304601,-0.042238,-0.100870
165,0.018235,0.296880,-1.019100,-0.891868
166,0.018265,0.003571,0.465628,0.600491
167,0.018280,0.253407,-0.570683,-0.529464
168,0.018387,0.690440,-0.719677,-0.778521
169,0.018418,0.668223,-0.695300,-0.683826
170,0.018448,0.830457,-0.228659,-0.260639
171,0.018692,0.870451,-0.406419,-0.402492
172,0.018845,0.420294,-1.210960,-1.533944
173,0.019120,0.070741,-0.244268,-0.170314
174,0.019165,0.287877,-0.420714,-0.561604
175,0.019181,0.235828,0.599531,0.605914
176,0.019394,0.997345,0.566732,0.637304
177,0.019425,0.474739,-1.224960,-1.201148
178,0.019471,0.346288,-0.158140,-0.251327
179,0.019516,0.548241,1.005460,1.140875
180,0.019623,0.183429,-1.573355,-1.530646
181,0.019638,0.593439,-0.768254,-0.837143
182,0.019776,0.250599,2.153163,2.107693
183,0.019821,0.602319,0.758836,0.790350
184,0.019898,0.629511,-1.419148,-1.453598
185,0.020172,0.322820,0.440555,0.583840
186,0.020188,0.316701,-1.783231,-1.806046
187,0.020264,0.160342,0.093770,0.172309
188,0.020340,0.935561,-0.645369,-0.715809
189,0.020356,0.957504,-1.148079,-1.115929
190,0.020356,0.698528,1.160023,1.140937
191,0.020371,0.737713,0.527732,0.564979
192,0.020676,0.025803,-0.783830,-0.811926
193,0.020783,0.138430,-1.105314,-0.996217
194,0.020829,0.569574,-0.167376,-0.109000
195,0.021103,0.951720,-1.351819,-1.443024
196,0.021164,0.610758,-0.903531,-0.697626
197,0.021195,0.998169,1.080106,0.996647
198,0.021347,0.624231,-1.885737,-1.904633
199,0.021378,0.387808,-0.544455,-0.590453
200,0.021622,0.284291,0.270320,0.596433
201,0.021729,0.455482,-0.102545,-0.130823
202,0.021820,0.245411,-1.917441,-1.670119
203,0.021836,0.520760,-0.413389,-0.457218
204,0.021866,0.203571,1.978967,1.733860
205,0.022278,0.122728,-0.894119,-0.830763
206,0.022385,0.190829,-0.376908,-0.360398
207,0.022416,0.918303,-1.630352,-1.658139
208,0.022507,0.921248,-0.099373,0.076151
209,0.022507,0.886870,2.205669,2.226129
210,0.022522,0.130785,0.387895,0.396801
211,0.022629,0.337636,-1.301248,-1.295381
212,0.022705,0.828717,-0.516331,-0.434100
213,0.022766,0.460365,2.446526,2.269633
214,0.022858,0.728161,0.372522,0.448912
215,0.023545,0.862165,0.598563,0.673997
216,0.023621,0.974487,1.319045,1.304803
217,0.023636,0.090455,0.787697,0.634651
218,0.023728,0.011307,-0.799408,-0.883802
219,0.023758,0.875349,0.986251,1.003831
220,0.024552,0.501472,-0.076235,-0.077395
221,0.024598,0.050309,1.032278,1.163638
222,0.024750,0.892592,2.897594,2.669367
223,0.024842,0.556115,-0.862560,-0.873575
224,0.025177,0.542809,-0.666373,-0.674262
225,0.025360,0.891539,0.086155,0.119396
226,0.025406,0.474510,-2.207784,-2.189159
227,0.025437,0.269276,1.227364,1.229931
228,0.025498,0.619257,0.677921,0.687562
229,0.025650,0.187213,-0.428093,-0.501327
230,0.025757,0.691279,-2.040148,-1.636966
231,0.025849,0.987900,0.738676,0.511569
232,0.025849,0.991333,-2.577838,-2.642011
233,0.025879,0.881773,-0.896258,-0.986130
234,0.026200,0.781186,-0.062069,-0.011700
235,0.026230,0.070283,-1.041940,-0.938514
236,0.026352,0.496132,-0.731221,-0.529464
237,0.026459,0.743313,-1.076780,-1.137141
238,0.026566,0.805524,-0.716878,-0.864150
239,0.026658,0.555245,0.763171,0.740664
240,0.026886,0.386740,0.473513,0.467835
241,0.026902,0.989151,0.067279,0.047379
242,0.027573,0.595636,-2.424556,-2.622444
243,0.027787,0.011673,-0.120698,0.003171
244,0.027817,0.324804,-1.646755,-1.971555
245,0.027848,0.005570,-0.541934,-0.553263
246,0.028138,0.606470,0.116572,0.180216
247,0.028183,0.795804,0.512719,0.484530
248,0.028305,0.540169,-0.203751,-0.235009
249,0.029252,0.581216,1.244356,0.993072
250,0.029297,0.954299,1.069557,1.302238
251,0.029297,0.276234,1.457702,1.438928
252,0.029343,0.502159,0.092197,0.078109
253,0.029435,0.013474,0.706868,0.792145
254,0.029572,0.560647,1.448567,1.370550
255,0.029587,0.995727,0.134972,0.190210
256,0.029694,0.475639,0.573175,0.535184
257,0.029801,0.245151,0.424269,0.097490
258,0.029831,0.583215,-0.443895,-0.460255
259,0.029847,0.948836,-2.266593,-2.054376
260,0.029877,0.679301,0.188840,0.249634
261,0.030198,0.220661,-0.603267,-0.570690
262,0.030198,0.271244,-0.339907,-0.374202
263,0.030533,0.973434,1.153417,1.055738
264,0.030640,0.960113,0.567131,0.560384
265,0.030777,0.816388,-0.521351,-0.355834
266,0.030808,0.626734,0.130959,0.136026
267,0.030884,0.151415,0.415058,0.389130
268,0.030900,0.353216,-0.830570,-0.714573
269,0.031113,0.760800,1.036048,0.533110
270,0.031128,0.471214,0.387694,0.435126
271,0.031174,0.076219,-1.640980,-1.321526
272,0.031250,0.432441,-0.676981,-0.487337
273,0.031296,0.454765,-1.387219,-1.381764
274,0.031571,0.827680,-0.457016,-0.440465
275,0.031617,0.706310,-1.633886,-1.607009
276,0.031617,0.052735,1.130866,1.154713
277,0.031662,0.237842,-0.907071,-0.882130
278,0.031693,0.911788,-1.494249,-1.601174
279,0.031846,0.224445,-0.369586,-0.369074
280,0.031876,0.123613,-1.703885,-1.700461
281,0.032120,0.368215,-0.993299,-1.001377
282,0.032136,0.333791,2.203799,2.155789
283,0.032166,0.327504,0.452224,0.482876
284,0.032227,0.606531,-1.973420,-2.142858
285,0.032242,0.350271,-0.043066,-0.086384
286,0.032273,0.132570,1.031899,0.981987
287,0.032273,0.828870,0.566341,0.584105
288,0.032639,0.763577,-0.745726,-0.693666
289,0.032700,0.313817,1.584238,1.374506
290,0.032898,0.195239,1.307998,1.279127
291,0.033112,0.584680,-2.251559,-2.194855
292,0.033371,0.192828,0.289539,0.262317
293,0.033402,0.204196,-2.896059,-2.917363
294,0.033463,0.638773,-0.456023,-0.545411
295,0.033509,0.343130,1.805538,1.849425
296,0.033631,0.534676,1.691418,1.733052
297,0.033646,0.154452,-0.004772,-0.036568
298,0.033692,0.940291,1.080448,1.018531
299,0.033768,0.580194,-0.544770,-0.568675
300,0.033890,0.958648,-0.947123,-1.065711
301,0.034104,0.887327,0.594346,0.015277
302,0.034134,0.600519,-0.230749,-0.291515
303,0.034363,0.992126,1.358437,1.374881
304,0.034455,0.879194,-0.383625,-0.457238
305,0.034684,0.673533,0.002398,-0.261798
306,0.034730,0.018387,-0.891900,-0.933019
307,0.034821,0.027176,-1.837219,-1.831041
308,0.035157,0.935515,-0.432070,-0.453611
309,0.035218,0.002380,2.283926,2.092149
310,0.035279,0.171847,-1.642482,-1.625557
311,0.035325,0.654627,1.176087,1.169556
312,0.035370,0.819501,1.705622,1.708535
313,0.035492,0.156497,-1.132705,-1.100971
314,0.035615,0.513619,-0.924696,-0.909819
315,0.035645,0.466163,0.017770,-0.041306
316,0.035676,0.875593,1.597013,1.516661
317,0.035813,0.254841,-1.579553,-1.572378
318,0.035859,0.723156,-0.552997,-0.601872
319,0.035874,0.498436,0.153315,0.099556
320,0.035889,0.121248,1.762810,1.888963
321,0.036164,0.253513,-0.934543,-0.965582
322,0.036210,0.654810,-0.838823,-0.876039
