,x,y,z_test,z_pred
0,0.000198,0.414801,0.401086,0.341026
1,0.000229,0.320333,-0.519658,-0.453904
2,0.000259,0.827756,-2.470510,-2.408129
3,0.000275,0.306584,1.198561,1.676045
4,0.000381,0.536843,-0.625698,-0.817029
5,0.000473,0.155779,1.295111,1.516793
6,0.000473,0.903334,0.896224,0.624011
7,0.000488,0.736278,-0.887777,-0.854825
8,0.000519,0.577813,0.024473,0.170022
9,0.000702,0.929519,-1.397143,-1.485710
10,0.000793,0.325597,2.898742,3.011232
11,0.001328,0.525628,-1.644748,-1.735373
12,0.001434,0.948302,0.215795,0.139308
13,0.001526,0.922728,0.710563,0.674387
14,0.001709,0.431174,1.130664,1.091622
15,0.001709,0.132769,0.979861,0.968491
16,0.001770,0.237461,-1.215353,-0.995154
17,0.001877,0.672419,-0.141389,-0.198804
18,0.002106,0.496300,-0.338827,-0.231821
19,0.002152,0.785382,-0.019902,0.085969
20,0.002228,0.911742,-0.834569,-0.869447
21,0.002274,0.882399,-1.214225,-1.006472
22,0.002365,0.447761,0.837739,0.735209
23,0.002533,0.784741,0.238426,0.277877
24,0.002594,0.664851,-0.308029,-0.197221
25,0.002777,0.663569,2.299625,2.237204
26,0.002853,0.769757,-1.574185,-1.234206
27,0.003113,0.474449,1.031154,0.815688
28,0.003174,0.357443,1.851595,1.658560
29,0.003174,0.388373,-0.175211,-0.113795
30,0.003250,0.024430,-1.805518,-1.763927
31,0.003571,0.347860,1.932147,2.097763
32,0.003586,0.307210,0.110267,0.142679
33,0.003738,0.304417,-1.047465,-0.773388
34,0.003754,0.158312,1.225856,1.253926
35,0.004318,0.718410,0.693189,0.749668
36,0.004395,0.289647,1.284710,0.950921
37,0.004547,0.466575,1.785622,1.953016
38,0.004562,0.831266,-0.615174,-0.685717
39,0.004623,0.713359,-0.446805,-0.406155
40,0.004761,0.058213,1.276584,1.440000
41,0.004837,0.748714,2.836702,2.826080
42,0.005386,0.497673,-0.147853,0.000649
43,0.005554,0.979660,-2.153988,-2.109518
44,0.005600,0.065171,2.059871,2.019672
45,0.005722,0.074693,-0.386798,-0.424573
46,0.005768,0.590341,0.448330,0.326991
47,0.005768,0.165682,0.165007,0.097769
48,0.005844,0.670527,1.677856,1.707816
49,0.006134,0.416754,1.379907,1.390022
50,0.006149,0.029648,-1.674791,-1.845859
51,0.006226,0.212573,-2.007220,-2.068918
52,0.006256,0.776608,0.096349,0.198678
53,0.006317,0.199802,0.196964,0.134022
54,0.006470,0.950698,-0.576292,-0.791574
55,0.006668,0.382284,-0.887257,-0.836622
56,0.006851,0.771832,1.198375,1.425236
57,0.007218,0.595789,-1.514074,-1.211848
58,0.007279,0.494423,-0.610977,-0.698666
59,0.007416,0.968170,0.956107,0.891494
60,0.007507,0.057328,0.311020,0.247468
61,0.007614,0.731380,-1.725833,-1.811547
62,0.007691,0.921660,1.984713,1.981105
63,0.008103,0.269856,0.112966,0.006283
64,0.008164,0.778805,0.787477,0.794024
65,0.008301,0.536767,-2.740566,-2.730066
66,0.008392,0.717617,-1.995465,-1.854360
67,0.008423,0.486229,0.340262,0.322941
68,0.008423,0.722744,-0.844182,-0.864886
69,0.008530,0.922438,-0.994067,-0.994360
70,0.008606,0.066499,-0.592362,-0.590836
71,0.008774,0.203143,-1.161179,-1.442586
72,0.008804,0.881529,-0.526281,-0.104285
73,0.009201,0.616297,0.471039,0.371305
74,0.009247,0.849531,-1.384500,-1.212976
75,0.009293,0.973129,0.416706,0.741359
76,0.009308,0.354376,2.824739,2.825896
77,0.009567,0.708751,-2.210138,-2.248488
78,0.009583,0.479759,-0.993888,-0.998648
79,0.009720,0.006760,1.225948,1.241335
80,0.009796,0.705165,-0.100052,0.168920
81,0.010101,0.720363,-0.770413,-0.835354
82,0.010163,0.456367,-0.910374,-1.188022
83,0.010178,0.638788,-1.682228,-1.656494
84,0.010300,0.827695,0.871207,0.895176
85,0.010330,0.197452,0.717535,0.474230
86,0.010346,0.068345,1.413800,1.408689
87,0.010391,0.586297,1.481179,1.483088
88,0.010391,0.671107,-0.974952,-0.968026
89,0.010391,0.216770,0.727892,0.519263
90,0.010529,0.715435,-0.799135,-0.836380
91,0.010620,0.028229,0.540919,0.601824
92,0.010742,0.710246,-0.420187,-0.398688
93,0.011185,0.315129,2.076615,2.194343
