,x,y,z_test,z_pred
0,0.000153,0.208179,1.160721,0.958300
1,0.000305,0.866209,-0.712055,-0.545998
2,0.000351,0.629404,-1.369694,-0.631392
3,0.000381,0.213748,-1.982375,-1.743045
4,0.000443,0.725353,-0.345707,-1.068076
5,0.000473,0.198718,0.075440,0.680245
6,0.000519,0.604364,-1.571316,-1.639856
7,0.000809,0.248249,-0.042310,0.173249
8,0.000824,0.865812,1.945701,1.889751
9,0.000839,0.995300,0.840800,0.656714
10,0.001099,0.959670,0.308164,0.055694
11,0.001175,0.648386,2.683513,2.435943
12,0.001175,0.282750,0.281953,0.875252
13,0.001312,0.449256,0.245024,0.607925
14,0.001465,0.102693,0.072468,-0.129217
15,0.001587,0.680217,-0.716288,-1.066241
16,0.001633,0.841627,1.176579,1.390537
17,0.001633,0.546563,0.355217,0.391879
18,0.001678,0.372152,-1.229808,-0.986660
19,0.001770,0.537697,0.469017,0.301525
20,0.002167,0.417212,-0.052924,0.358810
21,0.002243,0.353613,-0.490843,-0.311271
22,0.002274,0.877379,-0.583900,-1.478108
23,0.002289,0.003281,0.636895,1.331291
24,0.002350,0.439155,-0.291258,-0.096021
25,0.002365,0.274250,-1.752067,-1.707293
26,0.003128,0.100465,-0.170096,0.283335
27,0.003128,0.804746,-1.236379,-1.458976
28,0.003296,0.635904,-0.422987,-0.320018
29,0.003677,0.440345,1.822300,2.107716
30,0.003738,0.909514,1.158726,1.011283
31,0.003876,0.603265,-0.125224,0.133473
32,0.003891,0.987213,-0.841048,-0.728594
33,0.004288,0.862364,-0.391824,-0.040367
34,0.004395,0.004761,1.075044,2.072348
35,0.004486,0.010513,-0.979740,-0.665532
36,0.004639,0.211170,-0.350756,-0.613770
37,0.004776,0.906630,1.886971,1.706884
38,0.004791,0.641855,-0.296503,-0.648898
39,0.005158,0.881483,-0.274492,0.777307
40,0.005249,0.142245,-0.134867,0.258720
41,0.005386,0.563867,-1.315724,-2.353939
42,0.005478,0.933364,-0.678173,-0.845192
43,0.005600,0.288197,-0.152982,0.545729
44,0.005615,0.663188,0.304079,0.240696
45,0.005631,0.227176,-0.737517,-0.852024
46,0.005783,0.982361,1.634771,1.546091
47,0.005844,0.581308,-0.367304,-0.586198
48,0.006241,0.081712,-1.751750,-1.482796
49,0.006455,0.010101,-0.280577,-0.056096
50,0.006607,0.439719,-0.759376,-0.480408
51,0.006622,0.218677,0.354634,0.948346
52,0.006699,0.534249,0.392944,0.405373
53,0.006897,0.249714,-0.630943,-0.601683
54,0.007294,0.187228,1.144645,0.866683
55,0.007446,0.778439,-1.080998,-0.975266
56,0.007477,0.074235,-1.575809,-1.732628
57,0.007507,0.670466,-1.499972,-1.191181
58,0.007507,0.652094,-1.806323,-1.842487
59,0.007752,0.051881,-1.139355,-0.907943
60,0.007813,0.665599,-0.423030,-0.395981
61,0.007843,0.856703,-2.893183,-2.793685
62,0.008194,0.262272,0.092576,0.167941
63,0.008209,0.665660,1.685123,1.489276
64,0.008362,0.140612,1.860678,1.505413
65,0.008392,0.855451,-0.322516,0.317045
66,0.008392,0.800534,2.301623,1.649285
67,0.008438,0.331823,-1.880682,-2.370916
68,0.008453,0.351522,2.393719,1.874500
69,0.008453,0.869749,-0.516208,-2.373901
70,0.008515,0.894423,-0.768621,-1.043142
71,0.008698,0.152529,0.357334,0.340307
72,0.008713,0.444175,0.602707,0.472486
