,x,y,z_test,z_pred
0,0.000198,0.872374,-0.621036,-0.623035
1,0.000305,0.280430,-1.135500,-1.229732
2,0.000427,0.890684,-1.778798,-1.768093
3,0.000443,0.516182,-0.617990,-0.624401
4,0.000504,0.714611,-0.100792,-0.080904
5,0.000519,0.077165,-1.815177,-1.826964
6,0.000702,0.798322,-0.755170,-0.825596
7,0.000717,0.940520,0.702585,0.691032
8,0.000809,0.654353,1.247979,1.232477
9,0.000870,0.045563,-0.791693,-0.804931
10,0.001190,0.729427,1.585854,1.588837
11,0.001419,0.771633,0.745560,0.744407
12,0.001465,0.821408,0.693660,0.700079
13,0.001480,0.798611,-0.105394,-0.130327
14,0.001526,0.204273,0.870579,0.847295
15,0.001541,0.531426,1.201633,1.194790
16,0.001572,0.685771,-0.023123,-0.013749
17,0.001678,0.576349,-1.033461,-1.030078
18,0.001709,0.981277,-0.274329,-0.253957
19,0.002197,0.445228,1.049386,1.036946
20,0.002197,0.250278,1.172667,1.241993
21,0.002243,0.703868,-0.332128,-0.321543
22,0.002274,0.928893,0.605775,0.607972
23,0.002350,0.794629,0.309681,0.311435
24,0.002365,0.123339,1.011297,1.030123
25,0.002487,0.753826,-0.695218,-0.692905
26,0.002701,0.933532,3.380934,3.368537
27,0.002777,0.837156,0.818492,0.850012
28,0.002884,0.953765,-1.569152,-1.530767
29,0.003098,0.089540,-0.945727,-0.925128
30,0.003326,0.972244,0.187556,0.179841
31,0.003418,0.131167,-1.496019,-1.442169
32,0.003494,0.501472,1.166055,1.154881
33,0.003555,0.208118,0.010230,-0.004975
34,0.003555,0.867124,1.333139,1.324472
35,0.003571,0.060670,-0.842524,-0.824940
36,0.003601,0.561852,0.690907,0.686454
37,0.003738,0.532769,0.391455,0.380880
38,0.003769,0.848859,-2.190136,-2.189461
39,0.003845,0.207324,-0.237395,-0.176220
40,0.004135,0.256382,2.288089,2.307410
41,0.004257,0.963851,0.182880,0.209730
42,0.004303,0.752438,0.630594,0.653576
43,0.004532,0.921691,1.035098,1.031869
44,0.004669,0.183490,-1.342212,-1.324126
45,0.004685,0.447486,1.619709,1.646570
46,0.004822,0.934127,0.341969,0.353544
47,0.004822,0.823239,-0.211983,-0.224580
48,0.005097,0.627741,1.951082,1.959197
49,0.005203,0.929290,1.476800,1.434668
50,0.005219,0.714809,0.193521,0.200559
51,0.005371,0.321645,0.186210,0.366004
52,0.005432,0.878325,0.163296,0.146567
53,0.005524,0.609354,0.999519,1.011856
54,0.005692,0.499626,-1.799409,-1.817592
55,0.005722,0.074693,-0.653633,-0.614631
56,0.005798,0.814252,0.008348,-0.045092
57,0.006134,0.473350,1.093116,1.093211
58,0.006134,0.513222,0.675053,0.718581
59,0.006394,0.712810,-2.336309,-2.355946
60,0.006622,0.596857,0.494942,0.479262
61,0.006668,0.970153,-1.270954,-1.324184
62,0.006821,0.761120,-0.160208,-0.162402
63,0.007095,0.501732,0.201179,0.219064
64,0.007111,0.099580,-1.008275,-0.892192
65,0.007538,0.382544,0.062124,0.076640
66,0.007584,0.614893,-1.485352,-1.490956
67,0.007797,0.764157,-0.779339,-0.786955
68,0.008133,0.301839,-0.088697,-0.088078
69,0.008164,0.092561,-2.072894,-2.083466
70,0.008255,0.926635,0.327029,0.366381
71,0.008255,0.113848,1.550411,1.543332
72,0.008286,0.864469,-0.705815,-0.761483
73,0.008301,0.607706,0.209165,0.218382
74,0.008347,0.587549,-1.574780,-1.595144
75,0.008515,0.707271,0.506938,0.610613
