,x,y,z_test,z_pred
0,0.000107,0.930846,1.070094,1.072851
1,0.000183,0.942458,1.848791,1.824129
2,0.000397,0.660853,-0.242400,-0.237332
3,0.000519,0.429236,1.940512,1.851639
4,0.000610,0.106279,-0.814505,-0.828108
5,0.000717,0.462119,-0.006721,-0.019572
6,0.000824,0.251255,-1.494577,-1.589221
7,0.000839,0.826658,0.407950,0.440542
8,0.000900,0.084138,0.309799,0.325513
9,0.001450,0.817792,1.255261,1.284387
10,0.001511,0.712718,-1.495720,-1.526413
11,0.001572,0.337224,1.175432,1.155778
12,0.001694,0.790188,0.727127,0.704569
13,0.001877,0.378332,1.070164,1.041309
14,0.002136,0.435203,-1.266014,-1.230334
15,0.002167,0.604425,-0.786346,-0.774130
16,0.002197,0.364691,1.160018,1.236015
17,0.002213,0.534524,-0.874698,-0.852489
18,0.002228,0.871107,-0.525491,-0.443143
19,0.002319,0.914183,1.485632,1.444208
20,0.002441,0.478569,1.832071,1.891902
21,0.002441,0.800458,-0.036842,-0.063234
22,0.002640,0.034623,0.111197,0.082818
23,0.002701,0.509880,-0.615678,-0.610147
24,0.002762,0.548852,0.330759,0.337640
25,0.002808,0.740276,-0.782889,-0.772115
26,0.002884,0.834760,-0.329143,-0.280304
27,0.003159,0.834134,0.870609,0.939593
28,0.003189,0.919646,-0.972008,-1.025544
29,0.003189,0.988571,0.471670,0.317659
30,0.003281,0.673487,0.813986,0.813528
31,0.003510,0.691463,0.234452,0.273905
32,0.003784,0.084230,0.944635,0.967335
33,0.004135,0.495537,1.500324,1.466555
34,0.004150,0.936156,-0.259456,-0.226543
35,0.004288,0.348516,1.926355,1.930382
36,0.004532,0.279469,-0.625440,-0.577293
37,0.004547,0.042405,0.948731,0.906377
38,0.004593,0.397330,-1.679827,-1.730184
39,0.004654,0.652155,-2.042816,-2.027960
40,0.004761,0.600732,-1.115592,-1.097677
41,0.004776,0.593423,-0.492841,-0.493157
42,0.004807,0.889830,0.611812,0.597078
43,0.005280,0.047776,1.010796,1.003061
44,0.005295,0.166552,-0.601433,-0.640437
45,0.005386,0.225772,-1.825389,-1.857976
46,0.005585,0.874525,-0.000694,-0.024594
47,0.005646,0.575540,1.736804,1.733152
48,0.005753,0.758495,0.673478,0.651404
49,0.005783,0.301747,-1.242098,-1.226510
50,0.005859,0.019806,1.121793,1.071387
51,0.006149,0.029648,-1.560092,-1.724567
52,0.006363,0.675242,0.793501,0.806696
53,0.006378,0.680858,0.720041,0.610026
54,0.006394,0.096712,0.884479,0.902511
55,0.006561,0.318730,0.813626,0.802637
56,0.007111,0.631815,1.581967,1.610683
57,0.007187,0.233371,0.092641,0.065568
58,0.007385,0.347448,-0.094222,-0.092006
59,0.007401,0.216724,2.258601,2.273526
60,0.007630,0.539330,0.797748,0.758001
61,0.007706,0.635401,0.560325,0.643376
62,0.007782,0.825467,-3.056464,-3.038737
63,0.007828,0.971099,0.137752,0.168231
64,0.008164,0.718120,0.885756,0.833220
65,0.008316,0.905562,-0.523056,-0.455778
66,0.008484,0.555398,2.196924,2.059831
67,0.008530,0.264637,-1.862079,-1.867579
68,0.008530,0.135836,1.000138,1.006349
69,0.008698,0.768338,-0.572239,-0.646564
70,0.008698,0.235813,-2.573239,-2.533962
71,0.009155,0.805722,-0.243985,-0.240564
72,0.009277,0.817136,0.956342,0.883687
73,0.009323,0.319234,-0.782291,-0.942799
74,0.009339,0.511727,-1.192434,-1.194763
75,0.009506,0.205539,-0.194119,-0.132980
76,0.009644,0.311757,-2.044287,-2.130564
77,0.009689,0.772854,-0.759847,-0.743529
78,0.009751,0.729397,1.464334,1.470073
79,0.009857,0.754788,0.832940,0.885993
80,0.010147,0.221607,0.272321,0.274712
81,0.010208,0.193256,1.211563,1.157525
82,0.010315,0.317861,0.094360,0.110843
83,0.010376,0.369772,0.104151,0.027702
84,0.010407,0.882811,0.564617,0.583258
85,0.010513,0.101274,-0.020115,-0.020561
86,0.010529,0.708370,0.032034,0.024415
87,0.010529,0.512535,1.039923,1.058710
88,0.010636,0.623606,-1.428874,-1.444173
89,0.010697,0.759289,-1.170119,-1.190916
90,0.010742,0.684489,-0.326617,-0.319322
91,0.010849,0.499229,-0.250899,-0.262541
92,0.011353,0.809522,-0.733026,-0.741575
93,0.011505,0.641138,0.280921,0.302566
94,0.011521,0.124743,1.041671,1.061799
95,0.011688,0.108522,1.052913,1.053237
96,0.011795,0.796445,-0.461608,-0.459286
97,0.011795,0.287861,0.435378,0.379495
98,0.011841,0.574517,0.700180,0.719065
99,0.011872,0.850858,-1.068748,-1.068764
100,0.012131,0.899519,-1.282396,-1.238482
101,0.012284,0.856367,0.827740,0.840914
102,0.012375,0.685893,-0.973094,-0.979114
103,0.012543,0.778790,1.813509,1.792538
104,0.012634,0.324697,1.789152,1.800116
105,0.013153,0.433753,1.747956,1.756776
106,0.013306,0.734508,0.126278,0.124910
107,0.013336,0.040482,-0.323224,-0.327259
108,0.013367,0.877745,0.274477,0.233680
109,0.013382,0.012665,-2.501259,-2.477825
110,0.013397,0.029847,1.210575,1.255671
111,0.013413,0.380270,0.317656,0.270044
112,0.013413,0.344869,0.414963,0.442568
113,0.013474,0.497139,-0.169773,-0.200355
114,0.013581,0.934340,-0.737506,-0.736880
115,0.013764,0.706828,-1.115239,-1.162842
116,0.013779,0.617884,0.081671,0.179274
117,0.013779,0.893751,0.134583,0.217827
118,0.013779,0.783612,0.470265,0.427128
119,0.013855,0.958206,1.389358,1.341573
120,0.014145,0.968215,-0.293963,-0.296021
121,0.014267,0.430610,-1.496539,-1.500617
122,0.014420,0.210819,0.511369,0.514178
123,0.014603,0.195392,-0.136472,-0.122257
124,0.014694,0.348226,-0.183110,-0.173634
125,0.014771,0.646708,0.332626,0.313950
126,0.014893,0.106859,1.688506,1.696364
127,0.014893,0.888350,0.550653,0.492146
128,0.015106,0.758267,-0.614069,-0.614585
129,0.015167,0.381201,-0.720962,-0.785806
130,0.015183,0.722835,-0.019657,-0.098540
131,0.015229,0.570611,-0.914266,-0.938765
132,0.015259,0.757580,0.072129,0.099583
133,0.015320,0.531365,-1.656965,-1.670779
134,0.015366,0.569345,0.782557,0.746017
135,0.015442,0.965820,-0.824409,-0.809142
136,0.015518,0.196338,-2.575538,-2.547650
137,0.015534,0.935348,0.946131,0.921103
138,0.015610,0.527871,-1.326185,-1.321897
139,0.015732,0.424704,1.601499,1.574645
140,0.015839,0.238285,1.048273,1.033441
141,0.016220,0.085267,-3.010651,-3.000962
142,0.016266,0.318242,0.398450,0.412106
143,0.016297,0.141390,-0.180780,-0.173444
144,0.016327,0.948363,-0.479390,-0.420405
145,0.016403,0.568643,0.679250,0.714205
146,0.016403,0.421607,0.989511,0.988532
147,0.016449,0.453513,0.136495,0.108189
148,0.016464,0.024369,-0.562214,-0.541813
149,0.016495,0.062257,-0.063259,-0.089576
150,0.016495,0.919738,-1.417577,-1.355154
