,x,y,z_test,z_pred
0,0.000107,0.761593,1.579871,1.551588
1,0.000198,0.833783,1.797375,1.570724
2,0.000244,0.569253,-0.282947,0.181323
3,0.000259,0.026627,0.314295,0.477989
4,0.000305,0.379309,-0.390852,-0.521497
5,0.000458,0.598474,-0.988420,-1.013001
6,0.000519,0.233768,1.044219,0.958892
7,0.000610,0.602884,-0.468343,-0.550328
8,0.000702,0.879683,-1.436762,-1.263190
9,0.001114,0.340780,0.904341,0.944354
10,0.001114,0.645411,-0.265874,-0.261989
11,0.001480,0.203861,0.061019,-0.089610
12,0.001770,0.607706,-0.778227,-0.975681
13,0.002213,0.962585,1.415655,1.567844
14,0.002243,0.958328,1.067348,0.893665
15,0.002548,0.688228,0.253120,0.234652
16,0.002564,0.027100,-0.046395,-0.219262
17,0.002579,0.113619,0.581652,0.655056
18,0.002579,0.855329,-1.173434,-1.021346
19,0.002640,0.395575,0.185548,0.355106
20,0.002747,0.723171,0.176327,0.032067
21,0.002869,0.251484,-0.640824,-0.554691
22,0.003174,0.836301,-0.672825,-0.641692
23,0.003189,0.732845,0.912834,0.868928
24,0.003281,0.065370,-1.034351,-0.611606
25,0.003464,0.092485,-0.638886,-0.610500
26,0.003479,0.080415,0.956665,0.940412
27,0.003616,0.664698,0.110817,0.185449
28,0.003738,0.351690,-0.147322,-0.487999
29,0.003891,0.786572,1.339400,1.246203
30,0.003906,0.097337,-0.771321,-0.874072
31,0.004196,0.686870,-1.913870,-1.792884
32,0.004303,0.347143,-0.107098,-0.322348
33,0.004334,0.334279,-0.857823,-0.239437
34,0.004349,0.703334,-0.055559,-0.114659
35,0.004654,0.035508,2.130489,2.215237
36,0.004654,0.361868,-0.487436,-0.444821
37,0.004700,0.549310,-0.964778,-0.986948
38,0.004730,0.133791,-2.768398,-2.017794
39,0.004761,0.789120,0.695903,0.528051
40,0.004822,0.537392,-0.112941,0.014949
41,0.005295,0.265293,1.225374,1.310776
42,0.005295,0.607462,1.061486,1.598829
43,0.005295,0.993118,1.249674,1.722681
44,0.005493,0.213184,-0.721408,-0.552557
45,0.005539,0.279484,0.067096,0.316490
46,0.005646,0.234806,0.711793,0.353399
47,0.005646,0.730175,0.085098,0.549771
48,0.005722,0.648447,1.078499,0.888853
49,0.005737,0.285466,1.637853,1.669069
50,0.005844,0.545174,-0.360564,-0.709968
51,0.005844,0.476493,-0.448381,-0.237712
52,0.005859,0.523888,0.231365,0.011771
53,0.005875,0.962127,-0.524307,-0.540796
54,0.006195,0.933486,-0.994637,-0.493030
55,0.006210,0.001511,-0.634641,-0.634717
