,x,y,z_test,z_pred
0,0.000107,0.375769,-0.607756,-0.613364
1,0.000183,0.666300,0.220496,0.256637
2,0.000198,0.414801,-0.023613,-0.065372
3,0.000366,0.581369,-0.162326,-0.181153
4,0.000458,0.056275,-0.684106,-0.620830
5,0.000565,0.693431,-0.563015,-0.556131
6,0.000595,0.897337,0.575893,0.550688
7,0.000671,0.326833,-0.047888,-0.042696
8,0.000732,0.784237,-0.179156,-0.167122
9,0.000793,0.268635,0.727751,0.729800
10,0.001205,0.072541,0.022426,0.006491
11,0.001312,0.446693,1.858457,1.839494
12,0.001328,0.525628,-0.843483,-0.830564
13,0.001328,0.867231,0.394171,0.413781
14,0.001633,0.518425,-1.762562,-1.762100
15,0.001694,0.007340,0.601107,0.601743
16,0.001770,0.064744,0.330740,0.325973
17,0.001846,0.366384,-0.072731,-0.120062
18,0.002136,0.320775,1.757472,1.753443
19,0.002136,0.277897,-0.036291,-0.023901
20,0.002228,0.383124,1.610955,1.613494
21,0.002289,0.501381,2.298044,2.309190
22,0.002426,0.620417,-1.802672,-1.798035
23,0.002533,0.442130,0.589197,0.517471
24,0.002594,0.867247,1.959127,1.961766
25,0.003113,0.506233,1.367048,1.318424
26,0.003220,0.939101,0.791922,0.773810
27,0.003296,0.188876,-0.685022,-0.684908
28,0.003342,0.492744,-0.139099,-0.143466
29,0.003510,0.768719,-0.818981,-0.824804
30,0.003586,0.525521,-0.539758,-0.540057
31,0.003601,0.679225,-0.223579,-0.221669
32,0.003723,0.638239,1.781210,1.820979
33,0.003769,0.941451,-0.422660,-0.434147
34,0.003815,0.643610,0.175558,0.170843
35,0.003876,0.603265,-0.998120,-0.993304
36,0.004120,0.262226,1.141936,1.105126
37,0.004364,0.783841,1.182982,1.187937
38,0.004379,0.979217,-0.751025,-0.748930
39,0.004669,0.939361,-0.376208,-0.369742
40,0.004700,0.036866,1.645367,1.647531
41,0.004807,0.628809,-0.095568,-0.083782
42,0.004807,0.556344,-1.606474,-1.634943
43,0.004822,0.344182,-0.909256,-0.904319
44,0.005295,0.434363,0.856566,0.846739
45,0.005325,0.017243,-0.393417,-0.394461
46,0.005386,0.216205,-0.234455,-0.208054
47,0.005478,0.521263,1.020325,0.960862
48,0.005478,0.051667,-0.269816,-0.273527
49,0.005539,0.299413,-1.102695,-1.095027
50,0.005570,0.468864,-1.448796,-1.432029
51,0.005661,0.977356,2.124810,2.113888
52,0.005783,0.230457,-0.757144,-0.747043
53,0.005859,0.896407,-0.880822,-0.864823
54,0.005859,0.972427,1.282289,1.300441
55,0.006332,0.385901,-1.136395,-1.146234
56,0.006348,0.238331,-0.883058,-0.863446
57,0.006455,0.561379,-0.511839,-0.518565
58,0.006516,0.928695,0.820130,0.822755
59,0.006638,0.174243,0.503807,0.505098
60,0.006683,0.823392,0.668077,0.677462
61,0.006790,0.053803,-1.404326,-1.404214
62,0.006790,0.647837,-0.173948,-0.224310
63,0.007187,0.514565,1.746682,1.765140
64,0.007431,0.172580,2.037754,2.053038
65,0.007691,0.031250,0.470482,0.461931
66,0.007721,0.064393,1.925602,1.923415
67,0.007874,0.018433,0.258958,0.262809
68,0.008103,0.458534,0.679446,0.719100
69,0.008133,0.051499,-1.628916,-1.626662
70,0.008164,0.377432,-0.505841,-0.500610
71,0.008209,0.844663,1.229778,1.250506
72,0.008286,0.401373,0.011270,0.009730
73,0.008362,0.009339,0.375018,0.389983
74,0.008499,0.478431,-0.899357,-0.902832
75,0.008606,0.175891,1.381950,1.450656
76,0.008637,0.879896,1.631124,1.602737
77,0.008637,0.740154,-1.175618,-1.183927
78,0.008682,0.691173,1.975968,1.997306
79,0.008682,0.945159,-0.295495,-0.298801
80,0.008713,0.488289,-0.001919,-0.002872
81,0.009232,0.324468,-0.197136,-0.191237
82,0.009293,0.681666,-0.580378,-0.583222
83,0.009308,0.087251,-0.437640,-0.436281
84,0.009644,0.379644,0.114647,0.135181
85,0.009705,0.151293,-0.333212,-0.337161
86,0.009705,0.214542,0.338324,0.354584
87,0.010208,0.461814,0.411860,0.415094
88,0.010254,0.961212,1.288285,1.307466
89,0.010330,0.197452,-0.927705,-0.909953
90,0.010346,0.949615,-0.261844,-0.272318
91,0.010666,0.399161,-0.213136,-0.220123
92,0.010834,0.257450,0.478408,0.459106
93,0.011231,0.167254,0.786939,0.784785
94,0.011261,0.459571,-0.467993,-0.461516
95,0.011276,0.975692,-0.722188,-0.717821
96,0.011398,0.324224,1.392369,1.400640
97,0.011719,0.286137,0.154299,0.163772
98,0.012146,0.698329,0.390648,0.377755
99,0.012177,0.582712,1.432735,1.415627
100,0.012177,0.632715,0.955033,0.962314
101,0.012558,0.318349,-0.189405,-0.210800
102,0.012573,0.549630,-0.487009,-0.482109
103,0.012589,0.138613,-0.609063,-0.626924
104,0.012650,0.363226,-0.149820,-0.156888
105,0.012772,0.664515,-0.014606,-0.025763
106,0.013107,0.715145,-0.901885,-0.885934
107,0.013138,0.631540,0.831232,0.823206
108,0.013214,0.703624,-0.190692,-0.196879
109,0.013230,0.240620,0.025319,0.034069
110,0.013733,0.565209,0.093112,0.090578
111,0.013886,0.756878,0.718986,0.713153
112,0.014237,0.995254,0.232607,0.227708
113,0.014359,0.513603,2.018603,1.998325
114,0.014511,0.323323,0.445949,0.455844
115,0.014542,0.381262,-0.315495,-0.307886
116,0.014588,0.837461,-0.230187,-0.104078
117,0.014679,0.963592,0.303297,0.323605
118,0.014740,0.278218,0.739024,0.737863
119,0.014817,0.604486,-0.619716,-0.582856
120,0.014878,0.069490,0.738599,0.738127
121,0.014878,0.756481,0.028943,0.020744
122,0.014893,0.288533,-0.227060,-0.235435
123,0.015106,0.220783,0.927988,0.928282
124,0.015320,0.117632,0.760693,0.755245
125,0.015351,0.501610,-0.315384,-0.308988
126,0.015564,0.621607,-0.462237,-0.461813
127,0.015595,0.245151,-0.599296,-0.598202
128,0.015640,0.269383,0.756312,0.754272
129,0.015671,0.804257,-0.396267,-0.393262
130,0.015671,0.784710,1.617002,1.630054
131,0.015702,0.564294,0.335509,0.336842
132,0.015747,0.357504,1.094588,1.098064
