,x,y,z_test,z_pred
0,0.000214,0.446220,-0.019176,0.005979
1,0.000229,0.679133,0.616897,0.573769
2,0.000244,0.161273,0.566144,0.607303
3,0.000259,0.915358,-0.736081,-0.648377
4,0.000290,0.480568,-1.822800,-1.795390
5,0.000366,0.701442,2.246195,2.498034
6,0.000412,0.966110,2.105886,1.946412
7,0.000458,0.971618,-0.483282,-0.615968
8,0.000488,0.304387,0.184456,0.177697
9,0.000519,0.507439,-2.250885,-2.259766
10,0.000519,0.235416,0.792402,0.638455
11,0.000687,0.880629,0.440468,0.464341
12,0.001144,0.060121,0.899119,0.822102
13,0.001175,0.482719,2.861769,2.788846
14,0.001190,0.578683,0.644382,0.589886
15,0.001236,0.265446,0.451856,0.400936
16,0.001236,0.940520,-0.094313,-0.004791
17,0.001328,0.896452,-0.668568,-0.635109
18,0.001343,0.080247,-1.203824,-1.060921
19,0.001404,0.953414,0.031203,0.321192
20,0.001465,0.306142,-0.685817,-0.667749
21,0.001572,0.130373,-0.434954,-0.329802
22,0.001633,0.287419,-0.193558,-0.291667
23,0.001709,0.623209,0.542412,0.437067
24,0.001724,0.743145,-0.293016,-0.291861
25,0.001862,0.470497,2.960914,2.677897
26,0.002136,0.435203,-0.440997,-0.358752
27,0.002167,0.221225,-0.552228,-0.435205
28,0.002182,0.405768,-0.455093,-0.504886
29,0.002228,0.133410,-0.856145,-0.566622
30,0.002289,0.164492,-0.441420,-0.526574
31,0.002380,0.289723,0.345456,0.379721
32,0.002411,0.019165,0.689187,0.767064
33,0.002472,0.024582,-0.830689,-0.859861
34,0.002548,0.688228,0.809039,0.989411
35,0.002716,0.797192,-0.308222,-0.141779
36,0.002792,0.461723,0.977869,1.009194
37,0.002808,0.368765,0.362934,0.355887
38,0.003464,0.225132,1.715075,1.832754
39,0.003540,0.787320,0.748259,0.661444
40,0.003769,0.569528,0.829001,0.652390
41,0.003815,0.713817,0.662937,0.598876
42,0.004135,0.639796,2.309520,2.268693
43,0.004166,0.828367,-0.339777,-0.432613
44,0.004318,0.968597,-0.740249,-0.689282
45,0.004364,0.423423,-2.078632,-2.094847
46,0.004410,0.328298,2.201259,2.151202
47,0.004440,0.585718,-0.570368,-0.528926
48,0.005112,0.884550,-0.734023,-0.891319
49,0.005203,0.951629,-0.148710,-0.132372
50,0.005280,0.325673,-0.583017,-0.742268
51,0.005310,0.211765,0.239489,0.262349
52,0.005402,0.310750,-0.128173,-0.151050
53,0.005478,0.395895,-1.600154,-1.394374
54,0.005493,0.720516,1.655440,1.637914
55,0.005585,0.349783,2.166186,2.233718
56,0.005600,0.023392,0.946705,0.838895
57,0.005661,0.338628,-0.586820,-0.547734
58,0.005676,0.642756,2.337800,2.248544
59,0.005722,0.273747,-0.455332,-0.496948
60,0.005768,0.165682,0.803073,0.672052
61,0.005783,0.409766,1.202882,0.820740
62,0.005783,0.752667,-0.864564,-0.907509
63,0.005814,0.941878,-1.259247,-1.247584
64,0.005814,0.255314,-1.240979,-1.237908
65,0.005890,0.076219,2.409719,2.547282
66,0.006104,0.812207,-2.316372,-2.401212
67,0.006134,0.600748,-1.122768,-1.109258
68,0.006287,0.947601,-1.363969,-1.414057
69,0.006317,0.111559,-0.108191,-0.112291
70,0.006317,0.245747,-0.009107,0.029789
71,0.006363,0.500435,-0.828135,-0.848928
72,0.006378,0.323217,2.828694,2.842447
73,0.006394,0.979767,-0.021759,0.117097
74,0.006577,0.346593,0.245997,0.127907
75,0.006790,0.639780,1.342945,1.427889
76,0.006836,0.665660,0.317190,0.392482
77,0.006867,0.088533,0.625065,0.599431
78,0.006882,0.611139,-1.062113,-1.026937
79,0.007111,0.736355,1.300934,1.168411
80,0.007218,0.188296,0.100275,0.164033
81,0.007279,0.553140,-0.280944,-0.298028
82,0.007446,0.622141,2.839101,3.395862
83,0.007446,0.760571,-0.218121,-0.105685
84,0.007538,0.382544,0.355384,0.414701
85,0.007858,0.006699,-1.157083,-1.146853
86,0.008164,0.573632,0.427636,0.425443
87,0.008423,0.053376,-0.346740,-0.297100
88,0.008484,0.221775,-0.415829,-0.362123
89,0.008499,0.766369,-0.609766,-0.524604
90,0.008545,0.079332,1.248780,1.185213
91,0.008591,0.038361,0.034213,0.108650
92,0.008621,0.116136,1.389176,1.365929
93,0.008698,0.235813,1.380861,1.363615
94,0.008865,0.001678,-0.533546,-0.298856
95,0.009110,0.429709,-0.732523,-0.691444
96,0.009262,0.929870,0.883377,0.791087
97,0.009400,0.734249,-0.662974,-0.852934
98,0.009430,0.538796,-0.909838,-0.886370
99,0.009506,0.300801,0.727976,0.701242
100,0.009567,0.054276,1.902945,2.039877
101,0.010315,0.111635,0.321457,0.388716
102,0.010803,0.283238,0.718737,0.874948
103,0.010819,0.341192,-0.531222,-0.544677
104,0.011170,0.463340,2.321601,2.416124
105,0.011276,0.139513,-0.578561,-0.685931
106,0.011322,0.422889,0.887152,0.720196
107,0.011368,0.566629,-0.551021,-0.621143
108,0.011383,0.560342,0.637569,0.612526
109,0.011398,0.130648,1.444972,1.471370
110,0.011597,0.659724,1.345070,1.392429
111,0.011658,0.634882,0.965972,0.710522
112,0.011826,0.207691,2.011196,1.931927
113,0.011826,0.368276,1.818156,1.803788
114,0.011872,0.232853,2.438460,2.469328
115,0.012116,0.077577,-0.296902,-0.083392
116,0.012116,0.575387,-0.685959,-0.673034
117,0.012238,0.828428,0.378298,0.326762
118,0.012360,0.971145,1.518733,1.547160
119,0.012421,0.600244,-0.055134,-0.034414
120,0.012512,0.736110,-0.711172,-0.775836
121,0.012634,0.730709,1.948616,1.855275
122,0.012696,0.510536,1.323414,1.426047
123,0.012863,0.505318,0.922149,0.930144
124,0.013123,0.195605,1.054155,0.998895
125,0.013153,0.341863,0.361493,0.039731
126,0.013199,0.269444,1.986445,1.981694
127,0.013352,0.226230,-0.586270,-0.602871
128,0.013550,0.702251,-1.301441,-1.120315
129,0.013550,0.745571,1.461463,1.287017
130,0.013825,0.781430,1.216604,1.247235
131,0.013855,0.126497,-1.203808,-1.333770
132,0.013870,0.714199,1.556686,1.665119
133,0.014160,0.840314,0.810359,1.013042
134,0.014374,0.227817,-0.748445,-0.649673
135,0.014527,0.009720,0.722121,0.689547
136,0.014557,0.462501,2.494538,2.363037
137,0.014603,0.088121,-0.909189,-0.934433
138,0.014618,0.249393,-0.812853,-1.059787
139,0.014725,0.119524,-0.063987,-0.042641
140,0.014832,0.524666,-1.183475,-1.218725
141,0.015229,0.128725,0.501589,0.487017
142,0.015290,0.279332,1.100788,1.111443
143,0.015320,0.259190,0.763362,0.866233
144,0.015335,0.227543,1.132666,1.031310
145,0.015366,0.010864,1.862726,1.795836
146,0.015442,0.562554,-0.053447,0.101457
147,0.015457,0.230335,1.624576,1.635976
148,0.015503,0.127657,0.606892,0.591207
149,0.015640,0.103868,2.737830,2.887010
150,0.015656,0.786572,1.886189,1.898896
151,0.015793,0.986770,0.631916,0.645391
152,0.016266,0.937392,-1.132606,-1.148057
153,0.016342,0.047654,-0.833095,-0.877282
154,0.016358,0.288121,-0.101772,-0.267361
155,0.016434,0.451850,0.722322,0.773850
156,0.016495,0.365408,-0.154436,-0.328050
157,0.016556,0.337285,-0.445945,-0.420394
158,0.016739,0.787808,0.167203,0.136495
159,0.016831,0.717662,-0.469166,-0.370412
160,0.017105,0.648325,0.996014,0.962126
161,0.017227,0.425284,-0.619020,-0.816649
162,0.017243,0.028367,-1.170105,-1.214707
163,0.017258,0.162432,-0.728653,-0.913225
164,0.017380,0.721660,-2.633716,-2.632432
165,0.017487,0.155398,1.170108,1.172358
166,0.017517,0.654444,1.919427,1.879083
167,0.017594,0.180591,0.381174,0.345298
168,0.017716,0.045197,-0.101338,-0.093196
169,0.017746,0.715862,0.359132,0.279323
170,0.017868,0.574502,-0.541626,-0.527891
171,0.018173,0.437110,0.173378,0.223201
172,0.018280,0.746609,1.747733,1.716951
173,0.018387,0.571878,-0.782563,-0.444901
174,0.018387,0.006744,0.887181,0.954827
175,0.018387,0.312718,-1.124171,-1.138692
176,0.018479,0.040879,-1.792334,-1.795390
177,0.018524,0.248798,0.990506,0.976792
178,0.018524,0.842603,-1.055801,-1.051673
179,0.018540,0.819318,-1.409141,-1.319526
180,0.018784,0.016297,-1.577075,-1.473608
181,0.018891,0.458671,1.233266,1.309643
182,0.019318,0.981674,2.357603,2.360063
183,0.019318,0.940383,-1.005125,-0.772699
184,0.019394,0.302159,-0.978599,-1.002191
185,0.019501,0.758465,-0.980362,-0.780529
186,0.019562,0.891829,2.872413,2.793579
187,0.019577,0.212619,0.772560,0.761370
188,0.019730,0.161822,1.416191,1.378578
189,0.019821,0.122194,1.479914,1.378652
190,0.019837,0.734508,-0.558755,-0.675632
191,0.019852,0.273564,-0.148521,-0.005867
192,0.019883,0.860685,-0.556682,-0.395856
193,0.020111,0.104265,-1.460224,-1.375722
194,0.020203,0.230442,3.216702,3.285451
195,0.020356,0.688884,-1.487500,-1.497512
196,0.020386,0.694453,-0.983083,-0.899860
197,0.020386,0.013291,0.416179,0.388506
198,0.020386,0.385565,1.473810,1.432264
199,0.020493,0.301122,-0.365556,-0.390822
200,0.020569,0.345205,1.091005,1.062207
201,0.020584,0.391211,-0.581833,-0.665907
202,0.020630,0.804349,-0.907969,-1.026610
203,0.020676,0.559411,0.620617,0.718419
204,0.020722,0.261463,2.056741,2.029734
205,0.020722,0.680659,-0.099268,0.007338
206,0.020798,0.180209,-0.293079,-0.241889
207,0.020829,0.436561,-0.891552,-0.947819
208,0.021164,0.128878,-0.979948,-1.034836
209,0.021439,0.326650,-0.842414,-0.829586
210,0.021653,0.188312,-1.844425,-2.033913
211,0.021653,0.296742,0.735317,0.792917
212,0.021790,0.139117,-1.059749,-1.096706
213,0.021805,0.135882,1.697347,1.616624
214,0.022293,0.923522,-1.969289,-1.956822
215,0.022339,0.159442,-0.820982,-0.797029
216,0.022538,0.632319,-0.415548,-0.304920
217,0.022705,0.501320,0.398161,0.437900
218,0.022797,0.183474,0.437218,0.383992
219,0.022889,0.979767,1.365553,1.078220
220,0.023102,0.659251,-0.126843,-0.136448
221,0.023163,0.929854,0.474018,0.328711
222,0.023239,0.716381,0.041890,0.101768
223,0.023285,0.018555,1.020385,0.993514
224,0.023316,0.362188,-0.150716,-0.202311
225,0.023423,0.147616,-0.814347,-0.825812
226,0.023438,0.594812,1.354476,1.207029
227,0.023453,0.241642,1.502562,1.266489
228,0.023468,0.332616,1.773960,1.738858
229,0.023514,0.395666,-0.336602,-0.379897
230,0.023529,0.650645,-0.308996,-0.254277
231,0.023575,0.480781,-0.729964,-0.753807
232,0.023590,0.872694,-0.365727,-0.405766
233,0.023636,0.051331,1.066337,1.033392
234,0.023651,0.499458,0.287777,0.253013
235,0.023667,0.543603,0.784301,0.873029
236,0.023743,0.220691,-0.561394,-0.524604
237,0.024445,0.954467,1.538481,1.573611
238,0.024521,0.651560,1.485534,1.440977
239,0.024567,0.997208,0.491957,0.395929
240,0.024750,0.454582,-0.375128,-0.431425
241,0.024765,0.959640,-1.273155,-1.320255
242,0.024857,0.933379,-0.069861,0.024140
243,0.024857,0.027161,-0.563584,-0.517074
244,0.024887,0.807523,-0.627146,-0.632937
245,0.025162,0.656565,0.511619,0.470773
246,0.025650,0.934585,1.598446,1.719484
247,0.025650,0.528496,-0.456360,-0.487873
248,0.025650,0.521691,1.696231,1.759243
249,0.025772,0.690440,1.996062,1.926127
250,0.025818,0.817304,-0.792508,-0.836673
251,0.026246,0.002853,2.243663,2.137047
252,0.026261,0.373495,1.627722,1.651751
253,0.026383,0.920531,-2.329449,-2.243613
254,0.026398,0.537682,-1.146405,-1.053429
255,0.026398,0.784573,-0.483420,-0.447050
256,0.026474,0.742763,1.434537,1.280683
257,0.026520,0.941329,0.904002,0.953547
258,0.026535,0.701137,-1.424584,-1.322277
259,0.026596,0.721843,-0.930810,-1.074943
260,0.026673,0.800107,-1.088322,-1.125924
261,0.026780,0.564111,-0.423014,-0.467340
262,0.027451,0.759228,0.642783,0.663310
263,0.027680,0.587213,1.167524,1.142197
264,0.027756,0.407248,0.796567,0.895480
265,0.027878,0.336217,1.742371,1.548594
266,0.028275,0.623133,1.718010,1.632588
267,0.028275,0.974777,-0.160659,-0.056648
268,0.028397,0.356497,2.439508,2.320184
269,0.028397,0.332174,-0.363663,-0.347297
