,x,y,z_test,z_pred
0,0.000122,0.313375,-0.268404,-0.486203
1,0.000137,0.731334,2.169429,2.022912
2,0.000229,0.627176,2.775285,2.823940
3,0.000275,0.783749,1.911980,1.898941
4,0.000366,0.347143,0.000589,0.016485
5,0.000443,0.725353,2.015846,2.066512
6,0.000626,0.214130,-0.300569,-0.323815
7,0.000641,0.561791,2.391824,2.388854
8,0.000687,0.684108,2.588729,2.555105
9,0.000763,0.119280,1.519180,1.564580
10,0.000839,0.334188,2.331559,2.487121
11,0.001144,0.689265,-0.760736,-0.715017
12,0.001282,0.254353,1.477118,1.634508
13,0.001343,0.002762,-0.736031,-0.738264
14,0.001495,0.640772,0.700464,0.863521
15,0.001526,0.965713,0.578525,0.679038
16,0.001678,0.757534,-0.587108,-0.544642
17,0.001862,0.119356,1.926635,1.960233
18,0.002319,0.342443,7.820991,7.792729
19,0.002319,0.023682,-0.014745,-0.009619
20,0.002365,0.334890,-0.014016,0.081314
21,0.002396,0.314214,1.226749,1.114858
22,0.002472,0.024582,-1.698058,-1.533150
23,0.002487,0.163195,-1.999402,-2.229261
24,0.002594,0.780209,3.333593,3.396653
25,0.002792,0.916335,1.910758,1.874035
26,0.002853,0.226215,0.636383,0.864260
27,0.003159,0.834134,-1.498936,-0.965295
28,0.003204,0.914137,-0.714826,-0.830490
29,0.003235,0.079728,-0.584348,-0.607315
30,0.003281,0.900389,-0.344837,-0.257227
31,0.003357,0.067430,3.605908,3.634507
32,0.003372,0.884718,-2.314375,-2.471809
33,0.003418,0.386725,1.891930,1.609136
34,0.003464,0.577218,-1.191830,-1.199311
35,0.003510,0.739132,1.201007,1.082552
36,0.003677,0.703273,-4.556192,-4.507406
37,0.003677,0.098787,-2.804649,-2.867305
38,0.003693,0.905348,3.531248,3.725756
39,0.003708,0.717388,0.569331,0.581737
40,0.003754,0.993240,1.410323,1.425160
41,0.003769,0.848859,3.012692,3.156723
42,0.003799,0.622583,5.882832,5.806675
43,0.003815,0.957549,-0.227057,-0.231456
44,0.004273,0.128511,0.553710,0.545511
45,0.004456,0.455818,2.695791,2.291687
46,0.004471,0.367269,3.987668,3.967221
47,0.004471,0.621561,0.843232,0.805021
48,0.004501,0.791333,0.231672,0.198594
49,0.004501,0.075624,0.642363,0.529196
50,0.004532,0.382849,5.472087,5.487134
51,0.004608,0.608667,1.607112,1.603735
52,0.004639,0.440146,0.072906,0.023408
53,0.004669,0.425422,-0.356008,-0.431013
54,0.005142,0.022492,3.618110,3.505953
55,0.005219,0.464149,0.588058,0.643040
56,0.005295,0.265293,0.960713,0.947462
57,0.005295,0.434363,0.148955,0.216998
58,0.005539,0.028473,0.648356,0.623087
59,0.005585,0.988556,2.796921,2.787881
60,0.005676,0.995895,3.076808,3.030055
61,0.005692,0.499626,1.800723,1.744326
62,0.005707,0.844236,1.314885,1.492844
63,0.005722,0.593164,7.354535,7.550415
64,0.005768,0.165682,3.101103,3.163323
65,0.005844,0.569604,0.351583,0.352738
66,0.006119,0.528603,-1.161450,-1.328366
67,0.006195,0.291325,2.860063,2.940213
68,0.006226,0.654429,3.432466,3.420369
69,0.006302,0.676112,2.504769,2.360500
70,0.006302,0.015244,1.769960,1.859604
71,0.006317,0.328603,0.671788,0.549962
72,0.006607,0.593454,0.941538,0.867077
73,0.006622,0.989273,3.097081,3.036949
74,0.006638,0.652522,0.286413,-0.138993
75,0.006806,0.602686,1.821155,1.752219
76,0.006851,0.744625,1.170477,1.059718
77,0.006867,0.658228,-1.641849,-1.600465
78,0.007218,0.595789,0.343901,0.341226
79,0.007309,0.105898,2.279810,2.311301
80,0.007370,0.333227,1.587834,1.547094
81,0.007370,0.525460,0.880198,0.924045
82,0.007477,0.027665,1.710442,1.764930
83,0.007538,0.451240,1.939436,2.046273
84,0.007614,0.460472,-5.051717,-5.520191
85,0.007797,0.227344,2.394156,2.389223
86,0.007843,0.246235,2.808573,2.783899
87,0.008255,0.342260,3.700967,3.750445
88,0.008469,0.683543,-0.564742,-0.583912
89,0.008499,0.226505,0.654222,0.393511
