,x,y,z_test,z_pred
0,0.000153,0.285161,0.413205,-0.570274
1,0.000305,0.215717,-0.024699,-0.532577
2,0.000381,0.212802,0.884879,1.283132
3,0.000412,0.437171,0.256409,0.064488
4,0.000488,0.304387,-1.933578,-1.466094
5,0.000504,0.015778,-0.769467,-0.558062
6,0.000565,0.283452,0.401325,-1.860793
7,0.000610,0.232105,2.270253,2.736350
8,0.000687,0.657755,-0.551864,0.461506
9,0.000763,0.973220,1.375365,0.828874
10,0.000809,0.654353,3.100765,1.557231
11,0.000870,0.678340,1.247791,0.544087
12,0.001266,0.438392,-0.228703,0.096474
13,0.001343,0.039200,-0.680579,-0.912859
14,0.001495,0.067445,0.013366,0.465411
15,0.001495,0.640772,-0.699172,0.910882
16,0.001495,0.469703,0.351205,0.188622
17,0.001617,0.995361,-0.165914,-0.831319
18,0.001694,0.752239,0.368027,0.457583
19,0.001724,0.743145,-1.731745,-1.309354
20,0.001801,0.420172,-0.889360,-0.034479
21,0.001816,0.285328,1.084060,0.478124
22,0.002197,0.519432,1.182070,2.056460
23,0.002228,0.225406,-0.959007,-0.685428
24,0.002335,0.817578,-0.545049,-0.786674
25,0.002396,0.615503,1.202936,1.686587
26,0.002411,0.668635,-0.050331,0.034277
27,0.002441,0.634119,-0.614506,-0.014860
28,0.002487,0.372824,1.134286,0.941792
29,0.002487,0.429786,-2.201654,-2.177898
30,0.002548,0.466514,0.679253,0.681547
31,0.002609,0.551110,0.404561,1.399794
32,0.003128,0.003143,1.859838,0.934372
33,0.003189,0.568765,-0.094436,1.869186
34,0.003342,0.165698,-1.618654,-1.518480
35,0.003494,0.025544,0.986901,-0.017052
36,0.003647,0.646418,0.255140,0.405365
37,0.003830,0.312840,-1.906392,-1.519329
38,0.004120,0.215198,2.223473,0.636848
39,0.004303,0.340795,0.420646,0.112718
40,0.004486,0.239185,-0.493436,-0.701325
41,0.004532,0.113222,0.462273,-0.013484
42,0.004562,0.831266,2.193456,1.762611
43,0.004608,0.013565,1.176217,0.743057
44,0.004669,0.163561,1.070653,1.397271
45,0.004761,0.112612,0.958583,0.910787
46,0.004807,0.613703,0.662470,-0.340336
47,0.004807,0.920119,0.285140,0.019015
48,0.005112,0.202274,3.371257,3.087199
49,0.005173,0.207279,0.887006,0.285424
50,0.005219,0.858671,1.480653,2.233185
51,0.005264,0.001389,-0.401506,1.113092
52,0.005341,0.530617,1.228266,1.620816
53,0.005356,0.116152,-1.109721,-1.777816
54,0.005417,0.715740,-0.857916,-1.300762
55,0.005417,0.577630,0.258910,0.198768
56,0.005524,0.559884,-0.697462,0.085726
57,0.005554,0.483116,2.324244,2.052113
58,0.005631,0.528298,0.710345,0.196937
59,0.005737,0.725826,1.946620,0.857509
60,0.005798,0.688502,-0.704867,-0.538400
61,0.006210,0.582177,-2.036969,-1.338626
62,0.006210,0.828855,1.405519,1.614602
63,0.006546,0.689693,-2.645088,-2.719660
64,0.006561,0.524376,-0.086565,0.722052
65,0.006806,0.988769,0.208494,0.513276
66,0.007172,0.398489,1.399297,1.910703
67,0.007446,0.330648,0.750027,0.115866
68,0.007462,0.147768,-2.691671,-1.808862
69,0.007675,0.026276,-1.424454,-2.325846
70,0.007721,0.200458,3.640631,3.810430
71,0.007736,0.865782,2.159556,1.471073
72,0.007797,0.751476,1.498112,1.732257
73,0.007858,0.430320,1.331946,0.839503
74,0.007874,0.869413,1.052702,0.482567
75,0.008103,0.008667,-0.526954,-0.090021
76,0.008164,0.979278,-2.583227,-3.144620
77,0.008240,0.085237,0.017960,-0.282453
78,0.008286,0.277409,-0.304917,0.711866
79,0.008331,0.548180,0.620066,1.370929
80,0.008347,0.692515,0.857169,0.328982
81,0.008484,0.036744,0.642997,0.623982
82,0.008560,0.596124,1.177167,1.953206
83,0.008560,0.097505,0.207693,-0.471672
84,0.008728,0.459724,1.568901,1.202503
85,0.009140,0.777554,0.333603,1.119188
86,0.009155,0.862242,0.283289,0.709471
87,0.009339,0.811414,-1.381221,-1.649931
88,0.009400,0.049149,2.237993,1.473696
89,0.009583,0.582681,1.092043,1.582029
90,0.009781,0.699886,2.374652,0.723464
91,0.009842,0.496834,-0.581392,1.539203
92,0.010193,0.282170,0.446016,1.008557
93,0.010285,0.775158,0.554838,-0.030208
94,0.010346,0.782742,0.732063,2.010643
95,0.010361,0.465507,-0.687857,-0.395284
96,0.010376,0.011215,1.128037,1.693028
97,0.010407,0.811383,1.100428,0.958241
98,0.010437,0.392264,2.049867,1.564726
99,0.010849,0.843565,-0.538059,0.413347
100,0.011231,0.781567,3.195573,3.464953
101,0.011322,0.913664,-0.420119,-0.142207
102,0.011398,0.885481,-1.515848,-1.682803
103,0.011398,0.452644,0.713212,0.111243
104,0.011429,0.346502,1.187801,1.223082
105,0.011460,0.428824,1.965805,2.531064
106,0.011780,0.777798,1.188272,0.587758
107,0.011872,0.663828,-0.835397,-0.290675
108,0.012268,0.613382,-1.167573,-0.131339
109,0.012268,0.413886,0.739271,0.092654
110,0.012299,0.372671,0.929635,0.309482
111,0.012421,0.412741,0.742236,-0.583058
112,0.012543,0.254673,0.509887,0.219850
113,0.012589,0.832868,-0.837791,-0.185874
114,0.012604,0.275578,-0.713410,-0.927176
115,0.012604,0.384192,-0.156447,0.591142
116,0.012833,0.338445,-1.443581,-2.151942
117,0.013153,0.505821,0.301922,0.215082
118,0.013382,0.994766,-1.045553,-1.509694
119,0.013428,0.045136,1.329157,0.606544
120,0.013474,0.169268,-1.110868,-0.791407
121,0.013596,0.836423,-1.846065,-0.332707
122,0.013748,0.839246,1.849183,3.044169
123,0.013779,0.038788,1.612455,0.510145
124,0.014145,0.619471,-1.649312,-1.507923
125,0.014221,0.194125,1.869700,1.834620
126,0.014511,0.385641,0.718671,-0.081796
127,0.014572,0.405386,-1.205857,0.150747
128,0.014572,0.391455,-1.604081,-0.432127
129,0.014710,0.681483,1.120681,2.201942
130,0.014801,0.653758,0.648944,-0.500351
131,0.015122,0.968719,-0.004633,-0.129543
132,0.015152,0.790860,1.720736,1.039354
133,0.015183,0.330571,1.132251,0.694068
134,0.015213,0.990661,-0.302132,-0.531599
135,0.015427,0.864118,-1.871851,-1.127034
136,0.015549,0.346258,-1.258705,-1.620629
137,0.016220,0.939513,0.898553,1.873014
138,0.016236,0.854444,-0.936208,-0.718643
139,0.016419,0.261616,0.129070,0.310530
140,0.016434,0.352163,-1.088740,-0.636144
141,0.016495,0.518730,0.746579,0.924528
142,0.016648,0.838285,0.412973,0.202893
143,0.016693,0.237522,1.918687,1.093107
144,0.017105,0.939879,2.829541,1.824970
145,0.017121,0.218540,-0.721709,-0.910922
146,0.017182,0.093690,0.163940,0.124255
147,0.017182,0.598352,2.218431,0.804228
148,0.017258,0.309499,-1.454769,-0.748902
149,0.017334,0.653162,0.213119,-0.037822
150,0.017487,0.376532,-1.907627,-2.165929
151,0.017563,0.415305,1.664582,1.517423
152,0.017685,0.301701,-2.694654,-1.589448
153,0.017731,0.867460,-0.561087,-0.653219
154,0.017853,0.579431,-0.194453,-0.182450
155,0.018235,0.852369,2.284499,1.604789
156,0.018235,0.831205,-0.557067,0.811139
157,0.018296,0.748150,2.932268,2.502102
158,0.018418,0.425574,0.254669,0.729633
159,0.018433,0.701198,-1.582276,-2.003376
160,0.018524,0.747448,0.138759,-0.118894
161,0.018540,0.051255,-0.218599,-1.577650
162,0.018784,0.636606,-1.525439,-0.677234
163,0.018891,0.449516,-1.286792,-0.882174
164,0.019120,0.788235,-0.536119,-1.611109
165,0.019455,0.880507,1.925606,1.943454
166,0.019471,0.875471,0.047544,0.334140
167,0.019577,0.021424,0.118380,0.940050
168,0.019593,0.318410,-0.448614,0.280623
169,0.019699,0.968139,-2.095134,-1.474077
170,0.019715,0.306645,-0.121086,-0.882174
171,0.019730,0.830655,-0.362198,-0.943234
172,0.019776,0.842359,0.958821,0.385519
173,0.019883,0.609766,1.136407,1.710060
174,0.020325,0.630472,-1.315723,-0.441583
175,0.020340,0.121248,-1.216237,-0.335624
176,0.020340,0.112612,0.448343,-0.852228
177,0.020447,0.584436,0.471861,0.249766
178,0.020478,0.653819,-1.641241,-1.238561
179,0.020508,0.583886,0.891623,1.771073
180,0.020676,0.397894,-1.660007,-1.199447
181,0.021103,0.951720,1.616152,0.916960
182,0.021149,0.830167,-0.451727,-1.487976
183,0.021210,0.822889,1.475616,0.973016
184,0.021210,0.292271,-1.243678,-0.473032
185,0.021363,0.361349,-1.390757,0.251595
186,0.021393,0.377493,1.720135,1.686982
187,0.021637,0.421302,1.064424,0.344309
188,0.022141,0.268513,-0.013532,0.511076
189,0.022293,0.282536,-0.829375,-0.507858
190,0.022309,0.022171,0.411983,-0.080385
191,0.022416,0.542245,1.122920,1.426968
192,0.022629,0.131777,0.429968,-0.535010
193,0.022660,0.846250,0.829810,1.069999
194,0.022827,0.662196,-0.560466,-0.798647
195,0.023255,0.759884,2.211472,1.990956
196,0.023301,0.912703,-0.860686,0.304172
197,0.023346,0.534737,0.742643,1.411281
198,0.023346,0.681849,2.265226,2.854513
199,0.023362,0.938613,-0.851356,-1.175847
200,0.023636,0.779416,-1.791014,-2.451406
201,0.023682,0.141558,-0.851694,-0.786674
202,0.023774,0.802777,1.421607,1.831752
203,0.023865,0.551583,1.792751,1.449317
204,0.024109,0.582818,-1.046236,0.134472
205,0.024170,0.098161,0.579162,0.617436
206,0.024353,0.728695,-0.838812,-1.581666
207,0.024353,0.135286,-1.613650,-1.813870
208,0.024460,0.945312,-0.309761,-0.509645
209,0.024506,0.620279,-0.462018,-0.582669
210,0.024567,0.423697,-1.371572,-2.607574
211,0.024796,0.136843,-0.753979,0.038841
212,0.024826,0.210178,0.811729,-0.297682
213,0.024842,0.510780,1.655575,2.460942
214,0.025116,0.932708,-1.052033,-0.725102
215,0.025223,0.935775,0.329017,-0.467428
216,0.025284,0.291463,1.301137,0.681485
217,0.025391,0.389517,-0.188190,-0.979458
218,0.025742,0.413275,-0.303825,1.305644
219,0.026383,0.192111,-0.421571,0.323384
220,0.026505,0.529198,-0.228283,0.641929
221,0.026505,0.478294,1.769120,1.256050
222,0.026505,0.320790,0.718937,0.348021
223,0.026566,0.054780,0.077949,-0.913817
224,0.026581,0.287419,0.720635,1.424746
225,0.026673,0.116716,1.952527,1.659289
226,0.026734,0.932723,0.152839,-0.069141
227,0.026734,0.786831,1.301938,1.321088
228,0.026871,0.260197,-1.814786,-2.600156
229,0.027161,0.227649,2.206349,1.119442
230,0.027741,0.690196,-1.653638,-1.031879
231,0.028153,0.092332,-1.435765,-0.333207
232,0.028351,0.909575,-0.592910,0.302105
233,0.028367,0.904555,-1.965272,-2.272176
234,0.028382,0.320836,0.862105,0.891114
235,0.028565,0.565225,0.431739,0.245831
236,0.029129,0.357198,-1.344882,-0.178715
237,0.029206,0.224720,1.828077,1.031907
238,0.029313,0.979416,1.091205,0.688260
239,0.029480,0.884642,-2.034677,-1.832939
240,0.029557,0.558663,0.129567,-0.969814
241,0.029572,0.465446,0.639520,0.993875
242,0.029664,0.517220,3.578823,3.100567
243,0.029740,0.959106,-0.659054,-0.199741
244,0.029847,0.759869,1.321009,2.451666
245,0.030167,0.589166,0.609764,0.142354
246,0.030503,0.827390,0.080760,-0.720838
247,0.030518,0.130571,0.520883,0.003920
248,0.030533,0.278737,-2.148765,-1.119039
249,0.030579,0.281514,-1.045181,-0.731488
250,0.030579,0.595850,-1.805748,-2.587722
251,0.030686,0.475746,-0.656571,-0.621388
252,0.030732,0.627451,0.295467,-0.795137
253,0.030793,0.847395,-0.139008,0.094214
254,0.030823,0.087694,3.780278,2.655921
255,0.031250,0.531762,0.200232,0.946627
256,0.031434,0.029816,-2.695314,-2.739586
257,0.031434,0.045411,-0.258066,-1.093048
258,0.031479,0.671611,-1.015831,-0.917935
259,0.031617,0.117861,0.199372,0.098035
260,0.031662,0.149844,-0.710164,-0.562020
261,0.031739,0.044404,-2.112861,-3.029443
262,0.031769,0.773159,-1.180818,-1.358186
263,0.031785,0.679362,0.155999,0.921980
264,0.031800,0.284169,0.811441,-0.261839
265,0.031846,0.924666,-2.368927,-1.956545
266,0.031876,0.139483,0.260615,-1.008659
267,0.032181,0.882353,-0.309519,-0.357406
268,0.032197,0.577249,-0.681263,0.397410
269,0.032273,0.547677,0.161507,-0.047654
270,0.032288,0.962463,-2.732455,-2.327056
271,0.032395,0.823423,0.165080,0.877724
272,0.032502,0.730678,-0.018240,-0.037011
273,0.032593,0.850828,1.238687,1.116465
274,0.032624,0.356359,0.711932,1.510400
275,0.032624,0.761563,0.503955,-1.381090
276,0.032624,0.568521,0.186977,-0.099595
277,0.032746,0.830625,0.595060,0.513703
278,0.032776,0.095491,-2.121893,-1.630181
279,0.032822,0.641291,-2.745342,-2.881750
280,0.033188,0.635904,-1.083465,-0.645511
281,0.033249,0.289601,-0.343120,-1.908801
282,0.033478,0.417823,-0.524669,-0.656708
283,0.033524,0.022492,-1.681725,-1.215711
284,0.033722,0.130678,-2.575406,-2.306137
285,0.033814,0.317342,1.404486,0.480430
286,0.034104,0.848402,2.742259,1.906420
287,0.034165,0.810376,0.081891,-0.706809
288,0.034318,0.116869,-2.003250,-0.638420
289,0.034363,0.540520,-1.597259,-0.379784
290,0.034394,0.193561,2.846498,1.351285
291,0.034455,0.290242,1.081293,1.651900
292,0.034485,0.555901,-0.095927,-1.098885
293,0.034516,0.180789,2.851378,2.623283
294,0.034592,0.340398,-1.105516,0.166702
295,0.034867,0.147555,-1.220314,-1.511970
296,0.034882,0.398123,1.577844,1.986597
297,0.035157,0.935515,-0.524370,-0.828178
298,0.035172,0.902220,0.985538,-0.486917
299,0.035279,0.543694,0.094348,-0.482519
300,0.035477,0.282734,-0.049664,0.330806
301,0.035569,0.134356,0.115504,0.446869
302,0.035676,0.570245,0.133360,-0.870982
303,0.035691,0.219837,0.760589,0.905923
304,0.035706,0.147829,0.809305,1.376250
305,0.035782,0.652583,-0.583810,-2.322623
306,0.035828,0.912581,-0.684773,0.251133
307,0.035874,0.725292,-0.577557,-0.281757
308,0.035874,0.180667,1.337856,0.668769
309,0.036149,0.035554,3.582578,2.355052
310,0.036164,0.418219,1.597334,1.406595
311,0.036240,0.288853,0.266104,1.169918
312,0.036408,0.744640,-0.854870,-1.152846
313,0.036545,0.625376,-1.901813,-0.786674
314,0.036591,0.476371,1.201184,0.457458
315,0.036698,0.423804,-2.182663,-2.008811
316,0.036759,0.457832,-0.782182,-0.777147
317,0.037125,0.839628,-0.566403,-1.287976
318,0.037201,0.871458,-1.674603,-0.992817
319,0.037446,0.652262,-1.679904,-2.186121
320,0.037613,0.361624,-2.093072,-1.948302
321,0.037629,0.734813,1.211148,0.332482
322,0.037659,0.446555,-1.413550,-1.843777
323,0.037858,0.409827,0.310338,0.174887
324,0.038117,0.714824,0.863325,0.226114
325,0.038407,0.367498,1.217600,-0.142332
326,0.038453,0.720470,-2.638070,-1.762177
327,0.038468,0.645304,-1.157374,-0.064157
328,0.038804,0.878874,-0.239107,0.353846
329,0.039338,0.348531,-1.001188,-0.503929
330,0.039338,0.934447,0.765402,1.012654
331,0.039551,0.998886,-1.556164,-0.475418
332,0.039857,0.679866,-0.382145,-0.982734
333,0.039887,0.627741,-0.522861,-0.236938
334,0.040101,0.127306,1.941909,2.194366
335,0.040253,0.784131,1.985872,1.696173
336,0.040803,0.611231,-0.203767,1.675694
337,0.040833,0.435874,-0.957286,-0.187703
338,0.040864,0.989776,-2.585814,-0.954648
339,0.040894,0.834806,1.513608,0.943299
340,0.041169,0.248692,1.520599,1.647962
341,0.041260,0.376684,0.195945,-0.750241
342,0.041398,0.484901,1.389661,1.821028
343,0.041520,0.467597,-0.733922,-0.962181
344,0.041535,0.934783,-0.263073,-0.094363
345,0.041550,0.898344,-0.076464,1.025001
346,0.041825,0.449134,-0.738429,-0.443275
347,0.041871,0.393591,-0.565138,-0.605637
348,0.042191,0.907515,0.305293,-0.970413
349,0.042267,0.839628,0.541316,-0.551732
350,0.042496,0.524483,-0.822322,0.423961
351,0.042527,0.059693,0.640200,0.493194
352,0.042588,0.966476,0.070716,-0.628996
353,0.042664,0.383474,-1.430137,-0.775803
354,0.042756,0.266804,-0.568682,-0.132567
355,0.042786,0.879561,1.121664,0.933256
356,0.042878,0.543191,-1.553866,-1.401128
357,0.043168,0.984390,-0.915434,-0.952600
358,0.043244,0.454246,0.155363,0.227917
359,0.043397,0.493645,0.330918,0.654631
360,0.043427,0.566552,0.502972,1.773545
361,0.043687,0.713207,0.358826,1.067569
362,0.043732,0.820630,2.602691,3.063289
363,0.043854,0.018585,0.394280,-0.041208
364,0.043870,0.581872,1.821695,1.636352
365,0.043870,0.082368,-0.278199,-0.223411
366,0.044099,0.858824,-1.882660,-2.658611
367,0.044144,0.277806,0.307198,0.911550
368,0.044236,0.141634,0.739539,0.840386
369,0.044236,0.528801,-0.662640,-1.298794
370,0.044312,0.409323,1.479960,0.775853
371,0.044373,0.681575,2.236708,-0.316145
372,0.044465,0.601877,0.375601,0.431150
373,0.044617,0.099718,-0.255122,0.039867
374,0.044663,0.334218,0.673879,0.092999
375,0.044755,0.591257,3.841812,2.886074
376,0.045167,0.539574,-0.995337,-2.191209
377,0.045167,0.215152,-1.202088,-0.067612
378,0.045228,0.587732,-0.475933,-1.360064
379,0.045365,0.327596,-0.580253,-1.074247
380,0.045579,0.370718,1.393478,-0.794072
381,0.045747,0.373434,-0.382236,0.121032
382,0.045777,0.338781,0.279770,-0.624681
383,0.045808,0.306538,-2.985022,-1.806899
384,0.045869,0.417792,-0.410042,-0.016629
385,0.045884,0.599863,-1.586586,-0.642223
386,0.046235,0.859648,1.293991,1.981480
387,0.046250,0.041871,-1.174618,-1.071255
388,0.046281,0.887343,1.644047,1.606434
389,0.046693,0.021149,0.997942,0.513756
390,0.046799,0.518578,0.978402,0.879988
391,0.046799,0.174105,-1.561257,-1.504453
392,0.046799,0.676509,-3.395990,-2.201687
393,0.047150,0.837705,-1.461114,-0.712695
394,0.047166,0.266270,-2.043054,-2.094413
395,0.047196,0.644495,0.503421,0.818892
396,0.047227,0.424826,0.743891,1.461173
397,0.047578,0.527260,1.433254,0.896355
398,0.047684,0.107546,-1.037484,-0.590974
399,0.047715,0.981491,-0.275680,-0.582898
400,0.047730,0.098344,1.511438,1.548158
401,0.048188,0.820203,-2.879488,-0.917935
402,0.048692,0.799191,-1.220274,-0.650683
403,0.048692,0.735531,0.104798,1.198777
404,0.048737,0.386786,-1.871505,-1.979354
405,0.048814,0.896315,0.377724,-0.777120
406,0.048814,0.931395,0.557631,0.744990
407,0.048844,0.882322,-0.524636,-0.442373
408,0.049134,0.508797,0.939333,0.966212
409,0.049134,0.038407,-0.128639,-0.804105
410,0.049165,0.647196,-2.395609,-1.077408
411,0.049226,0.333501,-0.322364,-0.057926
412,0.049287,0.238209,-0.392082,-0.717861
413,0.049378,0.776761,1.057464,2.175655
414,0.049500,0.891447,0.709277,-0.326364
415,0.049561,0.590433,-1.377875,-1.723346
416,0.049592,0.405524,-0.768817,-0.820154
417,0.049592,0.907378,-0.306742,-0.840848
418,0.049668,0.142336,1.420453,1.916372
419,0.050172,0.964401,0.489054,0.113045
