,x,y,z_test,z_pred
0,0.000168,0.711330,-1.296377,-2.017409
1,0.000229,0.249500,-0.628921,-0.254934
2,0.000290,0.583124,0.375662,-0.228538
3,0.000473,0.198718,1.057075,0.975217
4,0.000519,0.179263,0.349365,0.026962
5,0.000610,0.286580,2.920163,3.207903
6,0.000610,0.683268,0.677214,0.796110
7,0.000732,0.759640,1.572827,1.923140
8,0.001114,0.413581,1.357132,0.761337
9,0.001144,0.500114,-2.673245,-1.988684
10,0.001175,0.216876,1.231285,0.097920
11,0.001266,0.938689,1.336379,2.039548
12,0.001312,0.815351,-0.535193,-0.165451
13,0.001434,0.374624,-2.667614,-3.197012
14,0.001617,0.917144,1.400803,1.607413
15,0.001633,0.081254,-0.087935,-1.572593
16,0.001709,0.889143,-1.718570,-0.351766
17,0.001740,0.738521,-0.833883,1.042015
18,0.001801,0.935821,0.795441,1.232220
19,0.002289,0.164492,-0.536227,0.052306
20,0.002335,0.361563,-1.241664,-0.086991
21,0.002502,0.963745,-3.204975,-1.787715
22,0.002640,0.912490,0.899647,1.245222
23,0.002670,0.813565,-0.236439,-0.282886
24,0.002853,0.589242,0.541879,1.565894
25,0.002869,0.565759,1.440275,0.360241
26,0.003174,0.852644,0.662648,0.582864
27,0.003189,0.887770,0.265368,-0.539793
28,0.003281,0.685847,-0.476987,-0.430490
29,0.003296,0.629801,-0.636694,-0.158517
30,0.003326,0.845396,0.014994,0.381419
31,0.003433,0.405295,1.420227,1.412719
32,0.003494,0.359167,-0.435902,-0.539665
33,0.003525,0.262318,-0.367106,0.081627
34,0.003555,0.996902,0.703148,1.958899
35,0.003571,0.082444,-1.474551,-2.104684
36,0.003632,0.171420,-1.624299,-1.235147
37,0.003632,0.701595,0.824516,1.492559
38,0.003738,0.304417,0.618661,-0.023569
39,0.003754,0.844541,-0.522384,-0.539940
40,0.003876,0.051881,0.534754,-0.207008
41,0.004242,0.755871,-1.953929,-1.569406
42,0.004288,0.615427,1.443028,1.357389
43,0.004425,0.536172,-0.996739,0.030732
44,0.004623,0.568231,0.234258,-0.479133
45,0.004654,0.361868,0.178550,1.014877
46,0.004700,0.350759,-0.923471,-0.564217
47,0.004852,0.119646,-1.190552,-0.342832
48,0.005158,0.137484,-1.852620,-1.450148
49,0.005234,0.433341,-0.465597,-0.341215
50,0.005356,0.913573,-0.501178,0.555514
51,0.005386,0.031327,-1.011702,-1.014559
52,0.005478,0.521263,-0.449922,0.040618
53,0.005493,0.241276,0.165909,0.663473
54,0.005539,0.299413,-0.208879,0.722441
55,0.005539,0.154208,2.057783,2.490695
56,0.005798,0.113283,-2.309721,-1.803766
57,0.006180,0.021866,-0.649672,-0.156190
