,x,y,z_test,z_pred
0,0.000305,0.570382,1.608147,0.878569
1,0.000336,0.775326,-0.881316,-0.996983
2,0.000580,0.475151,1.092182,0.775746
3,0.000595,0.747707,0.492914,0.355797
4,0.000656,0.231342,-0.128990,1.484546
5,0.000839,0.995300,0.183516,1.223593
6,0.001114,0.231159,-0.226465,-0.183858
7,0.001160,0.325185,-0.789728,0.540264
8,0.001312,0.446693,-0.937347,0.020392
9,0.001434,0.516304,1.331945,-0.523722
10,0.001495,0.640772,-1.768999,-0.853645
11,0.001495,0.330312,0.446775,0.039582
12,0.001511,0.037537,1.239361,0.478304
13,0.001526,0.187243,-1.026779,-0.767678
14,0.001541,0.034363,1.262425,1.423008
15,0.001587,0.414099,1.225045,1.624004
16,0.001617,0.803174,2.156810,0.686432
17,0.001740,0.639322,1.471475,0.348461
18,0.001816,0.284276,-2.343891,-1.154522
19,0.002152,0.043214,-0.631569,-0.051433
20,0.002182,0.437110,0.824526,1.092399
21,0.002197,0.503883,2.960975,2.489874
22,0.002319,0.914183,2.283849,1.408637
23,0.002457,0.767132,3.917672,2.797684
24,0.002487,0.372824,0.515644,1.230402
25,0.002594,0.927764,-1.684474,-1.876654
26,0.002823,0.092729,-1.931007,-2.522118
27,0.002869,0.804730,1.203168,0.254588
28,0.003113,0.369604,-0.548671,-0.730477
29,0.003357,0.436774,-1.072417,-0.733932
30,0.003403,0.634653,0.080414,1.213990
31,0.003449,0.430793,-1.447470,0.054782
32,0.003571,0.737270,-0.314489,0.806749
33,0.003693,0.670314,-0.588033,0.124425
34,0.003693,0.822492,1.645057,1.032615
35,0.003861,0.866606,-1.016996,-0.478223
36,0.003891,0.575509,0.992696,0.863389
37,0.004105,0.433707,-2.537236,-3.212856
38,0.004150,0.936156,-0.119260,-0.753456
39,0.004303,0.069230,-1.484947,-0.618692
40,0.004334,0.315282,-0.761477,-0.809765
41,0.004334,0.270298,-0.594763,-0.274235
42,0.004379,0.839338,-0.503428,-0.273409
43,0.004471,0.024231,1.084201,1.738779
44,0.004517,0.012177,0.256822,1.065642
45,0.004547,0.042405,1.051247,0.534601
46,0.004639,0.754162,0.625714,-0.956693
47,0.004700,0.605341,0.982708,-0.635495
48,0.004822,0.953185,0.133018,0.902896
49,0.004883,0.646296,-0.986650,-0.716836
50,0.005112,0.128847,-1.748046,-1.774293
51,0.005127,0.094331,3.703196,3.036427
52,0.005203,0.850614,-1.134528,-0.463121
53,0.005280,0.893599,0.047182,-1.561080
54,0.005341,0.219776,-0.482604,0.248570
55,0.005371,0.586770,1.402211,0.940174
56,0.005386,0.989792,-2.815800,-1.252967
57,0.005463,0.403677,1.818366,1.661093
58,0.005509,0.270802,2.316816,1.793241
59,0.005509,0.652186,-1.817679,-0.824772
60,0.005539,0.500679,0.072698,-0.176094
61,0.005737,0.285466,1.372054,0.938933
62,0.005783,0.982361,-1.570065,-2.153475
63,0.006241,0.967803,-0.139889,-0.004331
64,0.006271,0.139773,0.430273,-0.331224
65,0.006394,0.924697,-0.728890,-1.745308
66,0.006424,0.253437,-1.281805,-0.856695
67,0.006439,0.433707,1.530880,-0.024582
68,0.006516,0.260670,3.503015,3.115625
69,0.006531,0.576242,1.149251,0.757980
70,0.006561,0.514611,0.560749,0.619770
71,0.006577,0.830457,-0.554316,1.099940
72,0.006668,0.205646,-0.384581,-0.363437
73,0.006714,0.707195,-0.028563,0.967762
74,0.006729,0.330541,-0.891620,-0.359023
75,0.006729,0.628565,-1.581445,-2.131720
76,0.006790,0.832151,-0.118039,-0.817203
77,0.007279,0.802564,-1.345343,-1.209088
78,0.007477,0.554803,0.179203,-0.169360
79,0.007538,0.195727,0.583343,0.625140
80,0.007584,0.097536,-1.009974,-1.205464
81,0.007584,0.393790,-0.408514,-0.732863
82,0.007614,0.543725,-0.265005,-0.809029
83,0.007782,0.471427,-3.294961,-2.046210
84,0.007858,0.873381,-0.082853,-0.176543
85,0.008209,0.030213,2.303232,0.951214
86,0.008270,0.953704,-1.001565,0.489074
87,0.008392,0.117128,-1.595759,-1.377156
88,0.008438,0.780880,1.009596,0.568470
89,0.008591,0.697261,-1.979902,-0.983980
90,0.008820,0.207156,1.557148,-0.082256
91,0.009155,0.693858,-1.375868,-0.700921
92,0.009247,0.144518,2.701886,3.330506
93,0.009461,0.430854,1.404998,1.479657
94,0.009720,0.156649,-0.392538,0.441931
95,0.009812,0.227298,-0.322262,-0.532538
96,0.010117,0.672862,-0.145150,-0.805917
97,0.010224,0.142657,1.128709,1.408297
98,0.010239,0.569833,0.467009,-0.381225
99,0.010254,0.025162,2.646744,1.578639
100,0.010391,0.410254,-0.472008,-0.300863
101,0.010529,0.043580,-0.928294,-1.074261
102,0.010575,0.564813,0.500757,1.353728
103,0.010620,0.028229,0.972065,1.274846
104,0.010681,0.780407,0.496718,-0.242501
105,0.010819,0.134386,-0.321670,0.616614
106,0.010880,0.322545,-0.426552,-0.817948
107,0.011124,0.376547,0.619585,0.828905
108,0.011261,0.594858,-0.030515,0.423363
109,0.011307,0.077745,0.225814,1.292977
110,0.011307,0.768841,-0.672759,-0.651400
111,0.011475,0.948379,-0.201242,-0.393807
112,0.011566,0.498680,-0.354333,0.763636
113,0.011688,0.548867,1.625251,0.854963
114,0.011704,0.214771,-0.443205,0.175120
115,0.011749,0.347280,0.939837,1.385457
116,0.011780,0.103288,-1.087569,-1.278420
117,0.011856,0.894163,0.479861,-0.482227
118,0.012161,0.381109,-2.541827,-2.117303
119,0.012390,0.880415,1.515232,1.918596
120,0.012467,0.122606,2.212428,1.106632
121,0.012512,0.168826,1.545886,1.159738
122,0.012528,0.986740,1.711347,0.966220
123,0.012558,0.034867,0.737193,0.822067
124,0.012589,0.837186,1.004052,1.359930
125,0.012650,0.758206,-0.706494,-0.513757
126,0.012665,0.021180,-1.420716,-1.954150
127,0.012741,0.777813,-1.932733,-0.355209
128,0.012802,0.980163,-0.124161,0.211173
129,0.013199,0.809445,-1.515259,-0.779881
130,0.013458,0.145449,-0.347283,0.427197
131,0.013535,0.124498,-1.164660,-0.906260
132,0.013581,0.757794,1.603651,0.415048
133,0.013672,0.748455,-0.387816,-0.496316
134,0.014145,0.882856,0.476413,-0.086656
135,0.014282,0.781750,-0.471846,-0.285922
136,0.014374,0.188891,1.007519,-0.668931
137,0.014405,0.241627,-2.265435,-0.468106
138,0.014435,0.437247,-0.060799,0.670522
139,0.014450,0.751354,-0.910951,-0.199100
140,0.014527,0.179706,2.588945,3.507407
141,0.014557,0.168109,2.350814,1.346698
142,0.014694,0.572213,-0.198206,-1.003434
143,0.014710,0.637476,0.416431,0.804808
144,0.014801,0.771466,-0.169034,-0.230368
145,0.014832,0.416587,2.206717,2.649400
146,0.014878,0.645106,0.111853,-1.146895
147,0.015549,0.739666,-0.157705,1.599381
148,0.015671,0.991287,0.623921,-0.467142
149,0.015702,0.472862,0.260469,-0.023967
150,0.015763,0.399268,1.428682,1.158307
151,0.015885,0.347601,1.139705,1.978374
152,0.016297,0.215671,-1.505211,-0.967805
153,0.016403,0.740780,0.862821,0.573512
154,0.016419,0.095460,-0.509534,0.067884
155,0.016541,0.971649,0.363693,0.630601
156,0.016587,0.940597,-2.579025,-2.406594
157,0.016632,0.544579,-0.535750,0.871537
158,0.016693,0.237522,-1.771086,-2.423796
159,0.016739,0.959548,0.785585,1.246788
160,0.016831,0.373175,1.720006,1.712208
161,0.017182,0.899428,1.991939,2.810648
162,0.017212,0.208103,0.833475,0.612658
163,0.017426,0.279500,-1.596448,-0.953848
164,0.017456,0.079500,-0.201287,0.027593
165,0.017472,0.992355,-0.426707,0.077071
166,0.017517,0.431861,-0.471000,0.865675
167,0.017624,0.386816,-0.809517,-1.466381
168,0.017792,0.196460,1.598690,1.405130
169,0.017792,0.733516,-1.049427,-1.242030
170,0.017899,0.609125,0.601472,1.184049
171,0.018128,0.303319,-0.804673,-0.940878
172,0.018433,0.793393,-1.672428,-0.487402
173,0.018845,0.128878,0.559005,1.206042
174,0.018891,0.564797,0.171285,-1.415651
175,0.019150,0.778546,2.916118,4.615389
176,0.019165,0.186801,1.067434,0.660983
177,0.019181,0.304326,-2.196440,-0.985425
178,0.019333,0.239155,-1.715604,-0.568667
179,0.019394,0.997345,1.194010,2.051936
180,0.019654,0.156420,0.275428,-0.037832
181,0.019669,0.076463,1.264097,1.902657
182,0.020371,0.939345,-0.076215,0.322297
183,0.020630,0.057160,0.544795,1.296427
184,0.020661,0.747265,0.618969,0.053415
185,0.020722,0.096574,0.028686,0.518477
186,0.020722,0.398856,-0.023369,0.033875
187,0.020813,0.046250,1.223500,0.528024
188,0.020844,0.714611,-0.470175,-0.914704
189,0.020890,0.329656,-0.954152,-1.830429
190,0.021118,0.879133,-1.837276,-1.546230
191,0.021180,0.306600,-0.292512,-0.827046
192,0.021180,0.952529,-0.337143,0.320383
193,0.021302,0.150423,2.305275,0.834281
194,0.021546,0.152300,1.053020,0.740477
195,0.021561,0.950164,-1.414169,-1.375628
196,0.021637,0.973236,0.587311,-0.519474
197,0.021714,0.980499,3.062872,1.736549
198,0.021805,0.924163,3.297909,2.587439
199,0.021881,0.866270,-0.342079,0.923384
200,0.021881,0.341115,-2.862370,-2.320201
201,0.022217,0.450263,0.500200,1.615318
202,0.022232,0.841840,0.594577,0.061412
203,0.022248,0.636606,-0.566313,-1.400492
204,0.022263,0.193347,-2.506960,-1.926462
205,0.022385,0.588708,-1.578488,-2.167619
206,0.022827,0.019135,-0.968135,-0.654637
207,0.022873,0.398413,0.653622,0.678056
208,0.023133,0.710780,1.710159,1.699416
209,0.023423,0.227176,1.371513,0.858758
210,0.023423,0.218540,0.872324,1.216395
211,0.023529,0.694560,-1.195187,-1.020230
212,0.023545,0.868650,1.808190,0.393516
213,0.023560,0.429892,0.065623,-0.973610
214,0.023621,0.062181,-0.251194,-0.049897
215,0.023713,0.691432,0.538749,0.971584
216,0.023743,0.007721,-2.274279,-3.292205
217,0.023758,0.338140,0.778687,1.370065
218,0.023758,0.509163,-1.364134,-0.184434
219,0.023789,0.834867,1.608770,1.471608
220,0.023819,0.907317,-1.563851,-2.172392
221,0.023865,0.293645,-0.177531,-0.672514
222,0.024186,0.490410,-0.305186,0.687069
223,0.024475,0.845518,-1.151540,-1.150431
224,0.024598,0.953384,0.959294,-0.443896
225,0.024765,0.117525,1.265489,1.194355
226,0.024796,0.520729,-2.982884,-1.921575
227,0.024826,0.629816,0.845142,0.802794
228,0.025315,0.984878,1.623659,0.945998
229,0.025422,0.581857,0.416258,0.149723
230,0.025422,0.837827,0.711389,1.015035
231,0.025483,0.588678,1.978667,1.208984
232,0.025528,0.995377,-1.523585,-0.433019
233,0.025589,0.590539,-0.272419,-1.114325
234,0.025696,0.264286,0.911394,1.386727
235,0.025742,0.635691,-0.585044,-1.849801
236,0.025757,0.084611,-0.821935,-0.953848
237,0.025818,0.610361,0.466750,-0.391694
238,0.025834,0.880171,0.770543,0.228518
239,0.025895,0.126787,-0.487320,0.483861
240,0.026184,0.124605,-1.897159,-0.681392
241,0.026184,0.134203,2.543954,2.473724
242,0.026200,0.370535,-3.027274,-3.231703
243,0.026261,0.493172,0.402330,0.020516
244,0.026276,0.906737,-1.422733,-1.811178
245,0.026291,0.112825,0.052912,-1.537643
246,0.026322,0.631327,1.632490,0.828332
247,0.026612,0.380163,-1.571968,-1.314555
248,0.026658,0.181781,-1.363698,-0.637991
249,0.026688,0.674144,0.465755,0.822067
250,0.026764,0.051804,1.856270,1.131617
251,0.026780,0.942580,-0.425589,-0.855377
