,x,y,z_test,z_pred
0,0.000107,0.242100,-1.200136,-1.077396
1,0.000443,0.117098,-0.030285,-0.853542
2,0.000565,0.091463,-0.400857,-1.209738
3,0.000687,0.871672,1.360167,2.480984
4,0.000855,0.401175,1.652602,1.390518
5,0.001450,0.992615,2.133166,1.569268
6,0.001480,0.809567,-0.090509,0.618105
7,0.001526,0.534173,-0.758666,-0.619600
8,0.001602,0.976654,1.608942,2.023481
9,0.001648,0.572412,0.459095,-0.912233
10,0.001801,0.295552,-1.353021,-0.589069
11,0.001846,0.366384,0.958161,0.502627
12,0.001862,0.580865,2.394143,1.637431
13,0.002182,0.276204,-0.684739,-0.562368
14,0.002197,0.734295,-1.023664,-0.602423
15,0.002197,0.829633,-1.121917,-1.246975
16,0.002213,0.647883,-0.514339,-0.234499
17,0.002213,0.304677,-0.527071,-0.423218
18,0.002365,0.619745,-0.969399,-2.390259
19,0.002396,0.913848,1.177191,1.688045
20,0.002533,0.693233,-0.038304,0.304428
21,0.002579,0.463767,-0.764796,-0.083950
22,0.002640,0.637629,1.729218,1.849606
23,0.002731,0.583581,-0.342039,-0.772277
24,0.002762,0.945525,-1.260069,-1.325916
25,0.002899,0.971298,-1.374721,-1.387349
26,0.003143,0.317754,-1.776560,-1.411318
27,0.003189,0.568765,-1.230384,-1.536500
28,0.003403,0.742519,-2.973289,-1.527046
29,0.003418,0.989334,-0.746162,0.017055
30,0.003449,0.927626,-0.486654,-1.300979
31,0.004288,0.234592,1.811948,2.610416
32,0.004364,0.766217,-0.418391,-0.651653
33,0.004379,0.296529,-0.378085,-1.157442
34,0.004532,0.382849,-2.066707,-1.644255
35,0.004532,0.864317,1.208620,1.168675
36,0.004532,0.254368,1.099932,0.715038
37,0.004532,0.279469,1.335822,1.312837
38,0.004639,0.151461,0.836431,0.181893
39,0.004654,0.026123,-2.334486,-2.951142
40,0.004761,0.091142,-1.151316,-1.504264
41,0.005295,0.993118,0.207840,1.018561
42,0.005356,0.770520,-0.306198,-0.443836
43,0.005386,0.256413,-1.684449,-0.509902
44,0.005402,0.117617,-0.384518,-0.400087
45,0.005600,0.095537,-2.044165,-1.631852
46,0.005615,0.967315,-0.703745,-0.361617
47,0.005676,0.163363,-0.022459,-1.120454
48,0.005737,0.767193,1.688202,2.334017
49,0.005844,0.283818,1.815625,0.894274
50,0.005859,0.077607,1.218673,1.000483
51,0.006180,0.949523,-1.102416,-2.814947
52,0.006180,0.892302,-2.762971,-2.487591
53,0.006332,0.493263,1.006232,-0.683116
54,0.006348,0.299504,-1.451655,-1.251864
55,0.006363,0.087312,1.040588,0.692365
56,0.006561,0.797711,-1.456039,-1.438180
57,0.006760,0.051575,1.020775,0.607386
58,0.007141,0.815808,-2.956195,-2.907073
59,0.007172,0.334798,-1.493203,-0.827664
60,0.007263,0.523781,-2.640553,-2.675292
61,0.007584,0.761685,-1.684105,-1.569980
62,0.007630,0.539330,2.927733,2.984076
63,0.007797,0.993668,0.110570,-0.415316
64,0.007889,0.161715,-2.173991,-1.887119
65,0.008148,0.987625,2.687809,2.705539
66,0.008164,0.192676,1.814582,2.828744
67,0.008255,0.342260,-0.984580,-0.853224
68,0.008316,0.905562,2.175421,3.305704
69,0.008316,0.781842,-1.296463,-2.258779
70,0.008331,0.259113,-0.132815,1.067867
71,0.008392,0.494743,1.290073,1.174262
72,0.008423,0.498268,1.730412,0.835890
73,0.008438,0.934829,0.052954,0.371153
74,0.008743,0.939132,1.421478,1.695093
75,0.009110,0.781735,-0.139567,-0.449185
76,0.009155,0.679194,-0.856448,-0.877492
77,0.009171,0.724834,-1.516558,-1.381800
78,0.009216,0.903197,-0.476527,0.548506
79,0.009400,0.808743,-0.310600,-1.245823
80,0.009522,0.314687,2.053183,1.607953
81,0.009583,0.621637,1.936079,2.097905
82,0.009674,0.555459,0.134792,-0.236073
83,0.009735,0.150744,1.689874,1.586617
84,0.009735,0.546578,1.257379,0.551197
85,0.009796,0.942473,-1.068859,-2.198668
86,0.009812,0.195300,-1.708688,-1.489838
87,0.010193,0.240284,-2.559108,-1.126062
88,0.010208,0.612390,0.350641,0.199709
89,0.010285,0.738674,0.993259,1.500057
90,0.010407,0.976333,-0.150753,-0.442597
91,0.010513,0.264378,-2.399907,-2.028951
92,0.010773,0.091188,-1.027575,-0.506431
93,0.010819,0.390173,2.628763,2.458331
94,0.011139,0.988769,1.152035,1.349388
95,0.011185,0.712688,-0.998538,-0.572153
96,0.011246,0.020523,1.749519,1.697057
97,0.011261,0.291188,-1.866464,-0.330224
98,0.011322,0.954757,-0.370719,-0.612952
99,0.011414,0.295293,-1.904089,-2.583934
100,0.011536,0.045228,2.127876,1.710557
101,0.011719,0.282536,-1.522738,-1.899869
102,0.011734,0.362127,1.332791,1.532003
103,0.011795,0.903243,2.060251,1.376133
104,0.011872,0.232853,-3.044789,-1.707065
105,0.012222,0.648325,2.133580,1.973768
106,0.012268,0.316152,3.081088,3.001056
107,0.012375,0.205402,2.751621,0.626418
108,0.012451,0.812634,-0.399175,-0.670964
109,0.012451,0.069581,-1.884757,-2.039393
110,0.012482,0.686702,-0.103890,1.536229
111,0.012558,0.099443,-1.639193,-2.220860
112,0.012818,0.727794,-1.109895,-1.121916
113,0.012863,0.792401,0.916030,2.505184
114,0.013184,0.551843,-3.088949,-2.016111
115,0.013199,0.761257,0.866385,0.662741
116,0.013275,0.416571,-0.363463,-0.283327
117,0.013336,0.502159,-1.643916,-1.826606
118,0.013458,0.674510,-0.515679,0.435654
119,0.013550,0.835172,-0.518634,-0.169023
120,0.013596,0.220813,-0.488991,-1.535836
121,0.013825,0.490669,-0.598954,0.514417
122,0.014679,0.564569,1.657883,2.325341
123,0.014786,0.569162,-0.092430,-0.079067
124,0.015106,0.126436,-1.932294,-0.568132
125,0.015518,0.814557,-2.952329,-3.327612
126,0.015518,0.406775,1.679487,1.346987
127,0.015579,0.768154,2.142053,2.803572
128,0.015579,0.565255,-1.529921,-0.500447
129,0.015793,0.460395,0.870745,1.401847
130,0.016236,0.509209,-1.527210,-0.647430
131,0.016419,0.306157,0.381206,1.818024
132,0.016434,0.430518,0.036332,-1.023842
133,0.016495,0.518730,-2.144420,-1.463210
134,0.016770,0.720302,-0.567056,-0.866867
135,0.016785,0.059525,1.672242,1.853121
136,0.017136,0.168688,0.740775,0.331115
137,0.017166,0.776226,-2.582387,-1.594703
138,0.017197,0.633310,0.412722,1.697981
139,0.017273,0.539635,-0.725101,-1.731860
140,0.017319,0.363470,-2.244622,-2.726077
141,0.017395,0.453880,-1.217052,-0.107249
142,0.017426,0.565743,-0.721397,-0.057317
143,0.017456,0.580362,0.347696,0.256368
144,0.017472,0.106676,-1.579908,-1.909857
145,0.017533,0.628840,1.575908,2.776623
146,0.017670,0.348806,-1.316914,-1.698001
147,0.017670,0.140627,0.811317,2.357875
148,0.017762,0.567163,-1.046641,-0.472964
149,0.017823,0.680613,0.342240,0.201967
150,0.018280,0.595407,-1.970363,-1.383311
151,0.018341,0.998627,-1.476655,-2.639654
152,0.018341,0.692805,-0.309167,-1.588626
153,0.018463,0.119677,-1.472009,-1.448045
154,0.018555,0.254810,2.296767,1.316712
155,0.018555,0.391714,-0.929021,-0.887852
156,0.018585,0.327321,-2.140521,0.258420
157,0.018631,0.239429,0.852488,0.327337
158,0.018708,0.812222,1.620932,1.159857
159,0.019318,0.897810,-0.565556,-0.612345
160,0.019409,0.688670,-1.181150,-1.727186
161,0.019455,0.555703,2.205535,1.928294
162,0.019501,0.328832,0.732465,0.351084
163,0.019562,0.203616,-3.165763,-2.371686
164,0.019577,0.255756,-1.622984,-1.291622
165,0.019593,0.923461,-1.269226,-1.472196
166,0.019715,0.385733,-0.463839,-0.249758
167,0.019791,0.119677,2.362492,1.685746
168,0.019852,0.141527,1.086083,0.194074
169,0.019867,0.092180,1.763216,1.353974
170,0.019883,0.301701,-0.426826,-0.550641
171,0.019898,0.037781,1.004269,2.486057
172,0.020142,0.975296,0.317685,0.041798
173,0.020783,0.859693,3.554420,1.696650
174,0.021134,0.577264,0.276216,-0.291199
175,0.021286,0.196109,1.282993,0.849976
176,0.021302,0.131441,-1.541221,-2.091625
177,0.021607,0.250599,-2.403697,-1.405231
178,0.021668,0.029725,0.229143,0.150303
179,0.021668,0.607340,0.556154,-0.235336
180,0.021714,0.164263,-0.919109,-0.541858
181,0.021851,0.868696,2.470586,2.208984
182,0.022156,0.121126,-1.122637,-1.133624
183,0.022293,0.923522,0.833218,1.425562
184,0.022385,0.693324,-1.086074,-0.698002
185,0.022400,0.595621,1.014631,-0.516102
186,0.022599,0.291737,1.041811,0.719315
187,0.022705,0.873396,-0.955609,-1.037775
188,0.022721,0.936278,1.140444,1.531831
189,0.022751,0.383429,-0.847178,-0.475079
190,0.022827,0.583505,0.728020,1.499608
191,0.023239,0.725109,-0.779374,-0.552006
192,0.023316,0.181399,0.030279,0.391179
193,0.023316,0.250782,-0.244838,-0.195718
194,0.023316,0.163790,2.658418,3.931592
195,0.023362,0.733806,1.480470,0.810103
196,0.023377,0.069627,0.953609,0.041502
197,0.023377,0.953826,3.582943,3.421768
198,0.023407,0.700206,1.745686,1.711076
199,0.023835,0.459754,-0.045119,-0.612952
200,0.023835,0.538796,-1.492415,-1.997364
201,0.024170,0.770779,-1.627671,-0.818562
202,0.024231,0.709712,-1.298548,-1.845156
203,0.024353,0.178180,0.628709,0.535120
204,0.024628,0.377615,-0.461341,-1.613607
205,0.024781,0.257176,-1.219609,-1.124242
206,0.024781,0.040131,-1.087407,0.193498
207,0.024796,0.891890,-0.895664,0.382350
208,0.025513,0.352102,1.987785,1.726174
209,0.025559,0.638209,-0.993162,-0.895442
210,0.025742,0.620447,-1.441878,-0.896084
211,0.025803,0.831174,1.338971,1.934371
212,0.025803,0.679698,-2.531897,-1.259178
213,0.026184,0.082658,-1.465448,-1.880820
214,0.026230,0.337240,2.264368,2.538285
215,0.026246,0.410254,1.795413,0.719990
216,0.026368,0.516747,0.170150,-0.028358
217,0.026566,0.054780,-0.991466,-1.575018
218,0.026596,0.646250,-1.095303,-1.603822
219,0.026596,0.043839,-1.144985,-0.933246
220,0.026596,0.811688,0.804247,-0.928481
221,0.026688,0.648219,-1.592639,-1.488736
222,0.026780,0.907118,-2.230591,-1.134554
223,0.027359,0.642649,-1.497850,-1.062177
224,0.027466,0.455482,-2.006605,0.533800
225,0.027466,0.631357,-1.428790,-1.789626
226,0.027573,0.247715,0.083285,-0.500728
227,0.027588,0.748440,1.659949,1.705430
228,0.027604,0.187747,1.001823,1.940953
229,0.027710,0.162280,-1.510062,-0.468551
230,0.027741,0.013474,-1.949307,-1.902062
231,0.027756,0.282383,3.009740,3.037442
232,0.027756,0.881285,-0.274544,0.375697
233,0.028168,0.989761,0.798590,1.151533
234,0.028183,0.503716,0.638608,1.088148
235,0.028336,0.896742,-0.184943,-0.892313
236,0.028351,0.015244,1.253956,1.636173
237,0.028870,0.768429,-2.134461,-0.844654
238,0.029129,0.490150,-2.368829,-1.380859
239,0.029252,0.296147,2.171487,0.912391
240,0.029282,0.872389,-1.243976,-0.550489
241,0.029343,0.502159,-0.581193,0.492840
242,0.029404,0.152667,-2.061142,-1.801120
243,0.029450,0.091447,-0.367227,-0.031155
244,0.029465,0.776349,0.717926,2.181703
245,0.029511,0.173800,0.141810,0.376373
246,0.029694,0.876326,-0.877991,-1.674103
247,0.029694,0.878431,1.868264,0.505394
248,0.029786,0.603189,0.111356,-0.033355
249,0.029831,0.172702,-2.598931,-2.697145
250,0.030152,0.453422,0.040861,0.849193
251,0.030259,0.296208,1.841062,1.350922
252,0.030335,0.297810,-1.388759,-1.528041
253,0.030335,0.267491,-0.842414,-1.218660
254,0.030594,0.194308,0.368284,-0.740310
255,0.031174,0.076219,-0.782888,-0.880306
256,0.031189,0.004349,-1.245988,-0.229848
257,0.031357,0.578393,1.388001,0.673210
258,0.031357,0.483894,-1.438876,-1.411318
259,0.031495,0.622614,-2.130184,-0.695523
260,0.031662,0.654551,-0.751442,-1.696033
261,0.031739,0.163165,-1.682891,-1.618999
262,0.031754,0.568734,-1.103662,-0.700130
263,0.031846,0.254810,-1.034165,-1.209738
264,0.031891,0.019211,0.653863,1.610890
265,0.032136,0.112657,-0.039651,-0.508054
266,0.032425,0.324392,1.241070,2.083853
267,0.032471,0.550896,-0.941734,0.171936
268,0.032547,0.986511,-0.595137,-0.407371
269,0.032624,0.546441,0.536393,0.427542
270,0.032654,0.142733,-2.243612,-1.924143
271,0.032654,0.744381,-1.784303,-1.839682
272,0.032837,0.906447,2.454811,2.135893
273,0.033204,0.784604,0.395949,-0.029889
274,0.033204,0.069764,-1.712485,-1.035529
275,0.033417,0.507103,2.763879,1.156708
276,0.033524,0.787335,-1.306107,-0.776112
277,0.033646,0.154452,-1.169839,-1.295406
278,0.033722,0.378378,-0.880172,-1.121158
279,0.033768,0.484443,-0.370141,-0.895972
280,0.033890,0.795575,-2.398212,-2.396770
281,0.034226,0.601572,0.586906,0.744429
282,0.034226,0.581415,-0.138929,1.586043
283,0.034226,0.047303,0.121141,0.525305
284,0.034470,0.224750,1.454165,2.443841
285,0.034562,0.460899,-1.636454,-2.556567
286,0.034638,0.122683,-1.613846,-1.632803
287,0.034775,0.361410,1.869152,1.316756
288,0.035279,0.949447,-2.251896,-1.132203
289,0.035279,0.276677,2.114098,1.997632
290,0.035370,0.361120,-0.792289,0.440383
291,0.035447,0.222202,-0.933503,-0.544107
292,0.035477,0.160815,-0.804972,-1.287175
293,0.035523,0.750179,1.688140,1.044761
294,0.035569,0.583810,0.351199,0.599977
295,0.035691,0.504677,-1.954947,-2.106554
