,x,y,z_test,z_pred
0,0.000183,0.665354,-0.278978,-0.166796
1,0.000320,0.757733,-1.307086,-0.687770
2,0.000397,0.226398,-1.722210,-1.406687
3,0.000534,0.755856,1.919540,2.568238
4,0.000610,0.232105,0.809632,1.000135
5,0.000671,0.639567,0.876418,1.025472
6,0.000702,0.712474,1.746936,1.398252
7,0.000732,0.073686,-0.456401,-1.882567
8,0.000793,0.099763,-0.955552,-0.872586
9,0.000839,0.826658,-0.541398,-2.825739
10,0.001312,0.135531,0.597264,1.202501
11,0.001785,0.949889,-0.863416,-1.004158
12,0.001877,0.672419,-1.358525,-0.849642
13,0.002182,0.712718,-1.338963,-0.236418
14,0.002213,0.077562,-2.024513,-2.049858
15,0.002426,0.865660,-1.045553,-1.179331
16,0.002487,0.987182,-0.456756,-0.358497
17,0.002579,0.278691,-0.972351,-1.984143
18,0.002686,0.008408,-1.006435,-1.703158
19,0.002716,0.598245,-0.718263,-1.325344
20,0.002853,0.836576,-1.822217,-1.082591
21,0.002869,0.254826,0.501238,0.024402
22,0.003113,0.582361,0.140165,-1.150218
23,0.003128,0.799680,0.051083,-0.845428
24,0.003189,0.872847,-3.442741,-3.916376
25,0.003677,0.969757,-2.504065,-3.179035
26,0.003754,0.993240,0.010726,-0.070829
27,0.003891,0.843244,-0.121275,-0.222824
28,0.004364,0.413321,-1.031186,-0.449177
29,0.004532,0.218219,1.007510,2.265554
30,0.004547,0.300557,-0.290742,-1.519667
31,0.004730,0.378500,4.561286,4.029788
32,0.004730,0.896696,-0.027082,0.796286
33,0.005356,0.770520,-3.017276,-1.917664
34,0.005478,0.503212,1.571131,3.398472
35,0.005890,0.872816,-0.530635,-0.861975
36,0.006149,0.148699,-0.052472,0.192316
37,0.006165,0.130465,0.692101,1.214272
38,0.006287,0.023346,2.750056,2.146873
39,0.006287,0.854261,1.210592,1.350036
40,0.006409,0.230518,-0.858487,-0.623299
41,0.006409,0.579446,1.650333,1.794439
42,0.006561,0.292653,-0.947828,-1.202541
43,0.006790,0.355901,-0.087114,0.043650
44,0.006790,0.905760,2.718868,1.647894
45,0.007141,0.560388,1.012143,0.319194
46,0.007187,0.849897,1.330849,0.939833
47,0.007324,0.508583,0.729324,0.556938
48,0.007340,0.442741,-1.957366,-1.653005
49,0.007431,0.782422,2.403057,1.538716
50,0.007431,0.969787,-0.604587,-0.063996
51,0.007507,0.982254,-0.693100,-1.111053
52,0.007507,0.262516,4.130746,2.772821
53,0.007507,0.970336,-3.872552,-2.853826
54,0.007553,0.522774,-1.080561,-0.845428
55,0.007568,0.350668,1.453747,0.564078
56,0.007752,0.090135,1.450802,0.058090
57,0.007797,0.993668,0.909251,0.794348
58,0.007843,0.121187,-0.317656,-1.156410
59,0.008133,0.708324,1.803172,1.286364
60,0.008194,0.857160,1.588400,1.198121
61,0.008301,0.619226,0.900711,2.434902
62,0.008331,0.360296,0.408556,0.083495
63,0.008347,0.084138,-0.670824,-0.654482
64,0.008499,0.081880,-1.640814,-0.262617
65,0.008682,0.245686,-0.394829,-0.673559
66,0.009110,0.647761,0.526355,0.095034
67,0.009171,0.442405,1.401818,1.924837
68,0.009262,0.642145,1.507169,2.020896
69,0.009537,0.474479,-2.614319,-1.829804
70,0.009567,0.270832,-0.239992,0.098869
71,0.009598,0.394217,1.293454,0.085059
72,0.009720,0.019623,1.104388,1.982524
73,0.009812,0.062806,-0.134545,-0.845370
74,0.009888,0.218616,-0.873175,-1.235550
75,0.010193,0.071519,-1.485709,-0.706737
76,0.010208,0.674342,-0.888478,-0.498985
77,0.010437,0.404822,1.423550,2.256009
78,0.010437,0.469825,-1.435918,-1.378124
79,0.010437,0.697887,-0.159081,-0.111845
80,0.010513,0.101274,0.662319,-0.508562
81,0.010513,0.510780,0.583980,0.340227
82,0.010636,0.723766,-2.148206,-1.797867
83,0.010666,0.726757,-0.943600,-0.635495
84,0.010788,0.458839,0.103388,-0.364588
85,0.010803,0.954711,-0.351821,-0.184536
86,0.010834,0.017136,0.584351,0.831993
87,0.011170,0.072358,-1.722416,-0.216150
88,0.011307,0.696468,0.020449,-0.042160
89,0.011582,0.738247,-1.748095,-2.224762
90,0.011612,0.049134,0.939162,0.950918
91,0.011658,0.862867,-1.979795,-1.106060
92,0.011765,0.953552,-0.847298,-1.846946
93,0.011795,0.985611,-1.342107,-1.995003
94,0.011826,0.597223,1.022065,0.600032
95,0.012100,0.488487,2.058093,0.215547
96,0.012238,0.947250,-0.137997,0.222660
97,0.012406,0.053315,0.233375,-0.885376
98,0.012436,0.049546,-2.287523,-1.945600
99,0.012558,0.931579,0.116622,0.508348
100,0.013199,0.524300,-0.449829,-0.355015
101,0.013230,0.130694,-1.237059,-1.412792
102,0.013230,0.725551,1.271721,1.351425
103,0.013321,0.369223,-1.038219,-0.764092
104,0.013474,0.169268,2.144845,1.636133
105,0.013535,0.124498,-0.737740,-1.183428
106,0.013550,0.697307,2.154457,1.540514
107,0.013581,0.135149,-0.642795,-0.862021
108,0.013596,0.042344,1.227632,1.228957
109,0.013611,0.354223,-1.546754,-0.730485
110,0.013642,0.917708,2.519278,1.726357
111,0.013687,0.687770,1.599226,1.715095
112,0.013748,0.190204,-1.903970,-1.481372
113,0.013855,0.540703,1.693454,1.579035
114,0.013886,0.295781,-1.198397,-0.816790
115,0.013901,0.644419,-0.981977,-0.324510
116,0.014206,0.017151,-2.044170,-1.481522
117,0.014237,0.549630,2.644565,3.031791
118,0.014359,0.326207,2.317627,1.038944
119,0.014466,0.946578,-0.952871,-1.169682
120,0.014481,0.915389,-0.670011,-1.543455
121,0.014588,0.445426,0.267466,-0.044758
122,0.014664,0.976394,1.661267,0.741503
123,0.014740,0.205722,1.171255,0.526636
124,0.014801,0.364630,0.506755,1.409952
125,0.015244,0.713375,-0.702383,-1.192292
126,0.015259,0.671550,2.178855,1.258890
127,0.015290,0.655314,-0.252247,-0.545567
128,0.015427,0.156832,1.268423,1.794084
129,0.015488,0.276188,1.435569,1.506351
130,0.015518,0.240345,-0.338903,0.249651
131,0.015763,0.603479,2.341503,1.774205
132,0.015808,0.526146,-0.529834,-0.545687
133,0.015885,0.352865,-0.523814,0.048686
134,0.016281,0.649332,0.516024,1.251447
135,0.016342,0.512871,1.167716,1.325601
136,0.016434,0.211627,-0.695573,-1.742076
137,0.016449,0.664714,-0.177073,-0.829849
138,0.016495,0.577127,1.675083,1.849293
139,0.016571,0.658640,-0.382705,-0.738054
140,0.016693,0.237522,1.556677,1.527947
141,0.016724,0.945190,1.843777,1.398269
142,0.016754,0.916472,1.944548,2.048877
143,0.017105,0.299870,-1.072773,-1.581761
144,0.017182,0.060502,-1.045858,-1.424913
145,0.017258,0.879347,2.118843,2.088415
146,0.017288,0.718120,1.706235,0.638075
147,0.017334,0.732845,2.144312,1.996345
148,0.017350,0.281392,1.187941,1.387103
149,0.017441,0.545769,2.597473,2.580424
150,0.017548,0.971817,-1.931186,-1.618883
151,0.017594,0.180591,-0.523581,-0.138486
152,0.017716,0.456245,-1.152558,-0.845428
153,0.017838,0.409537,-1.204344,-1.170211
154,0.018112,0.493400,2.799789,2.041810
155,0.018204,0.907591,-0.565836,-1.648301
156,0.018265,0.730159,-0.190151,-1.057322
157,0.018311,0.249302,1.400712,1.219082
158,0.018311,0.470329,-1.742979,-2.336432
159,0.018479,0.772229,-0.837484,-0.885534
160,0.018524,0.020661,-1.117264,-1.101282
161,0.018662,0.894789,2.496092,1.352961
162,0.019120,0.109453,1.565988,1.359172
163,0.019623,0.529290,-0.268475,-0.868976
164,0.019776,0.250599,-0.493804,-1.592904
165,0.019791,0.466423,-1.134338,-0.736997
166,0.020172,0.392508,-0.873205,-2.216317
167,0.020203,0.941741,-0.409913,0.326563
168,0.020371,0.142412,2.328442,2.670200
169,0.020478,0.653819,-1.038454,-0.708382
170,0.020478,0.338842,0.304370,0.675087
171,0.020600,0.784863,0.569900,0.162600
172,0.020676,0.477440,-0.161483,1.533025
173,0.020768,0.903410,-1.370153,-1.004390
174,0.020813,0.186389,0.638638,0.409045
175,0.021103,0.558389,1.612998,2.517574
176,0.021118,0.879133,0.853151,1.833597
177,0.021180,0.306600,1.250255,1.592312
178,0.021180,0.115267,0.535707,0.554762
179,0.021256,0.606729,-1.773911,-1.934348
180,0.021256,0.538125,0.692483,1.260034
181,0.021347,0.870619,-0.801530,-0.209092
182,0.021408,0.696696,0.970587,0.843559
183,0.021439,0.326650,1.075407,1.387940
184,0.021469,0.549630,1.401412,2.152568
185,0.021485,0.156756,0.427128,1.044349
186,0.021653,0.554452,-0.106672,-0.899674
187,0.021851,0.868696,2.210229,2.215098
188,0.022126,0.889357,0.384920,0.036883
189,0.022141,0.209400,-0.945888,-0.066792
190,0.022156,0.837278,0.438624,1.121699
191,0.022354,0.994873,-0.129401,-0.673559
192,0.022507,0.163699,-1.973635,-2.441186
193,0.022568,0.928862,-0.341153,-0.807731
194,0.022660,0.136782,-1.369322,-0.735638
195,0.022721,0.227390,1.343512,1.896565
196,0.022782,0.821302,-1.572165,-1.887646
197,0.022889,0.011765,0.557146,0.507600
198,0.023117,0.386557,0.261215,0.886119
199,0.023331,0.388434,-2.917134,-2.918903
200,0.023362,0.334493,0.673133,0.882705
201,0.024216,0.648676,-1.307386,-0.811543
202,0.024247,0.848859,1.445986,1.220699
203,0.024414,0.901396,0.420202,0.293727
204,0.024552,0.501472,-1.896867,-0.636540
205,0.024613,0.085725,2.049900,1.258202
206,0.024689,0.144182,-1.549582,-1.787913
207,0.024857,0.042161,-0.253907,0.323274
208,0.025147,0.882719,5.128438,4.569711
209,0.025177,0.148852,0.198499,1.396565
210,0.025223,0.422675,-0.956752,-0.391416
211,0.025315,0.282856,-3.106044,-3.108799
212,0.025315,0.984878,0.372525,1.191931
213,0.025345,0.954299,-0.497553,-1.211145
214,0.025391,0.946334,-0.783425,-1.361197
215,0.025467,0.338674,-0.905575,-0.551936
216,0.025574,0.233509,1.182655,1.654720
217,0.025589,0.283116,-1.125730,-2.103416
218,0.025803,0.790433,-0.027162,0.511473
219,0.026169,0.147387,0.282350,-0.763508
220,0.026169,0.703624,-0.678558,-0.326348
221,0.026200,0.438239,-1.586803,-1.841717
222,0.026322,0.873503,-0.920778,-0.033868
223,0.026596,0.080476,3.730165,3.754136
224,0.026673,0.150347,-0.784149,-1.733702
225,0.026841,0.904799,0.349345,-0.680208
226,0.026841,0.535790,-1.602621,-1.629777
227,0.026856,0.261616,-0.337728,0.658423
228,0.027161,0.944549,-0.166539,0.059091
229,0.027176,0.471458,-0.337586,0.052452
230,0.027420,0.385412,-0.581367,-1.687321
231,0.027558,0.929473,-0.223499,-0.060598
232,0.027634,0.326543,-1.138231,-0.499130
233,0.027649,0.299458,-0.598769,-0.214495
234,0.027680,0.717296,0.348944,0.285383
235,0.027756,0.407248,2.587262,2.952300
236,0.028122,0.140185,-1.429145,-0.877153
237,0.028244,0.935439,0.777208,-0.377913
238,0.028244,0.842237,2.293734,1.919878
239,0.028458,0.509865,0.651317,1.279792
240,0.028611,0.113176,-1.512513,-1.157783
241,0.028626,0.580240,1.306035,1.212681
242,0.028702,0.640833,-0.139521,0.794301
243,0.028763,0.037751,-2.387994,-2.049858
244,0.028855,0.494606,0.136077,1.536253
245,0.028885,0.276448,1.867305,1.507008
246,0.029313,0.431540,2.497823,2.309380
247,0.029511,0.297475,-1.028454,0.109546
248,0.029603,0.073732,-1.176143,-1.294879
249,0.029603,0.378119,-2.011845,-2.184863
250,0.029740,0.959106,-0.076076,0.610097
251,0.030304,0.574228,-0.303445,0.096405
252,0.030426,0.482719,-0.994361,-1.453691
253,0.030503,0.409262,-3.037536,-1.513024
254,0.030549,0.703838,-1.062717,0.116059
255,0.030777,0.816388,1.763955,1.526075
256,0.030793,0.760372,0.007991,0.749548
257,0.030823,0.456275,-0.809106,-0.795982
258,0.030884,0.622812,-0.324265,-0.576089
259,0.031113,0.233753,-1.632954,-1.415470
260,0.031144,0.293721,-0.694752,-0.758148
261,0.031281,0.838346,1.227711,1.681578
262,0.031296,0.743359,-2.538221,-1.818510
263,0.031312,0.250767,-0.146430,-0.059516
264,0.031418,0.160723,-1.579791,-1.313665
265,0.031495,0.355840,-0.278461,-1.128233
266,0.031647,0.442451,-0.864154,-1.154861
267,0.031708,0.243290,1.466317,1.516264
268,0.031708,0.216373,-1.655701,-2.178740
269,0.031785,0.545388,-0.207953,-0.421904
270,0.032227,0.440558,0.525186,1.178008
271,0.032456,0.580850,-0.065102,-0.126872
272,0.032593,0.850828,-0.877093,-0.476290
273,0.032609,0.479850,2.820482,1.234818
274,0.032776,0.596796,-2.766927,-2.441186
275,0.032837,0.806165,0.306697,-0.726411
276,0.033143,0.814252,2.103881,3.161531
277,0.033249,0.413550,-1.244397,-1.487059
278,0.033417,0.035874,2.885173,1.840462
279,0.033600,0.588556,-1.036273,-0.855148
280,0.033738,0.255344,1.287671,1.695241
281,0.033738,0.256275,0.243948,0.321314
282,0.033829,0.548226,0.782207,0.628126
283,0.033829,0.096757,0.655694,0.566763
284,0.034211,0.169375,-0.244632,0.363040
285,0.034424,0.062776,-0.659579,-0.511379
286,0.034470,0.863371,0.404788,-0.225397
287,0.034485,0.269718,1.753604,2.386162
288,0.034546,0.515709,-1.109601,0.429100
289,0.034699,0.486503,0.454440,0.950864
290,0.034699,0.159884,-1.281625,-1.226300
291,0.034699,0.020294,1.495632,0.967909
292,0.034806,0.005631,-1.073946,0.218175
293,0.034882,0.883513,-1.788628,-1.653033
294,0.035142,0.341253,-3.947224,-3.662267
295,0.035187,0.249653,-2.215068,-1.929230
296,0.035325,0.265797,-1.653345,-2.041079
297,0.035508,0.301305,-0.249226,0.830066
298,0.035508,0.877790,-0.262504,-0.845428
299,0.035569,0.530663,1.680406,1.592312
300,0.035859,0.377646,-0.547612,-0.489230
301,0.036149,0.675746,-2.074992,-1.024469
302,0.036194,0.260868,1.083683,0.832030
303,0.036225,0.945388,-2.131353,-2.650239
304,0.036362,0.437232,0.304515,-0.047116
305,0.036530,0.274128,1.241122,0.693148
306,0.036545,0.313771,-1.063603,-0.078377
307,0.036667,0.144610,1.005284,0.735745
308,0.036790,0.141482,0.029072,-1.583455
309,0.036866,0.511238,-1.742214,-1.629777
310,0.037140,0.289708,-0.562433,-0.386329
311,0.037171,0.230137,-0.073982,0.489668
312,0.037171,0.380896,0.624000,1.128969
313,0.037201,0.430182,-1.915061,-1.508403
314,0.037232,0.521798,-0.620673,-0.680901
315,0.037263,0.155444,-2.538298,-1.330829
316,0.037354,0.856123,2.353218,1.777511
317,0.037369,0.528405,-0.913335,-0.905142
318,0.037629,0.947250,-0.302964,-1.273486
319,0.037644,0.032456,0.195782,0.061554
320,0.037690,0.180743,1.202657,1.453276
321,0.037736,0.706493,0.960177,-0.330999
322,0.037736,0.311101,1.920084,3.161531
323,0.037766,0.294362,-1.270504,-1.507991
