,x,y,z_test,z_pred
0,0.000137,0.698131,1.315710,0.926551
1,0.000183,0.194400,-1.267783,-0.556755
2,0.000488,0.318730,1.797946,0.013960
3,0.000534,0.493629,0.789686,1.494355
4,0.000656,0.746532,-0.555118,-0.671738
5,0.000748,0.615473,-0.145940,-0.604943
6,0.001160,0.450126,-2.057456,-1.826929
7,0.001175,0.334401,1.265230,-0.194457
8,0.001328,0.353124,-0.840154,1.569683
9,0.001328,0.401663,0.161263,0.330093
10,0.001434,0.622232,2.584657,2.444210
11,0.001465,0.395804,3.077140,2.693659
12,0.001602,0.491218,-1.628730,-2.300260
13,0.001617,0.272740,-2.340414,-1.151731
14,0.001694,0.752239,2.499250,2.364956
15,0.001755,0.692378,1.115622,1.241413
16,0.001877,0.749432,-1.066167,-1.121018
17,0.002136,0.612268,-1.347618,-1.108776
18,0.002182,0.715648,0.145690,-0.915420
19,0.002213,0.120684,-0.581633,-0.129015
20,0.002274,0.731273,0.046609,-0.147800
21,0.002365,0.447761,1.377793,-0.458288
22,0.002441,0.177111,0.834119,-0.271279
23,0.002594,0.497734,-1.891203,-0.768857
24,0.002609,0.187213,1.549579,1.378102
25,0.002808,0.740276,0.569796,0.900792
26,0.002869,0.641215,-0.938091,-0.306862
27,0.003220,0.127428,1.228122,-0.375453
28,0.003265,0.204517,1.652214,1.699770
29,0.003342,0.935637,1.312160,2.356583
30,0.003357,0.831220,-0.548342,0.367345
31,0.003403,0.396674,3.322272,2.825806
32,0.003601,0.842679,1.343181,1.556732
33,0.003693,0.116701,-0.317189,-0.559575
34,0.003769,0.562219,-1.523213,-1.531384
35,0.004211,0.630701,0.240431,-0.234030
36,0.004379,0.761563,-0.244679,0.663620
37,0.004517,0.210300,0.276862,-0.444202
38,0.004654,0.030243,0.632782,-0.447213
39,0.004700,0.842618,2.174918,1.238767
40,0.004730,0.442176,-1.999911,-1.613741
41,0.004807,0.339208,0.911863,1.599620
42,0.004822,0.537392,-0.943520,-1.228375
43,0.004898,0.171527,0.924750,-0.192342
44,0.005112,0.578698,1.344582,2.764761
45,0.005203,0.689830,-3.108407,-2.985645
46,0.005310,0.845289,0.181770,-0.448867
47,0.005417,0.378714,0.690483,-0.078958
48,0.005432,0.984833,-1.042956,-1.049039
49,0.005463,0.442405,-0.258706,0.032476
50,0.005554,0.441108,1.322446,0.569051
51,0.005554,0.507698,1.451921,0.560674
52,0.005692,0.179644,-2.302399,-2.183504
53,0.005890,0.872816,0.781059,-0.163820
54,0.006165,0.040391,-2.801634,-1.585433
55,0.006180,0.720745,-1.143228,-1.130049
56,0.006210,0.079133,0.222701,-0.019538
57,0.006302,0.983230,-1.574011,-2.097703
58,0.006348,0.619532,-0.549401,-0.161945
59,0.006516,0.748516,0.824327,1.119064
60,0.006622,0.218677,2.265311,2.017216
61,0.006653,0.361547,-0.471140,-0.564126
62,0.006714,0.803220,0.901727,-0.207207
63,0.006775,0.065217,1.165769,1.093289
64,0.006790,0.031876,2.298472,2.130576
65,0.007279,0.494423,1.998912,2.000011
66,0.007340,0.145434,0.799736,0.066777
67,0.007446,0.778439,1.857233,0.890067
68,0.007507,0.219425,-1.069228,-1.172594
69,0.007507,0.918868,-2.214759,-2.105805
70,0.007523,0.615244,0.935565,0.439559
71,0.007599,0.947097,-0.391325,-0.170076
72,0.007660,0.585702,0.623366,-0.589530
73,0.007782,0.953124,-0.496686,0.462611
74,0.007797,0.884901,-0.715239,-0.816472
75,0.008240,0.090715,-1.342997,-1.045729
76,0.008423,0.153277,-0.606047,-0.915420
77,0.008438,0.809506,0.436306,0.229185
78,0.008530,0.670802,-0.824798,-0.489805
79,0.008560,0.484520,-2.080614,-1.275777
80,0.008606,0.386191,0.019589,-0.161640
81,0.008667,0.111650,-0.281144,0.303519
82,0.008820,0.364736,-0.890798,-1.641260
83,0.009125,0.273411,-0.260583,-1.325056
84,0.009369,0.554131,-1.205472,-0.938565
85,0.009400,0.093431,3.122841,4.921596
86,0.009461,0.934646,-0.911264,0.386359
87,0.009567,0.435416,0.651069,0.595871
88,0.009857,0.460197,-0.144070,0.792762
89,0.010117,0.813596,1.286955,1.529295
90,0.010178,0.457374,0.069785,0.306085
91,0.010239,0.077745,-0.580435,-0.406840
92,0.010468,0.851850,0.982606,-0.473340
93,0.010895,0.704891,0.577141,-0.130936
94,0.010895,0.819425,0.343889,0.749948
95,0.011124,0.621653,0.832762,1.072045
96,0.011322,0.954757,0.569749,-0.318660
97,0.011429,0.251148,-1.019583,-0.300273
98,0.011475,0.966842,0.227019,0.876593
99,0.011505,0.641138,-2.729664,-3.200308
100,0.011566,0.186770,0.516390,-0.347829
101,0.011643,0.125383,-1.314160,-1.335201
102,0.012116,0.946136,0.392116,1.358214
103,0.012146,0.960250,0.949585,2.175900
104,0.012177,0.217548,-0.229887,-1.807369
105,0.012436,0.210437,1.247390,0.727788
106,0.012467,0.662547,-2.080553,-1.436547
107,0.012589,0.672633,-1.257457,-0.482156
108,0.012604,0.637278,1.181001,0.664049
109,0.012665,0.530587,-1.239084,-1.381264
110,0.012696,0.345602,-0.856597,-0.044714
111,0.012787,0.590539,-0.761431,0.004411
112,0.012848,0.974685,-1.666822,-0.724424
113,0.013123,0.925505,-1.413457,-0.308199
114,0.013291,0.436851,1.802653,2.628616
115,0.013565,0.611872,-0.491136,0.225898
116,0.013657,0.221775,-2.153996,-1.800147
117,0.013779,0.277256,1.389644,0.570904
118,0.013870,0.187381,1.850873,2.012573
119,0.014206,0.397223,0.155837,-0.100053
120,0.014389,0.738827,-0.119479,-0.919046
121,0.014481,0.087388,1.311201,0.641198
122,0.014496,0.984756,-3.944646,-3.428869
123,0.014511,0.004288,1.367672,1.083104
124,0.014572,0.391455,1.366033,0.472338
125,0.014694,0.505760,0.183256,-0.733245
126,0.014786,0.734752,-0.482319,0.596036
127,0.014832,0.014115,-0.610926,-0.844627
128,0.014832,0.486702,-0.662402,-0.426338
129,0.014862,0.675715,-0.939252,-2.272444
130,0.015244,0.618219,-0.455400,-0.900693
131,0.015290,0.396109,-0.049300,-0.893110
132,0.015290,0.882399,-0.725579,-0.636438
133,0.015396,0.228153,-0.729150,0.701523
134,0.015427,0.486519,0.031347,0.521695
135,0.015427,0.428351,2.551244,2.972211
136,0.015640,0.821469,-1.230696,-0.370734
137,0.015640,0.055756,0.768854,-0.075588
138,0.015808,0.704799,0.921692,0.063073
139,0.016129,0.929717,1.522836,1.324382
140,0.016175,0.026154,-0.281193,0.297378
141,0.016190,0.201511,-1.331185,-1.081229
142,0.016388,0.238529,-2.996835,-3.192253
143,0.016480,0.252888,-0.202318,-1.193536
144,0.016724,0.871656,1.003311,1.585140
145,0.016846,0.840772,0.421513,-1.431313
146,0.017166,0.614862,-1.428755,0.528987
147,0.017258,0.652201,-0.439054,-0.486517
148,0.017319,0.976516,0.585378,-0.089599
149,0.017365,0.829786,-0.273285,-0.146373
150,0.017487,0.155398,0.382154,0.530223
151,0.017639,0.163104,0.849812,0.097123
152,0.017823,0.747402,3.231086,2.951975
153,0.017853,0.579431,1.318330,1.386850
154,0.017884,0.978607,1.270078,0.651335
155,0.018097,0.789532,0.911211,1.570093
156,0.018311,0.593820,2.090183,1.495986
157,0.018341,0.407645,-1.047614,-1.154511
158,0.018433,0.701198,2.225031,0.750043
159,0.018433,0.977569,0.285646,0.375097
160,0.018479,0.084352,-2.117945,-1.504222
161,0.018524,0.344793,1.161521,1.986963
162,0.018647,0.415290,-1.033849,-1.149949
163,0.018708,0.874235,-0.496730,-0.765135
164,0.018784,0.061830,0.139032,0.615854
165,0.018799,0.202518,1.347776,-0.874851
166,0.019165,0.896849,1.381407,1.447791
167,0.019257,0.069551,2.219500,1.526515
168,0.019257,0.650340,-0.595300,-0.858002
169,0.019272,0.630900,-0.873015,-1.612108
170,0.019318,0.170443,-1.728995,-0.591741
171,0.019318,0.280415,-0.370402,-0.402937
172,0.019379,0.209171,0.498744,0.302836
173,0.019409,0.755474,-2.635433,-3.678167
174,0.019471,0.567193,4.130775,2.321117
175,0.019593,0.965713,0.297861,0.483071
176,0.019806,0.086702,0.181291,0.569795
177,0.019883,0.338201,0.617782,0.534453
178,0.020294,0.841703,0.156715,0.047686
179,0.020432,0.760128,-2.305776,-2.175463
180,0.020447,0.968399,0.842328,0.801845
181,0.020645,0.012360,-1.897394,-1.849946
182,0.020722,0.807385,-0.025399,-0.081314
183,0.020737,0.520241,-0.781656,-1.751411
184,0.020737,0.066743,1.508370,2.932286
185,0.020829,0.754894,-3.834328,-2.448612
186,0.020844,0.514321,1.403418,1.715074
187,0.021317,0.988251,0.469061,-0.764044
188,0.021530,0.504280,-2.030060,-2.726475
189,0.021820,0.260670,1.976524,1.955756
190,0.021851,0.076753,0.799864,0.221376
191,0.022171,0.666346,1.209340,0.709072
192,0.022431,0.098329,-1.033841,-0.471806
193,0.022705,0.060578,-0.162352,-0.482156
194,0.022843,0.018372,2.424295,3.021497
195,0.023133,0.267308,-0.681972,-1.038867
196,0.023224,0.545861,-1.535609,-0.751188
197,0.023255,0.519371,-0.889359,0.103027
198,0.023331,0.833829,-1.251302,-1.798163
199,0.023331,0.746578,0.391953,-0.187705
200,0.023438,0.969604,0.510027,0.830469
201,0.023468,0.961379,0.996185,1.192794
202,0.023514,0.663752,0.486650,-0.882230
