,x,y,z_test,z_pred
0,0.000183,0.942458,-1.502954,-0.690792
1,0.000214,0.831724,-2.028356,-1.856231
2,0.000290,0.951232,-0.414999,1.089972
3,0.000305,0.365606,2.042148,1.639500
4,0.000519,0.132174,-0.074607,-1.215468
5,0.000549,0.225116,-1.470343,-1.796285
6,0.000595,0.016342,1.398916,2.509537
7,0.000778,0.440772,-1.118288,-0.827358
8,0.000793,0.268635,0.717027,1.382914
9,0.001099,0.547631,-1.340638,-1.011559
10,0.001114,0.645411,-1.249292,-1.815198
11,0.001129,0.320394,-1.996307,-1.616875
12,0.001144,0.843824,-1.742279,-0.771946
13,0.001221,0.098604,2.977051,2.422618
14,0.001251,0.594339,-1.156791,-2.243565
15,0.001343,0.412619,0.626636,-0.124595
16,0.001343,0.858671,1.774089,2.113498
17,0.001373,0.361639,0.949762,1.241552
18,0.001450,0.719585,2.894987,2.208555
19,0.001526,0.418433,-1.019413,0.307668
20,0.001541,0.481636,1.317792,0.836492
21,0.001572,0.130373,0.935681,1.655095
22,0.001572,0.032883,2.076402,2.695714
23,0.001633,0.215579,-1.789937,-1.440199
24,0.001755,0.694484,1.756821,0.972715
25,0.001770,0.456352,-1.311680,-1.035277
26,0.001846,0.748226,-0.642053,-1.756360
27,0.001862,0.333288,-3.722509,-2.209785
28,0.001892,0.097444,1.719284,2.112718
29,0.002106,0.492226,2.817598,3.292274
30,0.002152,0.730251,-1.780008,-0.468070
31,0.002258,0.848234,2.840499,3.240366
32,0.002274,0.766232,0.675964,0.029817
33,0.002380,0.564660,0.063323,0.968176
34,0.002564,0.037537,-1.198155,-2.241571
35,0.003357,0.436774,2.360319,2.443933
36,0.003555,0.983764,-0.002966,0.664125
37,0.003555,0.252171,-1.952841,-0.647196
38,0.003677,0.886381,3.777103,2.334652
39,0.003723,0.840421,2.180278,2.842499
40,0.003830,0.628855,2.004833,1.638547
41,0.003861,0.880507,1.433643,2.182534
42,0.003876,0.602136,1.680994,0.938979
43,0.004196,0.424399,1.956284,1.723889
44,0.004227,0.251545,-0.395053,-1.084743
45,0.004395,0.165438,1.556074,0.745085
46,0.004593,0.096483,0.754788,0.626194
47,0.004623,0.651896,-1.784979,-1.256355
48,0.004654,0.564279,-1.068792,-1.595542
49,0.004852,0.861707,0.088113,0.105625
50,0.005158,0.561776,3.737188,3.126204
51,0.005158,0.985901,-1.036808,-2.015464
52,0.005356,0.035554,1.819719,2.782920
53,0.005386,0.772412,2.579335,1.866444
54,0.005386,0.753872,2.362124,2.046762
55,0.005432,0.984833,1.833473,1.156161
56,0.005539,0.572168,-0.776608,-1.381837
57,0.005676,0.843351,-0.316307,0.789745
58,0.005676,0.226596,2.902220,1.749068
59,0.005737,0.516564,1.600829,2.756474
60,0.005844,0.479561,0.714590,-0.242922
61,0.006180,0.293523,1.847892,1.325534
62,0.006226,0.605661,1.978784,2.216062
63,0.006271,0.412451,3.534518,3.121023
64,0.006302,0.650172,0.138080,-0.250537
65,0.006394,0.712810,-2.077762,-2.771703
66,0.006531,0.866423,-0.684185,0.178313
67,0.006683,0.465400,1.059386,1.834772
68,0.007172,0.805798,-2.132120,-1.129045
69,0.007218,0.827787,-1.494866,-0.361350
70,0.007294,0.996674,0.697001,1.273800
71,0.007324,0.834241,-2.552163,-1.592347
72,0.007446,0.267155,0.369840,-1.201271
73,0.007462,0.060639,-2.412658,-2.691318
74,0.007568,0.418479,2.173123,1.174382
75,0.007630,0.779339,-0.749794,-1.862106
76,0.007843,0.247730,-1.509822,-0.772962
77,0.007874,0.495247,2.746247,2.687384
78,0.008118,0.132235,1.674736,1.724695
79,0.008194,0.049592,-0.030374,-1.293800
80,0.008331,0.396780,2.236236,2.105043
81,0.008408,0.472587,-1.233848,-2.564321
82,0.008469,0.526711,-1.954083,-1.873392
83,0.008606,0.386191,2.361576,2.616707
84,0.008774,0.007599,1.262798,2.401124
85,0.009094,0.917876,-1.703565,-1.087226
86,0.009110,0.813367,-0.644450,-0.424965
87,0.009125,0.032731,-2.090822,-2.241941
88,0.009171,0.344671,-0.385879,-0.591103
89,0.009339,0.633280,2.000121,1.664630
90,0.009400,0.762188,-0.062313,0.108699
91,0.009689,0.799268,-1.822179,-2.527685
92,0.009751,0.184176,0.550946,1.225720
93,0.009812,0.587549,0.472563,0.632390
94,0.010132,0.522805,-1.349145,-1.228382
95,0.010163,0.031220,1.864337,2.153186
96,0.010208,0.666468,-0.295895,-1.037048
97,0.010376,0.158526,1.155730,2.093633
98,0.010391,0.059312,4.187497,2.842499
99,0.010559,0.089677,2.673410,2.093956
100,0.010636,0.907103,-1.096241,-1.032527
101,0.010636,0.623606,2.759337,2.558027
102,0.010651,0.265492,2.137440,0.790679
103,0.010666,0.526574,1.526518,0.971169
104,0.010727,0.446845,3.595275,2.331009
105,0.010819,0.838834,0.203352,0.289916
106,0.010864,0.042161,-0.032677,-1.125043
107,0.011231,0.781567,2.738969,2.509537
108,0.011246,0.112413,3.037461,3.319137
109,0.011368,0.363241,1.458399,2.137635
110,0.011460,0.428824,0.329744,0.321018
111,0.011643,0.360327,0.497016,-0.732408
112,0.011688,0.341115,1.621219,2.141625
113,0.011719,0.871641,1.544979,2.135213
114,0.011795,0.370779,-1.330592,0.456657
115,0.011810,0.134524,3.602399,3.296891
116,0.011887,0.266178,0.612153,-0.489482
117,0.012100,0.849638,-1.322882,-2.083479
118,0.012207,0.416220,-2.855329,-2.122262
119,0.012329,0.967407,-1.235549,-1.198327
120,0.012329,0.030640,2.235617,2.476651
121,0.012482,0.686702,1.302349,1.444494
122,0.012543,0.778790,-3.043799,-1.676854
123,0.012543,0.739284,-3.638946,-3.200838
124,0.012573,0.465644,2.865369,2.606456
125,0.012604,0.728145,2.484730,2.700587
126,0.012863,0.401221,-0.357617,0.646327
127,0.013123,0.925505,-3.274253,-0.516085
128,0.013336,0.973648,1.711588,1.899439
129,0.013581,0.184375,2.402443,1.899371
130,0.013596,0.563622,-0.699316,0.270663
131,0.013611,0.673426,1.625707,0.684440
132,0.013642,0.453574,0.179543,0.630849
133,0.013687,0.171588,2.142148,1.779162
134,0.013687,0.306416,0.937644,1.259050
135,0.013733,0.565209,2.850815,1.815667
136,0.014282,0.576761,1.043421,1.420127
137,0.014282,0.180697,0.301066,-1.115803
138,0.014328,0.996124,-0.687164,-0.607473
139,0.014511,0.323323,0.038795,-0.220701
140,0.014527,0.447654,0.746224,0.315961
141,0.014572,0.972808,-2.879913,-2.836984
142,0.014588,0.428565,-2.443193,-1.083531
143,0.014603,0.852399,-0.582997,-0.956751
144,0.014649,0.962646,-1.223700,-1.406616
145,0.014694,0.079316,0.559180,1.244685
146,0.014725,0.536110,0.832334,0.443409
147,0.014862,0.796811,3.537079,3.140755
148,0.015167,0.325765,1.155151,1.072404
149,0.015167,0.175860,2.918704,2.899774
150,0.015213,0.237278,1.929106,1.713602
151,0.015244,0.681834,-1.349352,-2.378675
152,0.015534,0.163348,1.690081,1.854354
153,0.015534,0.056397,-0.041152,0.226811
154,0.015671,0.537209,1.311757,1.681155
155,0.015702,0.711604,-1.213196,-0.791136
156,0.015793,0.442374,0.098092,0.236419
157,0.016190,0.952544,2.022021,1.709227
158,0.016190,0.934142,2.726016,2.514735
159,0.016220,0.776440,2.537499,2.184984
160,0.016510,0.351308,0.760786,0.969511
161,0.016602,0.105531,0.939480,1.430303
162,0.016648,0.431281,-1.034650,-1.236634
163,0.016663,0.848890,2.976247,3.450342
164,0.016678,0.110582,-1.162226,0.027945
165,0.016785,0.820142,0.184609,0.659926
166,0.016876,0.010712,-1.553660,-1.229427
167,0.017105,0.939879,-1.645729,-1.071204
168,0.017121,0.568338,-0.319593,-0.130992
169,0.017197,0.295125,-1.288864,-1.228382
170,0.017212,0.865415,-2.009312,-1.717373
171,0.017700,0.975769,2.807069,2.842499
172,0.017700,0.312840,-1.069998,-1.312430
173,0.017762,0.739223,0.086834,0.474656
174,0.017792,0.370260,-1.423242,-0.594806
175,0.017823,0.886275,1.328425,1.596559
176,0.017899,0.908461,0.157063,1.064133
177,0.018112,0.450431,-1.694491,-0.810901
178,0.018235,0.852369,3.228059,3.121023
179,0.018280,0.031174,1.758485,2.831823
180,0.018341,0.448615,-1.990566,-1.350364
181,0.018387,0.121630,1.051691,0.836492
182,0.018692,0.011749,2.477387,1.906300
