,x,y,z_test,z_pred
0,0.000214,0.457328,0.747623,0.392283
1,0.000259,0.915358,-1.172425,-1.892787
2,0.000320,0.038697,3.064734,2.948129
3,0.000580,0.315709,2.749584,2.026681
4,0.000641,0.959136,1.461706,1.910879
5,0.000717,0.138338,-0.324333,0.661527
6,0.000778,0.440772,-2.073510,-1.694119
7,0.000778,0.567834,3.189983,2.415600
8,0.001205,0.076753,-1.273747,-0.879477
9,0.001221,0.944717,0.177218,-0.521631
10,0.001328,0.375738,-1.440279,-0.896642
11,0.001434,0.845792,1.371481,1.604693
12,0.001556,0.108812,3.404944,2.796281
13,0.001678,0.595224,3.084414,2.658824
14,0.001892,0.532204,-0.332923,-0.389120
15,0.002121,0.570886,0.143422,-0.250650
16,0.002243,0.720851,1.344016,0.233194
17,0.002350,0.212222,1.211811,1.478063
18,0.002396,0.046754,-0.508659,-0.773544
19,0.002502,0.581750,0.339791,1.208114
20,0.002518,0.775845,0.005061,-0.852929
21,0.002579,0.113619,-0.965826,0.289664
22,0.002594,0.803601,1.980482,0.894811
23,0.002701,0.733394,0.600826,-0.542855
24,0.002853,0.420493,0.239243,-0.065469
25,0.002869,0.852644,1.715907,1.899835
26,0.002899,0.853620,-1.326416,-0.872606
27,0.003311,0.832288,1.539232,-0.196237
28,0.003357,0.331731,0.354676,1.395639
29,0.003403,0.277653,-2.250459,-2.213242
30,0.003494,0.612436,0.366796,0.274548
31,0.003616,0.851164,1.199317,1.398529
32,0.003616,0.146288,1.854439,1.810641
33,0.003677,0.644205,-1.447408,-1.062115
34,0.003754,0.233417,1.540231,2.300251
35,0.003784,0.105196,1.417463,2.604151
36,0.004120,0.400305,1.677977,1.130904
37,0.004211,0.696162,-1.342999,-1.729008
38,0.004334,0.315282,-1.152462,-0.312477
39,0.004395,0.680400,0.588732,-0.436929
40,0.004410,0.089235,-0.145163,-0.037149
41,0.004486,0.604211,0.598677,0.742008
42,0.004532,0.159228,1.339488,0.385785
43,0.004700,0.205112,-0.727820,-1.680723
44,0.004700,0.796429,0.603706,-0.277385
45,0.004807,0.707134,1.987572,1.196677
46,0.004822,0.537392,1.210711,0.949749
47,0.005127,0.674311,-0.212182,-0.845613
48,0.005173,0.082353,-1.551518,-1.383336
49,0.005219,0.195514,-0.359002,-1.337857
50,0.005234,0.686595,1.400043,2.011585
51,0.005402,0.306157,-1.573863,-1.047498
52,0.005524,0.449424,-2.159265,-1.472901
53,0.005600,0.422278,0.539813,1.331557
54,0.005646,0.484596,0.309188,-0.443610
55,0.005707,0.254459,-2.521425,-2.610482
56,0.005768,0.760357,1.070246,1.857504
57,0.005783,0.909682,-0.860608,0.714034
58,0.005798,0.113283,1.336893,1.292589
59,0.005829,0.289204,2.525206,1.372975
60,0.005829,0.466529,0.777982,1.054819
61,0.006134,0.532219,1.698262,2.217251
62,0.006409,0.579446,0.874549,0.493508
63,0.006439,0.388891,-2.285356,-0.560998
64,0.006729,0.056138,-1.397918,-1.845738
65,0.007111,0.005310,-1.814482,-1.950103
66,0.007218,0.748333,0.458600,0.692454
67,0.007233,0.716670,-0.285197,0.515888
68,0.007294,0.187228,0.745770,-0.116283
69,0.007401,0.491234,0.461852,0.094980
70,0.007675,0.770550,0.077296,0.584491
71,0.007706,0.908400,2.078631,1.960414
72,0.007767,0.162448,0.265703,-0.228179
73,0.007874,0.869413,-0.648996,-0.052673
74,0.008240,0.852445,-1.031240,-0.726601
75,0.008255,0.846479,0.849750,0.966135
76,0.008270,0.086549,0.017060,-1.006232
77,0.008286,0.779446,-0.859018,-1.722501
78,0.008301,0.268772,1.122763,-0.404740
79,0.008392,0.200504,3.317355,1.903253
80,0.008423,0.812696,1.066203,1.232946
81,0.008438,0.733486,-1.840371,-1.744560
82,0.008453,0.630213,2.011639,1.456751
83,0.008469,0.818585,1.126970,0.598586
