,x,y,z_test,z_pred
0,0.000229,0.012421,-0.836153,-0.815667
1,0.000244,0.157641,0.854721,0.971575
2,0.000427,0.890684,1.176369,1.170900
3,0.000610,0.106279,1.490130,1.450635
4,0.000641,0.246799,-0.405410,-0.542128
5,0.000839,0.862181,0.926258,0.937657
6,0.001358,0.510658,2.943638,2.890645
7,0.001450,0.462806,-0.715017,-0.675814
8,0.001450,0.673533,0.600476,0.584033
9,0.001526,0.187243,1.682067,1.609683
10,0.001602,0.140261,1.672085,1.850877
11,0.001709,0.840543,9.851059,9.349937
12,0.001846,0.642451,1.337692,1.350300
13,0.002197,0.250278,1.381278,1.274440
14,0.002228,0.133410,0.720013,0.696922
15,0.002258,0.793423,29.515644,33.121365
16,0.002319,0.764355,-0.287240,-0.275318
17,0.002350,0.158755,0.111277,0.122814
18,0.002350,0.455100,2.325134,2.268476
19,0.002518,0.456779,0.586776,0.282777
20,0.002625,0.367544,-0.351456,-0.465203
21,0.002655,0.257649,4.006217,4.260450
22,0.002670,0.199405,0.404637,0.434731
23,0.002701,0.494713,0.387949,0.456087
24,0.002747,0.422232,1.819957,1.622152
25,0.002762,0.770886,-5.134142,-4.556916
26,0.002869,0.595560,3.331567,3.382507
27,0.003174,0.180896,2.067922,2.181767
28,0.003204,0.914137,0.156275,0.159590
29,0.003326,0.309346,0.489407,0.489475
30,0.003433,0.554131,3.690242,3.800246
31,0.003433,0.916564,1.619121,1.436294
32,0.003464,0.248417,0.093795,0.069910
33,0.003494,0.374136,-0.208699,-0.247884
34,0.003784,0.202289,3.505506,3.607043
35,0.003861,0.782452,3.711131,3.581954
36,0.004120,0.543099,-2.795082,-2.701457
37,0.004150,0.685710,0.807993,0.785530
38,0.004181,0.055360,-0.825908,-0.809663
39,0.004242,0.843763,7.889580,6.894949
40,0.004364,0.863111,-0.517443,-0.616460
41,0.004425,0.536172,-0.466244,-0.489696
42,0.004532,0.218219,0.659954,0.830802
43,0.004532,0.358450,-3.473987,-3.739354
44,0.005478,0.051667,6.613472,6.390017
45,0.005509,0.636606,1.071384,1.091358
46,0.005539,0.280720,-0.174950,-0.168838
47,0.005600,0.832837,0.487430,0.404279
48,0.005737,0.285466,2.577087,2.696609
49,0.005737,0.744366,3.592719,3.802060
50,0.005737,0.701747,-1.227724,-1.233259
51,0.005753,0.758495,3.421113,3.404293
52,0.005814,0.255314,0.369490,0.258387
53,0.005844,0.527459,4.495960,4.350841
54,0.006195,0.444099,1.189773,1.139113
55,0.006287,0.621897,-3.419736,-3.499453
56,0.006363,0.157122,2.427120,2.301027
57,0.006577,0.708858,1.008975,1.053345
