,x,y,z_pred
0,0.764111,0.916625,-0.257537
1,0.316213,0.850340,-0.711234
2,0.443534,0.696895,0.237493
3,0.840269,0.204761,0.183063
4,0.320684,0.913298,-0.810439
5,0.681544,0.863752,2.844693
6,0.988449,0.770626,-0.007865
7,0.289372,0.726802,-0.041408
8,0.209888,0.760876,1.937076
9,0.126757,0.803662,1.196036
10,0.767422,0.309453,0.276964
11,0.611536,0.074678,0.517769
12,0.526146,0.836500,1.353624
13,0.818341,0.771878,-1.724521
14,0.036728,0.600320,-0.980462
15,0.042115,0.498299,-0.452415
16,0.991623,0.807858,1.244184
17,0.157229,0.655146,-0.588263
18,0.818799,0.527398,-0.120194
19,0.689586,0.924697,-1.036245
20,0.443336,0.453147,1.036862
21,0.178332,0.594888,0.262624
22,0.835264,0.940291,-0.237350
23,0.998108,0.413535,-0.300821
24,0.394781,0.794675,0.042692
25,0.345403,0.070802,2.247607
26,0.806699,0.049805,-0.758344
27,0.940352,0.763180,1.123404
28,0.401694,0.417639,-0.787898
29,0.998550,0.895338,-1.070704
30,0.314275,0.242664,-0.373683
31,0.451362,0.274144,-1.504741
32,0.305226,0.805676,1.077100
33,0.050324,0.241245,1.065488
34,0.540414,0.325231,0.292958
35,0.514137,0.468864,0.038518
36,0.940108,0.815732,2.509300
37,0.967254,0.121569,0.102307
38,0.943282,0.590387,0.978254
39,0.392111,0.630655,0.882048
40,0.659129,0.693294,-0.933725
41,0.742763,0.114794,-0.126264
42,0.374685,0.750591,0.620920
43,0.255695,0.786648,-0.464571
44,0.056229,0.046143,0.039695
45,0.388479,0.273243,0.755085
46,0.652171,0.344106,-1.564267
47,0.209262,0.445457,-0.273517
48,0.298817,0.584665,-0.726870
49,0.479332,0.348348,1.459569
50,0.225528,0.098833,1.716438
51,0.122499,0.836622,0.162584
52,0.105821,0.490898,2.274679
53,0.574563,0.923339,0.248178
54,0.842817,0.832792,-0.354258
55,0.083589,0.128359,-2.660832
56,0.934173,0.100435,-0.812637
57,0.652613,0.029206,1.734195
58,0.256886,0.462242,-0.770638
59,0.740505,0.263844,-0.554166
60,0.229252,0.401343,0.700739
61,0.078202,0.952819,-0.431408
62,0.336263,0.149325,-1.333085
63,0.639536,0.544381,0.106602
64,0.318822,0.955688,-1.615580
65,0.013397,0.800214,0.478000
66,0.413733,0.067155,1.878210
67,0.255802,0.835203,0.675154
68,0.539391,0.700893,-1.262967
69,0.772274,0.650446,-1.645362
70,0.658442,0.202228,1.276413
71,0.259205,0.672435,-0.616750
72,0.766674,0.823865,-1.124781
73,0.030137,0.264790,1.514270
74,0.583444,0.155627,0.370391
75,0.964553,0.887770,-0.886881
76,0.147662,0.050416,0.348312
77,0.079271,0.561196,-1.303238
78,0.877150,0.954284,0.062997
79,0.505409,0.454292,-0.287924
80,0.097261,0.714778,0.224511
81,0.670893,0.907118,0.081612
82,0.236408,0.392477,0.507663
83,0.722835,0.920272,-1.190160
84,0.933761,0.589105,0.638443
85,0.799283,0.597589,-0.389642
86,0.304250,0.374655,0.612468
87,0.967147,0.961852,-2.103807
88,0.562295,0.928145,0.001741
89,0.451301,0.445838,1.179007
90,0.093278,0.314748,-0.793494
91,0.900877,0.912108,0.201259
92,0.389273,0.888792,-0.903261
93,0.477287,0.195270,0.335314
94,0.581460,0.526589,-2.161673
95,0.020630,0.473487,1.200615
96,0.593530,0.123140,-1.457257
97,0.539406,0.563180,0.308091
98,0.148196,0.187457,0.795750
99,0.996902,0.736599,-0.744072
100,0.263127,0.733898,1.872281
101,0.360372,0.206668,-1.661612
102,0.762509,0.430426,-0.130558
103,0.145281,0.684352,-0.659311
104,0.715328,0.884413,0.470736
105,0.358892,0.608148,-0.345088
106,0.097536,0.686366,0.027654
107,0.658762,0.539239,0.421969
108,0.736339,0.828428,-0.425583
109,0.030625,0.634211,-0.251917
110,0.177264,0.497444,0.193506
111,0.042695,0.208225,0.840778
112,0.934142,0.297749,-0.123213
113,0.546654,0.770809,2.229766
114,0.443778,0.085191,4.036829
115,0.577127,0.220294,0.378750
116,0.350500,0.820737,1.176706
117,0.094240,0.207523,2.118221
118,0.556725,0.220417,1.248968
119,0.429557,0.629496,0.742564
120,0.905882,0.354314,0.310270
121,0.105730,0.522728,0.120321
122,0.297887,0.684733,0.635392
123,0.215152,0.210636,1.749704
124,0.932479,0.814618,2.263738
125,0.401236,0.038285,-1.519343
126,0.016190,0.340215,1.182341
127,0.262699,0.455192,-0.825776
128,0.666758,0.964385,2.108742
129,0.144182,0.062333,0.525697
130,0.625727,0.875502,-0.384745
131,0.086641,0.330129,-1.021530
132,0.058106,0.016587,0.547320
133,0.648875,0.307637,-2.386729
134,0.701396,0.870527,1.750031
135,0.015518,0.506752,0.180410
136,0.553399,0.703304,-1.299602
137,0.816449,0.307668,1.193596
138,0.659739,0.049332,1.007537
139,0.284489,0.249836,-0.198763
140,0.566506,0.748577,-1.020634
141,0.719524,0.033524,0.202913
142,0.166812,0.170169,0.399869
143,0.518868,0.049836,-0.552147
144,0.757366,0.887297,-0.517426
145,0.955291,0.109270,-0.975145
146,0.132387,0.285389,-0.578754
147,0.102663,0.956176,-1.486212
148,0.221714,0.009781,0.338525
149,0.800122,0.473228,0.076896
150,0.732128,0.097826,-0.418470
151,0.946883,0.618891,-0.871592
152,0.651499,0.701823,-1.723787
153,0.259373,0.863172,0.681597
154,0.142763,0.070436,0.421902
155,0.631647,0.533318,-0.448739
156,0.401236,0.168200,-0.064466
157,0.789853,0.131151,0.972909
158,0.750607,0.545174,-0.061657
159,0.724849,0.634668,-0.430619
160,0.109667,0.770565,-0.210141
161,0.393805,0.916564,-0.455252
162,0.914168,0.083192,0.507886
163,0.425864,0.264591,-0.136905
164,0.830426,0.839399,-0.591813
165,0.376669,0.458137,-1.539821
166,0.171435,0.565530,-1.041548
167,0.457801,0.931304,1.445255
168,0.063600,0.197284,2.020586
169,0.444450,0.633814,0.244117
170,0.706874,0.495277,1.530507
171,0.733211,0.148272,0.949376
172,0.385122,0.805859,-0.469692
173,0.625177,0.355276,-0.105094
174,0.331304,0.238834,-0.357263
175,0.279377,0.093721,0.923656
176,0.264607,0.504417,-0.975518
177,0.246555,0.740795,2.715205
178,0.769467,0.149371,1.576033
179,0.835752,0.754604,-1.644098
180,0.886152,0.682322,-2.354572
181,0.847517,0.298772,-0.025058
182,0.003601,0.121584,2.434851
183,0.058396,0.974731,1.218256
184,0.906783,0.837842,0.524457
185,0.190555,0.776654,3.020917
186,0.729870,0.458457,1.612712
187,0.976547,0.501747,-0.097765
188,0.738399,0.689418,-0.315671
189,0.498451,0.493797,1.071634
190,0.016541,0.853162,-0.470865
191,0.796338,0.296284,2.166384
192,0.686488,0.708156,0.775763
193,0.557702,0.733654,-1.321015
194,0.948577,0.321340,-1.912747
195,0.592645,0.554788,-1.524448
196,0.060716,0.206119,2.273520
197,0.710246,0.707607,1.182920
198,0.079545,0.295705,0.202529
199,0.899474,0.166476,-0.637289
200,0.663264,0.384680,-0.714768
201,0.589136,0.509255,-1.845645
202,0.858305,0.485710,-2.364144
203,0.811582,0.846494,-1.322986
204,0.825666,0.911849,0.650430
205,0.222660,0.907118,-1.666662
206,0.446784,0.741314,-1.913362
207,0.079637,0.666529,0.588532
208,0.470802,0.413245,1.721045
209,0.593637,0.684535,-1.815275
210,0.779294,0.491844,0.599307
211,0.669169,0.887648,1.309830
212,0.317327,0.496864,-0.108165
213,0.579187,0.097322,-2.084511
214,0.460349,0.579614,-1.711735
215,0.362356,0.018128,-0.791362
216,0.267567,0.981231,0.223193
217,0.810788,0.647730,-0.408389
218,0.843870,0.627573,0.467657
219,0.121508,0.675334,-0.420084
220,0.551598,0.945251,-0.773216
221,0.106752,0.400839,0.408572
222,0.638331,0.673701,-1.452756
223,0.365423,0.063767,1.863998
224,0.428733,0.076280,3.703688
225,0.587411,0.118212,-2.191700
226,0.776715,0.479896,0.565634
227,0.824399,0.852155,-0.845811
228,0.667659,0.794308,0.280619
229,0.617624,0.748775,-1.334010
230,0.046616,0.063615,0.421400
231,0.817655,0.017517,0.106395
232,0.197574,0.643442,-0.677743
233,0.495720,0.679240,0.186751
234,0.628305,0.003174,-0.605847
235,0.263645,0.162280,-0.330051
236,0.597848,0.220294,0.034077
237,0.446250,0.786740,-1.933547
238,0.508370,0.836545,0.533574
239,0.847623,0.210437,-0.140011
240,0.978149,0.451514,-0.263427
241,0.184436,0.012650,-1.113576
242,0.706249,0.124849,0.073678
243,0.185824,0.662776,0.154325
244,0.334264,0.026383,1.199686
245,0.282734,0.795453,-0.581456
246,0.305135,0.532494,-0.603019
247,0.928450,0.976120,-3.067480
248,0.099290,0.634470,-0.364458
249,0.530861,0.447272,0.284228
250,0.048127,0.663569,-0.037987
251,0.823590,0.365652,1.064310
252,0.497383,0.851835,-0.215385
253,0.943587,0.034699,-0.496535
254,0.929259,0.947173,-2.273921
255,0.757900,0.537133,-0.304682
256,0.579660,0.452384,-1.543679
257,0.813336,0.376425,0.762555
258,0.646662,0.515572,-0.526722
259,0.736660,0.237827,-1.125204
260,0.698634,0.005188,-0.571466
261,0.634516,0.836210,2.798644
262,0.140337,0.404196,-0.906811
263,0.431189,0.027344,-0.158681
264,0.132494,0.528557,1.098165
265,0.040696,0.664805,-0.313654
266,0.893721,0.916670,0.293037
267,0.095766,0.792355,0.316691
268,0.286336,0.205646,0.315546
269,0.913848,0.733822,-0.736717
270,0.699611,0.694118,1.192430
271,0.196704,0.721294,1.113822
272,0.350637,0.469200,-1.226203
273,0.524132,0.920302,1.741004
274,0.643687,0.962402,3.112939
275,0.991730,0.494759,-0.055238
276,0.362570,0.641886,0.949675
277,0.957809,0.441779,0.264620
278,0.144717,0.225650,-0.683792
279,0.898589,0.788495,0.657524
280,0.183108,0.183429,1.857403
281,0.028458,0.419821,1.931118
282,0.539223,0.376394,0.292387
283,0.792660,0.374243,0.641740
284,0.192218,0.451286,-0.811698
285,0.630137,0.365194,-0.105937
286,0.618860,0.086152,0.663868
287,0.627756,0.377249,-0.820586
288,0.369360,0.780774,0.675021
289,0.864454,0.645594,-1.183406
290,0.136645,0.153887,-0.480218
291,0.559335,0.636728,0.174152
292,0.447196,0.985260,-0.063371
293,0.778149,0.597299,-0.017192
294,0.666880,0.399268,-0.637887
295,0.016861,0.081331,1.317745
296,0.846616,0.212177,-0.119884
297,0.144747,0.273198,-0.444549
298,0.485191,0.837461,0.254679
299,0.451453,0.078416,3.803909
300,0.406409,0.052461,-0.328320
301,0.140368,0.597498,-0.521811
302,0.677897,0.683818,0.884599
303,0.984634,0.023514,0.322117
304,0.688334,0.466835,1.161354
305,0.330388,0.963745,-1.365932
306,0.223362,0.824262,0.358900
307,0.802762,0.710124,-1.695411
308,0.301122,0.439094,-2.872453
309,0.991562,0.867735,-0.897322
310,0.700572,0.701457,1.318697
311,0.228779,0.354879,2.128354
312,0.061402,0.158526,-0.947367
313,0.485573,0.322667,0.182608
314,0.252293,0.466835,-0.748749
315,0.795407,0.581140,0.627976
316,0.317403,0.150286,-0.906338
317,0.743587,0.218494,-0.657712
318,0.412390,0.466789,-0.176442
319,0.822400,0.839536,-1.046940
320,0.785275,0.980743,0.081083
321,0.390738,0.690425,-0.017820
322,0.327184,0.983413,-1.266011
323,0.303883,0.959838,-0.855327
324,0.035325,0.283574,1.273039
325,0.078752,0.087419,-2.510607
326,0.752224,0.521340,-0.966569
327,0.471366,0.686885,-1.021825
328,0.194598,0.368154,0.152573
329,0.214389,0.606882,-1.028965
330,0.873869,0.701595,-2.910918
331,0.156390,0.067842,0.546331
332,0.994827,0.745220,-0.842005
333,0.391363,0.026276,-1.201019
334,0.105425,0.863676,1.829935
335,0.694255,0.213245,0.927608
336,0.583185,0.356619,-0.030662
337,0.586694,0.206668,0.341420
338,0.871321,0.955383,-0.110580
339,0.723293,0.476173,1.901951
340,0.578729,0.081315,-0.836548
341,0.229587,0.019608,0.583462
342,0.433295,0.370260,0.589819
343,0.625574,0.854154,0.272871
344,0.427161,0.159869,0.256083
345,0.557397,0.124743,-0.800555
346,0.304097,0.925307,-0.829248
347,0.360311,0.039536,0.465788
348,0.683772,0.250706,-0.429682
349,0.589731,0.642725,-0.562833
350,0.405783,0.369436,1.049826
351,0.968490,0.196719,1.032925
352,0.721538,0.315679,-1.884232
353,0.170687,0.103609,-0.185678
354,0.614359,0.947890,1.991835
355,0.084199,0.936324,0.778643
356,0.479774,0.935546,1.905700
357,0.320256,0.971679,-1.286617
358,0.703334,0.116365,-0.106271
359,0.750500,0.864652,-0.630169
360,0.570565,0.092287,-1.847480
361,0.925750,0.789502,1.810251
362,0.718776,0.448539,0.784881
363,0.919692,0.811826,1.776773
364,0.471656,0.628595,-0.234753
365,0.672892,0.807340,1.616621
366,0.634455,0.025223,2.149884
367,0.761303,0.618372,-0.169694
368,0.279667,0.280110,-1.398140
369,0.442618,0.491173,0.123694
370,0.388235,0.079255,2.673210
371,0.725612,0.005661,-0.087592
372,0.068803,0.497780,-0.143263
373,0.616800,0.189349,0.004230
374,0.953780,0.908751,-0.125040
375,0.201785,0.997116,-1.724500
376,0.504417,0.269749,1.485100
377,0.379644,0.852155,0.001741
378,0.710185,0.502113,1.107162
379,0.420432,0.569345,-2.124644
380,0.974716,0.473701,0.341817
381,0.092790,0.198199,1.926888
382,0.710597,0.587839,0.574292
383,0.301320,0.916609,-0.635275
384,0.359594,0.531472,-1.689573
385,0.263371,0.866224,0.644337
386,0.500725,0.372305,1.853859
387,0.739895,0.223499,-0.790416
388,0.651301,0.468360,0.926715
389,0.016449,0.304356,1.650484
390,0.507362,0.103578,1.588451
391,0.154528,0.012268,0.053851
392,0.837720,0.261769,0.545698
393,0.076860,0.612573,-0.095779
394,0.792569,0.377401,0.588180
395,0.520119,0.773342,2.655961
396,0.190158,0.272343,-0.340251
397,0.081498,0.154299,-1.783259
398,0.300237,0.865675,0.383088
399,0.541222,0.472633,0.674252
400,0.459419,0.749859,-2.680116
401,0.729122,0.568856,0.020121
402,0.114794,0.545281,0.336288
403,0.847898,0.471733,-2.307248
404,0.661295,0.778744,-0.307336
405,0.993622,0.466880,0.100926
406,0.980407,0.875654,-0.796570
407,0.466697,0.086809,3.139443
408,0.255512,0.071305,0.832857
409,0.533318,0.586755,0.626542
410,0.145388,0.935454,-1.345324
411,0.207172,0.609751,-1.039403
412,0.251591,0.516533,-1.232522
413,0.888716,0.255604,-0.374645
414,0.217319,0.042588,0.089458
415,0.846540,0.850736,0.553734
416,0.189471,0.036301,0.141058
417,0.954269,0.265415,1.994446
418,0.565194,0.117601,-1.592754
419,0.672770,0.349325,-1.155568
420,0.587167,0.577279,-1.945501
421,0.757824,0.127413,0.913496
422,0.132891,0.277134,-0.186011
423,0.116533,0.047608,1.331810
424,0.243793,0.901839,-0.887057
425,0.405173,0.276219,0.204559
426,0.369390,0.184665,-1.639635
427,0.749172,0.873655,-0.239057
428,0.432349,0.500755,-0.859891
429,0.362097,0.634821,0.854738
430,0.806302,0.100862,1.736127
431,0.377600,0.270832,0.936821
432,0.517205,0.298299,1.149478
433,0.126574,0.850675,1.181719
434,0.091844,0.548104,-1.360246
435,0.699687,0.025422,0.592725
436,0.987350,0.847669,-0.124660
437,0.943832,0.448859,0.920847
438,0.838849,0.232715,0.351963
439,0.133852,0.181292,0.251443
440,0.571435,0.034287,0.121049
441,0.750759,0.716808,-0.009333
442,0.188373,0.594354,0.437919
443,0.120760,0.830396,-0.288759
444,0.659632,0.193149,1.087259
445,0.358556,0.682750,0.303988
446,0.020462,0.378775,1.682135
447,0.681621,0.097246,-0.708940
448,0.550820,0.790173,2.429960
449,0.163180,0.906294,-0.231582
450,0.985794,0.464698,0.070635
451,0.138689,0.757259,-0.386270
452,0.902144,0.596597,0.060079
453,0.355444,0.467475,-1.181935
454,0.010269,0.960815,3.214563
455,0.132479,0.519310,1.488953
456,0.622431,0.026429,2.801087
457,0.251835,0.543404,-0.730568
458,0.646677,0.394232,-0.438928
459,0.190280,0.860166,0.426636
460,0.828855,0.990249,-0.001880
461,0.308339,0.537667,-1.095957
462,0.371588,0.023590,-0.897232
463,0.927657,0.144625,-0.969656
464,0.472831,0.336263,1.308535
465,0.243626,0.444373,-0.590381
466,0.855253,0.342794,1.258252
467,0.224338,0.450187,0.038722
468,0.013626,0.529366,-0.062277
469,0.034638,0.061433,0.970087
470,0.204608,0.446250,-0.391666
471,0.316442,0.598398,-1.108068
472,0.841672,0.440696,-0.995883
473,0.044892,0.646571,0.203908
474,0.322637,0.117250,2.156960
475,0.327260,0.707424,1.706361
476,0.883268,0.769360,-0.768527
477,0.025437,0.760174,-0.598870
478,0.348348,0.856825,-0.662185
479,0.942260,0.514336,0.203125
480,0.297658,0.006836,1.213546
481,0.127214,0.447684,-1.535381
482,0.815778,0.395682,0.934511
483,0.982452,0.765133,0.667247
484,0.514366,0.043519,-0.367261
485,0.964828,0.756344,1.594853
486,0.813581,0.408606,0.639930
487,0.864668,0.103685,-1.243457
488,0.199115,0.561471,-0.630148
489,0.499138,0.839338,0.179916
490,0.732448,0.632227,-0.561524
491,0.104631,0.530755,-0.088960
492,0.531716,0.148409,-1.026864
493,0.792111,0.488334,0.547065
494,0.200824,0.996796,-1.717156
495,0.832425,0.041321,0.258565
496,0.878630,0.387549,-0.831143
497,0.907805,0.811185,1.201430
498,0.771725,0.112261,-0.005278
499,0.637781,0.695247,-1.789060
500,0.491478,0.537789,0.094693
501,0.836316,0.098512,-1.030467
502,0.587503,0.287404,1.156721
503,0.530632,0.863767,1.055938
504,0.223392,0.918639,-1.667665
505,0.536446,0.464591,0.506495
506,0.972457,0.436820,-0.078919
507,0.112200,0.811124,-0.054379
508,0.927443,0.629480,-1.608981
509,0.347433,0.288426,0.475533
510,0.959152,0.316442,-1.714769
511,0.816114,0.952621,-1.401426
512,0.393149,0.193118,-1.624134
513,0.507515,0.564492,-0.624430
514,0.796597,0.772488,-1.800637
515,0.033265,0.271244,1.518118
516,0.445869,0.828901,-0.611580
517,0.615122,0.427375,-0.586521
518,0.324102,0.044755,2.325301
519,0.433234,0.419654,0.576790
520,0.016754,0.210468,0.573993
521,0.399329,0.394232,-0.150043
522,0.267201,0.511299,-1.127351
523,0.316808,0.499199,-0.126917
524,0.043229,0.674495,-0.508435
525,0.487160,0.475578,0.314859
526,0.955535,0.190249,1.706231
527,0.894881,0.623453,-1.498125
528,0.409430,0.291737,-0.124523
529,0.077790,0.601709,-0.220441
530,0.171664,0.792370,2.329727
531,0.406714,0.649119,1.540574
532,0.041489,0.933715,2.716869
533,0.333486,0.090425,2.265181
534,0.941436,0.463828,0.794489
535,0.917174,0.094194,-0.010112
536,0.104372,0.119722,-2.291406
