,x,y,z_pred
0,0.805249,0.724239,-2.879612
1,0.932219,0.884825,-0.340942
2,0.441688,0.790341,-1.829228
3,0.235584,0.343740,2.223899
4,0.129183,0.823789,-0.829442
5,0.501411,0.136858,-0.252577
6,0.693797,0.677531,-0.128574
7,0.597772,0.567498,-1.666001
8,0.536614,0.760189,2.395759
9,0.797864,0.125292,0.681785
10,0.063691,0.897795,0.577329
11,0.774701,0.531441,0.645792
12,0.377295,0.220218,-0.129554
13,0.672511,0.789700,-0.012339
14,0.117876,0.063645,0.321396
15,0.773419,0.291127,1.178073
16,0.520562,0.234485,1.849046
17,0.259892,0.585855,-0.169053
18,0.509865,0.564385,-0.116867
19,0.163241,0.855482,1.310904
20,0.169421,0.718746,1.283823
21,0.405676,0.754620,0.224899
22,0.251560,0.039567,0.838991
23,0.824292,0.115526,-1.099071
24,0.125826,0.834745,0.054438
25,0.361334,0.981247,-0.171103
26,0.168765,0.316457,0.070248
27,0.365179,0.156329,-0.598310
28,0.464698,0.536660,-0.261947
29,0.971771,0.393149,-0.090809
30,0.513222,0.669642,0.651764
31,0.795453,0.280232,2.179393
32,0.843519,0.436439,-1.124693
33,0.893233,0.449790,1.087096
34,0.511543,0.411810,1.147182
35,0.841505,0.799390,-0.379704
36,0.265141,0.640513,-2.650156
37,0.375601,0.341466,0.662315
38,0.414481,0.808316,-1.536632
39,0.805402,0.375296,0.706554
40,0.535256,0.267308,3.053700
41,0.894102,0.202335,2.046668
42,0.542672,0.184543,0.074369
43,0.521767,0.741299,0.547586
44,0.559304,0.115908,-1.295607
45,0.561501,0.345663,-0.422169
46,0.370535,0.447227,-1.770163
47,0.955398,0.222629,2.508954
48,0.682856,0.602564,0.253100
49,0.714656,0.713588,0.324782
50,0.772396,0.652674,-2.056190
51,0.989136,0.010651,0.663759
52,0.122423,0.573632,-0.507195
53,0.562631,0.611688,-0.008076
54,0.790768,0.490257,0.247617
55,0.873701,0.947829,0.526467
56,0.939818,0.475120,-0.008126
57,0.176715,0.508766,0.117477
58,0.051362,0.448112,2.737141
59,0.025177,0.013443,-1.987703
60,0.833875,0.609110,0.531402
61,0.193545,0.711803,0.733532
62,0.998764,0.084703,0.559436
63,0.723873,0.149874,0.704156
64,0.950866,0.704250,0.382029
65,0.350439,0.548272,-0.411264
66,0.074357,0.385840,1.266994
67,0.965560,0.342626,-2.577378
68,0.351705,0.239551,0.253018
69,0.745830,0.552117,-0.238766
70,0.623224,0.526711,-0.678330
71,0.660136,0.626200,0.271819
72,0.491768,0.156161,0.253410
73,0.936110,0.625589,-1.057877
74,0.451453,0.568185,-2.228930
75,0.321401,0.380819,-0.390157
76,0.463844,0.465400,0.773473
77,0.168124,0.759548,1.522226
78,0.562234,0.465705,-0.465472
79,0.761471,0.626215,-1.094257
80,0.334844,0.055360,1.892564
81,0.540475,0.106569,-0.648995
82,0.977218,0.942367,-1.629211
83,0.540551,0.674418,0.017417
84,0.808820,0.630228,-0.260768
85,0.781827,0.439490,-0.208302
86,0.039673,0.129442,0.956050
87,0.978363,0.121187,1.562429
88,0.757534,0.534707,-0.207615
89,0.056321,0.745205,-0.430044
90,0.424155,0.497307,-1.346492
91,0.006592,0.185504,1.552751
92,0.322423,0.094850,2.170164
93,0.548135,0.388418,-0.140171
94,0.567132,0.596368,-0.607630
95,0.608896,0.688579,-0.897811
96,0.188464,0.153201,1.469262
97,0.875242,0.543786,0.895507
98,0.521370,0.103182,0.329980
99,0.625895,0.342306,-0.886832
100,0.267735,0.725460,0.885661
101,0.993500,0.555673,0.003585
102,0.310414,0.338231,1.171342
103,0.280629,0.545876,-0.383744
104,0.290471,0.830488,0.593594
105,0.351858,0.711803,0.810500
106,0.322728,0.728283,1.044103
107,0.564813,0.605478,-0.299829
108,0.474739,0.480522,0.730163
109,0.984878,0.615686,-0.037739
110,0.317617,0.734813,0.315509
111,0.238712,0.501488,-1.077402
112,0.634592,0.927199,2.630018
113,0.300557,0.745449,0.162939
114,0.670268,0.190616,0.763330
115,0.704723,0.500862,1.624061
116,0.688624,0.828702,3.011075
117,0.628565,0.785718,-0.077828
118,0.663569,0.990326,-0.000918
119,0.107851,0.467781,1.571965
120,0.703212,0.469749,1.738391
121,0.978241,0.970565,-2.618628
122,0.870146,0.240192,0.587659
123,0.826307,0.246677,0.637183
124,0.514290,0.405844,1.274485
125,0.871168,0.760342,-1.658921
126,0.798657,0.920165,0.032070
127,0.247684,0.433402,-1.404469
128,0.746822,0.553384,-0.299653
129,0.317540,0.475410,-0.781955
130,0.686473,0.391592,-0.252208
131,0.519371,0.296681,0.916817
132,0.604791,0.834119,0.499130
133,0.811810,0.287098,2.052173
134,0.563561,0.581186,-0.787000
135,0.491752,0.544244,-0.994347
136,0.876387,0.714382,-2.452785
137,0.901442,0.245380,-0.796346
138,0.870878,0.147601,-1.325250
139,0.741863,0.977676,1.938382
140,0.401282,0.373327,0.859946
141,0.676799,0.623133,0.005017
142,0.957244,0.276112,1.788847
143,0.969802,0.763348,1.255668
144,0.509621,0.315145,0.748700
145,0.363455,0.116564,2.425242
146,0.281605,0.965530,1.635891
147,0.416648,0.030182,0.222780
148,0.872740,0.423453,0.376313
149,0.122133,0.884581,0.625048
150,0.026429,0.203326,0.511174
151,0.347601,0.964721,-0.508557
152,0.049699,0.322377,0.302200
153,0.173556,0.475181,-0.979169
154,0.555200,0.930602,-1.040586
155,0.603235,0.815137,1.562562
156,0.115312,0.195529,0.830347
157,0.609339,0.798596,1.054461
158,0.572412,0.915190,0.309559
159,0.472175,0.139193,1.225586
160,0.015534,0.248249,0.639372
161,0.893843,0.062821,0.664680
162,0.519432,0.977523,0.922962
163,0.783322,0.601541,-0.890246
164,0.038682,0.405112,1.016542
165,0.233631,0.913832,-0.760032
166,0.437095,0.129473,2.181180
167,0.941634,0.313848,-1.397412
168,0.915206,0.710658,0.219591
169,0.383551,0.506493,-0.944703
170,0.656703,0.367453,-0.962612
171,0.690715,0.820386,2.776181
172,0.832654,0.188479,0.247241
173,0.135500,0.939528,-1.750026
174,0.910369,0.643458,-1.931000
175,0.173480,0.743160,1.576203
176,0.623865,0.081132,0.715060
177,0.425299,0.604196,-0.321374
178,0.157183,0.104189,-0.717226
179,0.231128,0.697185,0.495819
180,0.537148,0.006302,-3.719543
181,0.369802,0.032242,-0.093716
182,0.538659,0.224903,1.366372
183,0.080705,0.054108,-1.208160
184,0.964584,0.416754,0.574146
185,0.354864,0.355245,-1.112119
186,0.389548,0.739406,-0.009685
