,x,y,z_pred
0,0.674144,0.867552,0.716055
1,0.736446,0.139666,1.542368
2,0.096132,0.168521,0.094385
3,0.365835,0.916152,0.275168
4,0.480354,0.605737,-0.592947
5,0.200732,0.947326,-0.551698
6,0.370413,0.802152,-1.661809
7,0.394705,0.375784,0.166618
8,0.746349,0.705715,-0.293704
9,0.861463,0.646784,-0.947693
10,0.156481,0.514733,-0.089040
11,0.241108,0.514229,-1.051184
12,0.432486,0.024308,1.260367
13,0.923644,0.406302,-0.666844
14,0.034836,0.894804,0.292911
15,0.633219,0.336385,-1.791412
16,0.159396,0.305745,-0.071767
17,0.720668,0.962844,2.224948
18,0.035111,0.985504,2.140488
19,0.089265,0.175814,-0.043400
20,0.229633,0.222141,1.506224
21,0.354116,0.547173,-0.486936
22,0.534539,0.571160,0.642389
23,0.993866,0.519860,0.353637
24,0.486351,0.670451,0.155749
25,0.102525,0.792432,-0.217846
26,0.462882,0.261173,-1.606509
27,0.738399,0.263859,0.753703
28,0.549279,0.287678,1.153684
29,0.862272,0.350881,-0.007088
30,0.224231,0.130648,0.711927
31,0.730175,0.108110,0.148927
32,0.331350,0.574731,-2.392701
33,0.766567,0.311147,0.547592
34,0.836316,0.596414,0.502688
35,0.931472,0.907225,-0.111936
36,0.834104,0.802731,-0.616361
37,0.200549,0.534722,-1.034318
38,0.294545,0.424109,-2.370295
39,0.588464,0.509728,-1.190861
40,0.934707,0.243778,1.801856
41,0.208438,0.693355,0.476160
42,0.635126,0.095735,0.328627
43,0.233463,0.919539,-0.800699
44,0.978347,0.662211,1.278354
45,0.544244,0.535180,-0.283533
46,0.722774,0.797818,0.388603
47,0.239490,0.301366,0.197288
48,0.266285,0.772396,-1.954342
49,0.288243,0.545892,-1.340479
50,0.756771,0.562860,-1.211229
51,0.117891,0.006317,0.240750
52,0.895415,0.782223,1.363408
53,0.427665,0.501610,-1.160533
54,0.182879,0.002564,-1.356599
55,0.304799,0.585443,-0.727451
56,0.390265,0.334264,1.000939
57,0.827390,0.428550,-1.095954
58,0.593668,0.679652,-1.135833
59,0.561730,0.420798,-0.822904
60,0.498772,0.947677,0.183448
61,0.315709,0.918654,-0.812819
62,0.029526,0.596170,-0.311725
63,0.750439,0.101396,-0.103814
64,0.163348,0.147829,-0.076403
65,0.890303,0.092409,0.937024
66,0.205142,0.044175,-0.541565
67,0.742336,0.914183,0.869299
68,0.212360,0.919371,-0.745707
69,0.762615,0.205707,-0.954600
70,0.202686,0.945693,-0.570704
71,0.883146,0.719478,-1.722471
72,0.317601,0.955810,-1.629595
73,0.738827,0.591547,-2.116123
74,0.169863,0.646418,-0.159809
75,0.301335,0.686702,1.311527
76,0.055451,0.630243,1.288107
77,0.808377,0.320638,0.927644
78,0.814832,0.529625,-1.165868
79,0.274388,0.417105,-1.768624
80,0.954177,0.503853,-0.568235
81,0.106722,0.157885,0.400728
82,0.190372,0.871290,0.410452
83,0.586191,0.677363,-1.398098
84,0.447532,0.362249,-0.481843
85,0.644190,0.898116,0.804421
86,0.906294,0.127306,-0.390747
87,0.463767,0.486427,1.476542
88,0.729564,0.307362,-2.909348
89,0.999481,0.856428,-1.563179
90,0.802884,0.467216,-0.536702
91,0.956237,0.835111,-0.395257
92,0.371313,0.774533,-0.229285
93,0.675242,0.747509,-0.872983
94,0.607446,0.163149,-0.254451
95,0.216358,0.928298,-0.501822
96,0.960311,0.815595,1.152014
97,0.572366,0.443656,-1.922563
98,0.229587,0.019608,0.280069
99,0.270649,0.142824,-0.072724
100,0.346227,0.127428,-0.783443
101,0.546319,0.222217,0.544255
102,0.115328,0.571817,-0.481197
