,x,y,z_pred
0,0.398581,0.091798,2.837659
1,0.803357,0.650401,-0.624312
2,0.544259,0.416190,0.918383
3,0.575814,0.836210,0.782165
4,0.934691,0.944869,-0.792060
5,0.655329,0.820676,0.212121
6,0.415167,0.317220,0.428581
7,0.828687,0.559838,0.106134
8,0.255894,0.599832,-1.171667
9,0.060105,0.627558,-0.300022
10,0.143297,0.524804,1.224069
11,0.612711,0.840833,0.620126
12,0.224414,0.520500,-0.378513
13,0.642847,0.398428,-0.008037
14,0.707530,0.711299,-0.701626
15,0.055222,0.633509,-0.354481
16,0.458366,0.333425,0.214560
17,0.266804,0.806714,-0.141249
18,0.634607,0.700237,-1.785084
19,0.009644,0.596735,-0.184881
20,0.959640,0.824186,-0.267066
21,0.023850,0.853132,0.265544
22,0.905898,0.993256,-1.157711
23,0.745434,0.650507,-0.357601
24,0.669383,0.270359,1.754137
25,0.129671,0.342672,0.533239
26,0.830655,0.945602,-0.731442
27,0.224903,0.150576,-0.353863
28,0.963714,0.374716,-0.116868
29,0.612894,0.002441,-1.706543
30,0.836728,0.483818,0.137390
31,0.959335,0.942763,-0.828151
32,0.586755,0.986343,1.162063
33,0.422568,0.820706,-0.449186
34,0.533883,0.818524,0.388206
35,0.508629,0.951476,0.797900
36,0.486809,0.207797,1.710450
37,0.538399,0.956802,1.032580
38,0.341695,0.993271,-0.933289
39,0.186847,0.494392,0.018399
40,0.207736,0.187762,0.124424
41,0.506432,0.005783,0.470365
42,0.108309,0.366247,0.873411
43,0.502174,0.701579,-0.691413
44,0.893141,0.450462,0.779037
45,0.335775,0.843900,-0.018028
46,0.013443,0.248234,0.697942
47,0.217762,0.582498,-0.300930
48,0.678325,0.254505,1.984680
49,0.807889,0.821134,-1.768131
50,0.836790,0.734188,-2.497409
51,0.855482,0.216403,0.216528
52,0.439765,0.504204,-1.165554
53,0.090196,0.246387,1.516526
54,0.789807,0.973785,0.234192
55,0.463371,0.127123,3.456675
56,0.369482,0.008316,0.239346
57,0.969772,0.798245,-0.475017
58,0.929458,0.496345,0.259005
59,0.970657,0.088289,0.366135
60,0.473335,0.319890,0.131111
61,0.683146,0.650797,-0.506892
62,0.933318,0.086900,0.400542
63,0.921553,0.794720,-1.912052
64,0.058488,0.604410,-0.046357
65,0.287831,0.411276,0.075435
66,0.909545,0.737835,-2.612875
67,0.829633,0.772488,-2.686678
68,0.947326,0.762829,-1.574137
69,0.268193,0.741161,-0.885728
70,0.766384,0.825376,-0.575250
