,x,y,z_pred
0,0.147448,0.148394,-1.168024
1,0.187716,0.355230,0.309369
2,0.210788,0.729107,-0.775609
3,0.455314,0.567468,-1.615873
4,0.506126,0.749371,-0.928711
5,0.271611,0.364218,1.177316
6,0.422354,0.535470,-1.782381
7,0.534524,0.219150,1.816141
8,0.035767,0.855436,-0.390019
9,0.468544,0.230869,1.588806
10,0.833875,0.465644,-0.255530
11,0.356863,0.476539,-1.820031
12,0.957717,0.978729,-2.094830
13,0.507195,0.415808,1.294701
14,0.938521,0.069139,0.575359
15,0.221729,0.849363,0.079548
16,0.789288,0.147646,0.881764
17,0.305623,0.240574,1.136632
18,0.453559,0.193408,2.007607
19,0.361776,0.076158,2.816029
20,0.830228,0.799756,-2.233197
21,0.927581,0.799100,-0.514477
22,0.599619,0.330526,1.735238
23,0.415427,0.462531,-1.083204
24,0.817838,0.464805,0.077917
25,0.495811,0.294499,0.990989
26,0.756359,0.087373,0.074062
27,0.573190,0.946227,0.759287
28,0.956252,0.645563,-0.205284
29,0.875822,0.789288,-2.491683
30,0.606592,0.552560,-1.527538
31,0.921660,0.296132,0.834509
32,0.284291,0.666316,-2.206404
33,0.816861,0.038773,-0.597230
34,0.983688,0.666163,0.257881
35,0.621317,0.333700,0.934544
36,0.882338,0.081376,0.175779
37,0.771801,0.356741,0.765563
38,0.020645,0.511757,1.554216
39,0.546365,0.723140,-1.310652
40,0.181399,0.220600,0.553949
41,0.704341,0.654505,-0.683959
42,0.802701,0.649729,-1.079322
43,0.873213,0.673167,-1.657900
44,0.489754,0.287144,0.822300
45,0.461738,0.199451,1.902505
46,0.096223,0.536309,0.738361
47,0.504448,0.266697,1.708329
48,0.526207,0.864103,0.296004
49,0.581903,0.520562,-1.294328
50,0.192355,0.476677,-0.276327
51,0.911559,0.526314,-0.158235
52,0.388418,0.831281,-0.108632
53,0.669505,0.295460,0.351181
54,0.651591,0.809094,0.386224
55,0.374792,0.260685,0.988074
56,0.641657,0.417823,-0.723367
57,0.423575,0.369436,0.406354
58,0.279774,0.157153,0.807542
59,0.601877,0.169528,1.051267
60,0.996841,0.879652,-0.657774
61,0.264851,0.779294,-0.183472
62,0.255482,0.534524,-1.066740
63,0.041108,0.057435,-1.009866
64,0.830900,0.605188,-0.024855
65,0.156176,0.241733,0.368538
66,0.228244,0.264652,1.197980
67,0.812757,0.984482,-0.145080
68,0.309636,0.849470,-0.077535
69,0.003464,0.223545,0.515873
70,0.674144,0.592111,-0.177326
71,0.228702,0.629725,-1.805345
72,0.554528,0.978759,0.412164
73,0.440574,0.699184,0.123258
74,0.734203,0.327733,-0.476514
75,0.775601,0.849180,-1.154908
76,0.055787,0.779171,-0.609385
77,0.300816,0.997574,-1.096596
78,0.791348,0.103441,0.557655
79,0.094453,0.571801,0.110224
80,0.911620,0.376349,0.491875
81,0.423713,0.168368,2.544646
82,0.981445,0.094408,0.414903
83,0.298711,0.341451,0.909975
84,0.058762,0.735515,-0.665487
85,0.403830,0.410300,-0.775722
86,0.469520,0.282872,0.215471
87,0.619501,0.647562,-0.787821
88,0.084199,0.296147,1.221372
89,0.972564,0.810697,0.469516
90,0.077684,0.445838,2.155016
91,0.531273,0.115846,1.872574
92,0.137804,0.837736,-0.199095
93,0.972793,0.284764,0.867811
94,0.055329,0.984573,1.379599
95,0.862501,0.416403,1.088202
96,0.463188,0.158358,2.889209
97,0.322698,0.152239,1.314446
98,0.945312,0.296345,0.766701
99,0.546212,0.424231,0.698042
100,0.380377,0.530312,-2.127788
101,0.390723,0.388159,-0.329749
102,0.521538,0.629511,-0.403664
103,0.967132,0.444572,0.094143
104,0.192294,0.886671,0.055941
105,0.243641,0.457343,-0.274090
106,0.847745,0.282658,1.019274
107,0.710109,0.166644,1.231220
108,0.434546,0.879744,-1.277646
109,0.428626,0.585473,-2.022729
110,0.034699,0.854597,-0.373132
111,0.250599,0.434791,-0.004106
112,0.403769,0.912840,-0.874022
113,0.680858,0.641169,-0.374672
114,0.444541,0.386389,0.303421
115,0.711315,0.108873,0.512377
116,0.799435,0.737819,-2.803435
117,0.640681,0.050874,0.792220
118,0.174853,0.060105,-0.331046
119,0.792309,0.827222,-1.566952
120,0.258289,0.495491,-0.884830
121,0.515755,0.651392,-0.258393
122,0.474464,0.253162,0.992495
123,0.277623,0.872221,-0.151512
124,0.378759,0.452720,-1.863869
125,0.024857,0.447196,2.561317
126,0.936187,0.964431,-1.592412
127,0.001877,0.120653,0.941869
128,0.763638,0.981125,0.675405
129,0.892348,0.263752,0.446215
130,0.161685,0.488533,0.396218
131,0.162158,0.733715,-1.042784
132,0.016449,0.575448,0.076055
133,0.439216,0.040711,1.597642
134,0.403250,0.179309,1.700868
135,0.210636,0.459281,-0.187275
136,0.528435,0.705470,-1.007113
137,0.217227,0.073899,-0.133750
138,0.642695,0.239246,1.501432
139,0.155810,0.603189,-0.419811
140,0.363516,0.925841,-0.491334
141,0.621790,0.577371,-1.236351
142,0.320119,0.528145,-1.811803
143,0.172595,0.414527,-0.064697
144,0.223331,0.741543,-0.211270
145,0.183566,0.188479,0.470883
146,0.280613,0.508217,-1.206329
147,0.187304,0.289586,0.453235
148,0.388388,0.874861,-0.572356
149,0.827893,0.335500,1.859391
150,0.972808,0.130404,0.230340
151,0.457160,0.103624,3.905971
152,0.356481,0.467628,-1.802924
153,0.656275,0.276783,1.200186
154,0.889525,0.326116,1.683498
155,0.622782,0.200778,1.714698
156,0.545281,0.897292,1.303500
157,0.900130,0.291112,0.651535
158,0.570626,0.840650,0.560478
159,0.573571,0.818555,0.587390
160,0.267445,0.983444,-1.318355
161,0.617655,0.860792,0.591388
162,0.454475,0.028260,1.132084
163,0.410666,0.411383,-0.705551
164,0.281422,0.184848,1.163789
165,0.077302,0.093721,-1.732014
166,0.488670,0.416892,1.070330
167,0.944167,0.329259,-0.055458
168,0.968719,0.266850,1.146620
169,0.918791,0.215564,1.026619
170,0.245563,0.397635,0.985957
171,0.211673,0.458854,-0.171544
172,0.833326,0.859449,-1.456586
173,0.033341,0.006363,-2.372644
174,0.955123,0.366369,-0.321849
175,0.063401,0.614832,-0.079990
176,0.810193,0.598810,-0.336984
177,0.835813,0.675792,-1.492888
178,0.531609,0.526726,-0.216368
179,0.085801,0.662593,-0.012429
180,0.656809,0.180407,1.316014
181,0.695903,0.978668,1.634374
182,0.658854,0.176837,1.261253
183,0.461112,0.099626,3.829498
184,0.000641,0.125612,1.022684
185,0.157763,0.083436,-0.394286
186,0.986328,0.341329,-0.560662
187,0.330236,0.002792,0.126488
188,0.863371,0.689387,-2.087297
189,0.780224,0.236210,1.200720
190,0.873487,0.763226,-2.983483
191,0.487678,0.558587,-1.019524
192,0.399237,0.490562,-1.711553
193,0.604364,0.321294,1.815068
194,0.055741,0.232776,1.111329
195,0.497658,0.891402,-0.235536
196,0.170138,0.613138,-0.694968
197,0.423560,0.758434,-0.028176
