,x,y,z_pred
0,0.436408,0.429755,0.431570
1,0.146426,0.843748,-0.589467
2,0.102144,0.203433,0.750734
3,0.525124,0.122164,1.330968
4,0.610758,0.686778,-1.323165
5,0.780240,0.094713,0.696161
6,0.458213,0.085466,3.450629
7,0.673533,0.058701,-0.285893
8,0.131868,0.854673,-0.727702
9,0.502190,0.271260,1.671243
10,0.510231,0.746624,-0.376290
11,0.880568,0.728252,-2.646137
12,0.446143,0.055604,3.541233
13,0.708492,0.601678,-0.671708
14,0.642817,0.753506,-1.858645
15,0.739162,0.134371,1.014471
16,0.791501,0.850645,-1.290183
17,0.789319,0.838285,-1.329901
18,0.469520,0.295232,0.294618
19,0.593835,0.493339,-0.598049
20,0.733165,0.958618,0.930435
21,0.994156,0.375875,-1.066500
22,0.470771,0.257664,0.021533
23,0.577386,0.199832,0.745278
24,0.060441,0.588861,0.745067
25,0.502724,0.019806,1.021430
26,0.273610,0.161456,1.575639
27,0.491341,0.441718,0.745504
28,0.999802,0.427588,-0.819330
29,0.581704,0.752514,-1.294631
30,0.608316,0.533165,-1.167863
31,0.163333,0.673625,-0.781465
32,0.007263,0.014496,-2.377802
33,0.893629,0.686625,-1.768442
34,0.032578,0.293126,0.882226
35,0.849744,0.013809,0.485617
36,0.242161,0.441291,-0.194728
37,0.056764,0.215274,0.670012
38,0.503166,0.404532,1.225098
39,0.491127,0.052506,2.137282
40,0.295827,0.134676,1.877942
41,0.284123,0.359411,1.295188
42,0.160204,0.573281,-0.131471
43,0.874800,0.150103,-0.521477
44,0.683864,0.628382,-0.678657
45,0.532876,0.454643,1.570033
46,0.778546,0.435386,-0.664253
47,0.465522,0.950347,-0.279758
48,0.921523,0.170138,1.448120
49,0.047120,0.522652,0.694020
50,0.912566,0.937270,-0.886384
51,0.642802,0.153292,0.583550
52,0.072145,0.015442,0.442244
53,0.289693,0.312627,0.406647
54,0.580377,0.392493,0.067169
55,0.317769,0.118364,1.817682
56,0.666377,0.014710,0.104783
57,0.545754,0.236362,2.131372
58,0.611383,0.331899,0.122486
59,0.103456,0.110277,-0.804770
60,0.981552,0.919219,-0.382112
61,0.954345,0.816770,0.564566
62,0.782406,0.872465,-0.286520
63,0.189548,0.529442,-0.512842
64,0.857267,0.608576,-0.027421
65,0.433677,0.528374,-0.712143
66,0.056474,0.884123,-0.570614
67,0.938796,0.512291,-0.210703
68,0.354726,0.563653,-1.449437
69,0.221241,0.403540,1.559237
70,0.929519,0.416373,0.208338
71,0.645838,0.500374,-0.971425
72,0.703166,0.839719,-0.119619
73,0.948653,0.511116,-0.336435
74,0.744259,0.960540,0.266130
75,0.315694,0.864652,-0.798653
76,0.441367,0.469352,0.017547
77,0.538659,0.385412,0.711933
78,0.809110,0.346792,1.622596
79,0.060136,0.231861,0.105596
80,0.163760,0.432212,0.092375
81,0.746334,0.470314,0.590547
82,0.176623,0.637781,-1.041881
83,0.338140,0.115450,2.351501
84,0.882719,0.250828,0.372253
85,0.743450,0.578408,-1.182941
86,0.185214,0.967346,-1.124890
87,0.030808,0.709270,-0.533103
88,0.657816,0.754299,-1.491003
89,0.613413,0.855253,-0.250335
90,0.086732,0.474113,1.077654
91,0.506294,0.834394,-0.727700
92,0.806455,0.746349,-3.216640
93,0.606683,0.816190,0.534499
94,0.724590,0.328603,-1.349369
95,0.161883,0.985580,-1.186294
96,0.067460,0.275166,1.331988
97,0.572808,0.798367,-0.587541
98,0.119310,0.622293,-0.413281
99,0.227115,0.128252,1.094717
100,0.640330,0.520348,-0.431560
101,0.777874,0.623636,-2.397202
102,0.072114,0.770520,-1.029740
103,0.114443,0.957504,-0.702866
104,0.246265,0.858564,0.124152
105,0.267460,0.547738,-0.688826
106,0.938552,0.211627,2.669350
107,0.357305,0.879194,-0.966608
108,0.205219,0.226535,2.034570
109,0.041306,0.105745,0.026514
110,0.858747,0.894606,0.354272
111,0.216419,0.537728,-1.143200
112,0.205493,0.154345,1.458714
113,0.244388,0.532494,-1.110568
114,0.624811,0.796246,-0.548735
115,0.828733,0.179568,0.217718
116,0.738857,0.135607,1.033680
117,0.299489,0.520424,-1.849414
118,0.486717,0.783154,-0.588630
119,0.324666,0.306538,0.631951
120,0.931838,0.260410,1.485490
121,0.128283,0.842573,-0.221266
122,0.712703,0.801572,-0.068463
123,0.041413,0.314199,1.229337
124,0.065537,0.658686,0.524585
125,0.701198,0.146578,0.523587
126,0.767330,0.523125,0.124602
127,0.018235,0.345846,1.325988
128,0.013779,0.334630,1.508245
129,0.912428,0.002518,-0.859146
130,0.102174,0.246754,1.089567
131,0.658183,0.559701,-0.170152
132,0.789303,0.928359,-0.341298
133,0.295308,0.051743,1.235263
134,0.796597,0.275639,1.942548
135,0.056291,0.786511,-1.163553
136,0.404654,0.759777,0.132920
137,0.109895,0.780545,-0.196200
138,0.762127,0.214801,0.554937
139,0.950759,0.448295,-0.378626
140,0.731823,0.029419,0.030417
141,0.824216,0.110323,-0.503593
142,0.878187,0.603571,-0.167241
143,0.931868,0.922866,-0.336995
144,0.119661,0.946258,-1.089693
145,0.297581,0.903578,-0.736187
146,0.902602,0.116335,-0.493919
147,0.519142,0.731289,-1.245459
148,0.554253,0.184405,1.666840
149,0.911727,0.718166,-1.463727
150,0.629496,0.717540,-1.992546
151,0.470512,0.153124,2.018261
152,0.140261,0.549279,-0.209676
153,0.135851,0.027756,-0.056746
154,0.257832,0.792538,-1.119293
155,0.244251,0.363119,1.726897
156,0.456504,0.041642,2.521751
