,x,y,z_pred
0,0.808576,0.816434,-0.978568
1,0.148836,0.272465,-0.137039
2,0.287633,0.785718,-0.588010
3,0.989502,0.422843,0.642009
4,0.427710,0.403281,0.611023
5,0.093233,0.867369,-0.167962
6,0.658320,0.997589,0.512755
7,0.418784,0.771420,-0.303983
8,0.006683,0.336706,0.682930
9,0.307393,0.764630,-0.526216
10,0.017288,0.752514,0.348369
11,0.834302,0.780179,-1.243752
12,0.292256,0.531334,0.165904
13,0.160800,0.550759,1.030248
14,0.726497,0.338094,1.638351
15,0.082399,0.641184,0.884578
16,0.504372,0.927428,-0.187235
17,0.364370,0.495567,-0.124172
18,0.772686,0.564599,0.735354
19,0.035477,0.588861,1.082210
20,0.490471,0.565423,-0.068750
21,0.121752,0.508476,1.510358
22,0.442130,0.255512,1.360049
23,0.527184,0.330816,1.623397
24,0.103578,0.702571,0.272213
25,0.978225,0.805707,-0.697607
26,0.444587,0.884657,-0.807056
27,0.359426,0.709239,-0.482496
28,0.708568,0.521675,0.914975
29,0.444388,0.926146,-0.635450
30,0.412192,0.807324,-0.441703
31,0.443503,0.857649,-0.827489
32,0.285496,0.633524,-0.714735
33,0.700114,0.311696,1.889986
34,0.498528,0.280369,1.589987
35,0.134813,0.873716,-0.242461
36,0.863813,0.695811,-0.708108
37,0.909316,0.816495,-1.237095
38,0.839750,0.188388,0.999340
39,0.482231,0.549493,0.087387
40,0.026490,0.149218,-0.532480
41,0.697688,0.627466,0.297905
42,0.202396,0.580346,0.692495
43,0.488823,0.341115,1.372342
44,0.870344,0.047730,-0.244804
45,0.560769,0.516365,0.530341
46,0.262608,0.606210,-0.133190
47,0.011582,0.016419,-1.668663
48,0.674418,0.695766,-0.247141
49,0.632822,0.303243,2.107153
50,0.170672,0.740505,-0.413891
51,0.711482,0.300175,1.952214
52,0.477211,0.865110,-0.697134
53,0.495735,0.532692,0.471201
54,0.353780,0.669688,-0.609846
55,0.600107,0.066209,0.705182
56,0.094118,0.726116,0.131800
57,0.911101,0.109834,0.256397
58,0.126787,0.441108,0.925822
59,0.808469,0.055543,-0.262067
60,0.687434,0.824323,0.307440
61,0.701656,0.283787,2.112260
62,0.019257,0.405814,1.062705
63,0.894484,0.491722,0.786842
64,0.454566,0.637720,-0.502265
65,0.608438,0.789837,-0.322385
66,0.967742,0.840299,-0.811333
67,0.811231,0.396841,1.873622
68,0.761639,0.642618,0.114757
69,0.097795,0.056184,-1.672731
70,0.546777,0.754665,-0.400931
71,0.912169,0.490852,0.827118
72,0.868833,0.754788,-1.421864
73,0.690654,0.347417,1.697253
74,0.133547,0.290867,0.041830
75,0.620829,0.077302,0.864345
76,0.475456,0.016770,-0.000266
77,0.655375,0.936538,0.908868
78,0.723903,0.239673,2.133097
79,0.079332,0.442802,1.427888
80,0.310704,0.003830,-1.513596
81,0.270314,0.801648,-0.568371
82,0.983383,0.990814,-1.774036
83,0.848554,0.696132,-0.603833
84,0.648173,0.106401,1.142228
85,0.344152,0.669276,-0.624593
86,0.803372,0.772519,-1.036866
87,0.166445,0.755825,-0.428419
88,0.237110,0.189303,-0.564942
89,0.079835,0.763195,-0.006905
90,0.688136,0.592370,0.448653
91,0.336629,0.097169,-0.151123
92,0.753307,0.666835,-0.045018
93,0.072374,0.030549,-1.756690
94,0.814633,0.923247,-0.488381
95,0.966857,0.299626,0.989579
96,0.405264,0.161532,1.096501
97,0.797177,0.803265,-0.868576
98,0.523522,0.502281,0.885426
99,0.828687,0.247715,1.634080
100,0.608713,0.089342,0.948956
