,x,y,z_pred
0,0.985443,0.153826,1.472366
1,0.224643,0.827771,-0.456586
2,0.354376,0.935256,-0.888616
3,0.366186,0.531716,-0.965538
4,0.033753,0.769589,-0.703754
5,0.552529,0.401205,1.451482
6,0.966354,0.925689,-1.195635
7,0.747341,0.074571,0.523641
8,0.086397,0.698421,-0.183894
9,0.131502,0.523888,1.450214
10,0.514107,0.073198,2.240804
11,0.615549,0.558343,-0.090407
12,0.438849,0.862593,-1.752465
13,0.391440,0.391104,0.954992
14,0.477424,0.485328,1.119151
15,0.302556,0.318242,1.537988
16,0.773571,0.952407,-0.909410
17,0.768872,0.190860,1.458316
18,0.366278,0.150713,1.523640
19,0.689876,0.383368,0.673358
20,0.707881,0.671168,-0.730469
21,0.935897,0.596597,0.401684
22,0.678386,0.882734,-0.075802
23,0.137697,0.003784,-0.756910
24,0.491508,0.306828,2.114539
25,0.916442,0.204486,2.073390
26,0.421622,0.667536,0.196241
27,0.612787,0.192508,2.579557
28,0.814801,0.842695,-1.798452
29,0.164767,0.458457,0.683075
30,0.969665,0.074861,0.565287
31,0.763424,0.051194,0.295250
32,0.214847,0.851652,-0.353958
33,0.568566,0.835111,-1.086613
34,0.417716,0.767361,-0.217694
35,0.504799,0.127535,2.496356
36,0.590494,0.233600,2.431338
37,0.263600,0.825193,-0.255921
38,0.605737,0.254444,2.168997
39,0.022599,0.919615,0.044527
40,0.346456,0.022522,0.268552
41,0.962249,0.278447,1.774311
42,0.524758,0.481285,1.638075
43,0.156802,0.284535,0.056911
44,0.136522,0.082322,-0.580432
45,0.910857,0.403357,0.906154
46,0.626535,0.505608,0.361391
47,0.999298,0.396307,-0.065517
48,0.038422,0.894423,-0.636644
49,0.360632,0.052216,1.408245
50,0.412345,0.896422,-1.303885
51,0.388678,0.123659,2.321899
52,0.679240,0.866758,0.184144
53,0.193790,0.198337,0.697864
54,0.058274,0.594202,1.138883
55,0.675303,0.977523,-0.422545
56,0.825589,0.626658,-0.285112
57,0.818845,0.783291,-1.723988
58,0.274220,0.464286,0.258958
59,0.647135,0.642786,0.087139
60,0.865232,0.783474,-2.147098
61,0.600671,0.343542,1.930105
62,0.649729,0.998322,-1.207939
63,0.360449,0.649729,-0.076110
64,0.641581,0.100160,1.422867
65,0.066499,0.839872,-0.389351
66,0.345541,0.830671,-0.188936
67,0.645624,0.258518,2.690921
68,0.977096,0.015167,0.795973
69,0.642832,0.845380,0.213819
70,0.904860,0.730251,-1.578545
71,0.993805,0.152529,1.452477
72,0.849775,0.240299,1.612966
73,0.607797,0.137530,1.663963
74,0.691859,0.965209,-0.227362
75,0.316304,0.770626,-0.043509
76,0.440650,0.616617,-0.651675
77,0.348180,0.815198,0.104878
