,x,y,z_pred
0,0.160479,0.258412,1.513100
1,0.759335,0.712428,-1.315223
2,0.650431,0.656519,0.183877
3,0.912703,0.498146,0.587084
4,0.292561,0.221103,4.269004
5,0.988693,0.920653,-0.428646
6,0.116518,0.977478,0.371973
7,0.331487,0.012390,1.723434
8,0.245899,0.201526,5.404171
9,0.838239,0.067704,0.673262
10,0.784894,0.356420,3.504310
11,0.538735,0.838102,0.682343
12,0.484245,0.787350,-0.781258
13,0.489891,0.953124,0.808829
14,0.924300,0.687236,0.156796
15,0.351888,0.779263,2.003994
16,0.239246,0.814618,0.382851
17,0.206165,0.502190,1.063668
18,0.431281,0.902541,-0.673137
19,0.427512,0.017884,3.688654
20,0.861143,0.353307,4.380831
21,0.216114,0.335119,5.088320
22,0.046357,0.925322,1.962873
23,0.628809,0.565530,0.072483
24,0.464851,0.340169,4.489544
25,0.959686,0.846601,0.167182
26,0.539864,0.464866,3.103395
27,0.879576,0.439567,1.581454
28,0.147570,0.401373,1.392116
29,0.913252,0.341451,1.863516
30,0.705699,0.733440,-0.804849
31,0.100572,0.141451,-0.747280
32,0.771756,0.043900,0.262445
33,0.239750,0.034577,0.453573
34,0.248371,0.502708,0.116953
35,0.847562,0.606714,1.027340
36,0.264729,0.699901,-1.456942
37,0.331289,0.267811,3.288673
38,0.584634,0.484657,0.312489
39,0.393408,0.489235,-1.255161
40,0.106432,0.111437,-1.221637
41,0.283726,0.767147,0.225619
42,0.810605,0.861585,-1.300329
43,0.435859,0.248615,5.357352
44,0.723476,0.475105,2.416885
45,0.743572,0.738689,-1.135067
46,0.223590,0.701656,-0.911067
47,0.554559,0.928649,1.272855
48,0.179492,0.234394,1.722467
49,0.613703,0.221118,4.774240
50,0.171603,0.662135,-0.345762
51,0.296803,0.732876,0.372585
52,0.792477,0.103395,2.417266
53,0.467506,0.301122,2.203391
54,0.560174,0.287572,9.956472
55,0.383886,0.100496,16.156115
56,0.967407,0.951369,-1.563311
57,0.442618,0.650553,0.650581
58,0.111345,0.977325,0.531941
59,0.472145,0.405447,3.768154
60,0.737575,0.775128,-0.122978
61,0.245197,0.022568,0.272061
62,0.610590,0.098589,2.897893
63,0.385321,0.329519,3.904272
64,0.568750,0.916258,1.813233
65,0.312856,0.697215,0.525113
66,0.846616,0.726894,-4.240010
67,0.067597,0.615717,1.834763
68,0.377676,0.707347,0.960824
69,0.702571,0.103120,1.676473
70,0.403632,0.528511,-2.315993
71,0.646494,0.586221,0.516860
72,0.624353,0.660624,-0.399606
73,0.224491,0.573556,0.064203
74,0.126452,0.770153,0.028945
75,0.324895,0.437354,-0.412779
76,0.989395,0.068696,1.988971
77,0.319890,0.345235,3.671482
78,0.882582,0.796445,-2.845881
79,0.921416,0.451225,2.139369
80,0.838773,0.023621,0.892146
81,0.338125,0.240604,3.076807
82,0.563806,0.946639,0.586446
83,0.986114,0.299336,1.871923
84,0.070481,0.629496,1.852669
85,0.615610,0.241444,4.191255
86,0.100679,0.403296,3.506093
87,0.016342,0.655360,1.321620
88,0.324895,0.939269,-1.265341
89,0.706126,0.242802,3.978906
90,0.283543,0.048569,1.949797
91,0.020417,0.781399,-0.630747
92,0.139315,0.191348,0.527946
93,0.222614,0.883299,-0.097825
94,0.026886,0.914702,1.016576
95,0.154849,0.613245,0.318842
96,0.535286,0.146349,4.161740
97,0.147662,0.232288,1.264342
98,0.909148,0.628290,0.153970
99,0.295842,0.899123,-0.141049
100,0.475227,0.686503,-0.016029
101,0.768170,0.285298,4.645462
102,0.893599,0.494423,0.297233
103,0.747341,0.346395,1.548561
104,0.597177,0.662150,-0.486985
105,0.907393,0.788327,-0.919809
106,0.848859,0.342580,5.408739
107,0.807568,0.867521,-1.074067
108,0.755703,0.965820,1.713734
109,0.505135,0.383169,5.088955
110,0.869337,0.264408,2.301175
111,0.613642,0.212161,5.142739
112,0.368856,0.943267,-0.017111
113,0.927581,0.148455,1.652195
114,0.361517,0.564157,-2.122807
115,0.669215,0.030442,1.242206
116,0.797772,0.442405,1.361019
117,0.445548,0.342245,3.735446
118,0.385138,0.734142,1.328418
119,0.469551,0.277256,2.280025
120,0.789899,0.167819,3.786344
121,0.387686,0.340764,3.689139
122,0.249241,0.857862,0.767369
123,0.725414,0.608133,0.173751
124,0.492180,0.764279,-0.477713
125,0.076524,0.124605,-1.151179
126,0.641215,0.225483,5.196556
127,0.699367,0.737545,-0.990005
128,0.161135,0.870603,1.046025
129,0.895491,0.932341,0.118405
130,0.004166,0.647257,1.480931
131,0.670695,0.051255,1.390929
132,0.743435,0.383749,1.183936
133,0.785138,0.660670,-1.987478
134,0.881300,0.485603,0.122758
135,0.448478,0.341299,3.942690
136,0.375326,0.149218,6.614345
137,0.195102,0.160418,1.718426
138,0.887282,0.889220,0.477031
139,0.372473,0.099702,14.504953
140,0.023728,0.452720,6.973473
141,0.745327,0.405112,0.773283
142,0.697505,0.777249,-0.557242
143,0.351888,0.882216,-0.033788
144,0.286366,0.058808,1.949198
145,0.351705,0.170199,2.844562
146,0.709743,0.730465,-0.715455
147,0.516442,0.879469,1.053765
148,0.091569,0.544717,2.367484
149,0.139254,0.046693,0.353111
150,0.745846,0.951263,1.394422
151,0.175494,0.875395,1.324200
152,0.912444,0.327672,2.041453
153,0.482246,0.573693,-1.417717
154,0.328130,0.240360,2.957423
155,0.947387,0.917510,0.038679
156,0.337484,0.934432,-0.766733
157,0.381796,0.547860,-3.071191
158,0.722606,0.627588,-0.053616
159,0.157412,0.003510,-0.617648
160,0.348379,0.524697,-1.814697
161,0.990860,0.022278,2.498602
162,0.941726,0.344732,0.638338
163,0.764553,0.552392,0.810517
164,0.205142,0.143359,1.192777
165,0.509239,0.629511,0.536693
