,x,y,z_pred
0,0.105898,0.069780,-0.306913
1,0.928725,0.559686,2.693603
2,0.093462,0.977615,-2.014864
3,0.183642,0.703319,0.151878
4,0.986725,0.444175,-1.503508
5,0.459312,0.094316,4.502276
6,0.352773,0.284718,1.562353
7,0.402869,0.452644,-1.227343
8,0.170230,0.518898,-0.578511
9,0.188815,0.165316,1.223705
10,0.388235,0.079255,3.273477
11,0.609354,0.981750,-1.760249
12,0.148547,0.080186,0.413810
13,0.845747,0.550301,0.015841
14,0.502754,0.840848,-1.461346
15,0.795651,0.619333,-1.656560
16,0.686397,0.232853,1.236101
17,0.537179,0.365393,-0.932923
18,0.714809,0.016632,2.201564
19,0.917296,0.399557,-0.293708
20,0.151797,0.685389,-0.075832
21,0.110811,0.596536,-0.765830
22,0.280461,0.835203,-0.321705
23,0.582452,0.497459,-1.232684
24,0.693660,0.889296,-0.181081
25,0.991760,0.243549,-1.031587
26,0.605600,0.869429,-2.233438
27,0.715312,0.382330,-1.886611
28,0.960540,0.315557,-0.242011
29,0.847898,0.997543,0.487617
30,0.487678,0.075273,2.674952
31,0.511620,0.788769,0.279648
32,0.172869,0.022873,0.070913
33,0.901213,0.855116,1.176015
34,0.680476,0.498817,1.187341
35,0.779461,0.027787,-0.615833
36,0.391547,0.483711,-1.332454
37,0.758572,0.365530,-0.742630
38,0.542824,0.253468,3.050742
39,0.410239,0.548867,-2.220618
40,0.731502,0.336385,-2.092537
41,0.303182,0.281315,-0.307529
42,0.025406,0.548455,1.594974
43,0.954589,0.145312,1.597747
44,0.888197,0.541222,1.284096
45,0.539178,0.360479,-1.167543
46,0.260334,0.271199,-0.281199
47,0.995865,0.750683,-1.114997
48,0.015625,0.060578,0.780908
49,0.725216,0.065492,0.792094
50,0.855222,0.294820,-0.401223
51,0.914443,0.821622,0.886955
52,0.204379,0.329534,1.438924
53,0.979843,0.798413,0.216470
54,0.524178,0.320211,-0.234513
55,0.007218,0.396536,0.834265
56,0.979522,0.060578,0.681937
57,0.625711,0.070863,-0.173833
58,0.563775,0.627710,0.875827
59,0.410163,0.739757,-0.388366
60,0.622583,0.047257,0.290326
61,0.501244,0.082734,1.837231
62,0.123369,0.229862,-0.643225
63,0.048569,0.452705,0.918954
64,0.284749,0.410117,-2.289241
65,0.540719,0.514366,-1.928553
66,0.450736,0.256779,-0.144569
67,0.596719,0.130770,0.815482
68,0.319661,0.322713,0.886289
69,0.717739,0.329747,-1.719153
70,0.262333,0.761135,-1.747414
71,0.657832,0.391638,0.250997
72,0.610666,0.423331,-1.291193
73,0.309545,0.287831,0.275497
74,0.360143,0.718456,1.070187
75,0.395148,0.469230,-1.392498
76,0.690242,0.304128,-1.595070
77,0.440421,0.668330,1.071865
78,0.246113,0.083833,1.965220
79,0.703273,0.713832,-0.860820
80,0.402716,0.860517,-2.281673
81,0.957748,0.360418,-2.044247
82,0.703731,0.542260,0.546527
83,0.838270,0.122469,-1.620534
84,0.687831,0.432288,-0.056042
85,0.206317,0.294316,1.045409
86,0.192340,0.999390,-2.382974
87,0.496513,0.530373,0.303425
88,0.457130,0.488701,0.306186
89,0.777386,0.436286,-1.802034
90,0.435645,0.268498,0.397378
91,0.823316,0.107881,-1.418272
92,0.159503,0.665370,-0.017204
93,0.184146,0.364279,0.179730
94,0.146502,0.409689,-2.618089
95,0.483558,0.592782,-1.259430
96,0.632181,0.092195,0.355115
97,0.472709,0.445533,0.811514
98,0.272724,0.852338,-0.273477
99,0.593469,0.197864,1.049981
100,0.790845,0.397436,-0.707189
101,0.517784,0.371847,0.170127
102,0.031174,0.048844,0.326351
103,0.404837,0.776654,-0.698890
104,0.749569,0.272129,-0.017972
105,0.921798,0.847578,-0.428813
106,0.653376,0.549462,0.243250
107,0.439216,0.630503,0.544544
108,0.408789,0.520546,-1.554671
109,0.529213,0.722606,-1.902733
110,0.134585,0.206332,-0.683620
111,0.569848,0.213474,0.936311
112,0.551156,0.073533,-0.023095
113,0.374685,0.303319,1.872534
114,0.790646,0.294133,0.888285
115,0.063203,0.413703,0.699450
116,0.992889,0.896162,-0.050134
117,0.809537,0.827146,-0.082838
118,0.604669,0.888258,-1.059365
119,0.045838,0.163653,-0.649692
120,0.005432,0.478462,-0.050574
121,0.691554,0.995880,0.958879
122,0.211719,0.387289,2.164642
123,0.622354,0.666133,-0.964161
124,0.947601,0.285740,1.792940
125,0.025132,0.007202,-1.381630
126,0.623209,0.261280,0.447787
127,0.217411,0.661738,-1.244195
128,0.902266,0.446586,1.786052
129,0.216892,0.101472,2.488541
130,0.021714,0.977768,1.721156
131,0.532586,0.650523,-0.015359
132,0.507317,0.181628,-0.441308
133,0.383902,0.262364,1.681936
134,0.899550,0.429465,0.820530
135,0.008240,0.505745,0.549544
136,0.891768,0.934768,-0.517471
137,0.624857,0.024262,1.350776
138,0.671794,0.994781,0.269170
139,0.317830,0.530114,-2.537974
140,0.998108,0.676265,0.979765
141,0.849424,0.201663,-0.144888
142,0.151705,0.074739,0.545311
143,0.776486,0.831235,-1.256952
144,0.952407,0.208133,3.405658
145,0.788540,0.811475,-0.268100
146,0.884520,0.276646,-1.103413
147,0.882856,0.183185,0.996927
148,0.615351,0.824872,1.617725
149,0.944701,0.168627,2.894027
150,0.594537,0.483268,-0.853174
151,0.640726,0.231662,2.184763
152,0.723400,0.132525,1.339593
153,0.059205,0.760769,-1.093012
154,0.552605,0.949569,-1.615517
155,0.011872,0.335119,1.838850
156,0.948608,0.717418,0.157019
157,0.596826,0.226886,0.428839
158,0.280293,0.096635,1.866415
159,0.986877,0.138857,2.033853
160,0.343374,0.298512,1.110587
161,0.422705,0.719158,-0.686066
162,0.947311,0.864225,-1.200334
163,0.663188,0.125719,-0.021578
164,0.161318,0.783337,1.464464
165,0.909529,0.280491,0.248649
166,0.377127,0.715419,0.995085
167,0.069688,0.790585,-0.888345
168,0.222232,0.605600,-2.335296
169,0.198627,0.401724,0.558689
170,0.287739,0.349416,-0.065786
171,0.726802,0.296178,-1.468204
172,0.308461,0.939300,-1.637776
173,0.304707,0.859129,-0.434240
174,0.771160,0.128664,0.809932
175,0.621668,0.948150,0.351112
176,0.112734,0.854398,0.283205
177,0.379629,0.704524,1.306362
178,0.530877,0.131212,-1.228646
179,0.224125,0.565835,-1.629669
180,0.698299,0.668696,-0.552300
181,0.051148,0.137621,-0.561418
182,0.217380,0.868376,0.092699
183,0.640757,0.928496,1.217768
184,0.755169,0.879255,-1.449252
185,0.263828,0.581445,-1.062163
186,0.109346,0.525292,0.667422
187,0.035111,0.214786,-0.850780
188,0.232578,0.983444,-1.866485
189,0.937621,0.301244,0.966311
190,0.383276,0.302312,2.021764
191,0.356649,0.831373,-0.254273
192,0.679423,0.816526,0.936054
193,0.889189,0.964569,-0.385353
194,0.812741,0.540795,-0.465401
195,0.068544,0.703349,-1.072553
196,0.762676,0.359487,-0.423245
197,0.712749,0.496452,0.739626
198,0.882261,0.981704,-0.441284
199,0.675425,0.628107,-1.191269
200,0.668269,0.721813,-1.722961
201,0.363394,0.262623,1.626725
202,0.258717,0.337255,0.422473
203,0.071885,0.643320,0.901896
204,0.391272,0.826551,-2.631899
205,0.898741,0.138460,-0.221644
