,x,y,z_pred
0,0.327657,0.632685,1.113333
1,0.104860,0.368505,-0.758570
2,0.887755,0.907210,-0.131418
3,0.695155,0.342397,-1.043511
4,0.923369,0.781369,1.405026
5,0.851408,0.413855,-0.258372
6,0.448631,0.351537,-0.145544
7,0.367330,0.372381,-0.719357
8,0.844404,0.638880,-0.692091
9,0.845441,0.995453,0.195677
10,0.373175,0.933745,0.883059
11,0.856153,0.347112,0.569586
12,0.782544,0.563867,0.322091
13,0.478645,0.947112,1.188353
14,0.762844,0.604318,-2.024629
15,0.309438,0.269703,-0.261756
16,0.523613,0.993332,-0.127575
17,0.753765,0.469184,0.415498
18,0.060731,0.540566,-0.129748
19,0.367803,0.339498,0.741831
20,0.430747,0.590204,-1.107204
21,0.070878,0.440345,0.291965
22,0.152880,0.163851,-0.294762
23,0.398505,0.087785,2.097073
24,0.132448,0.955154,-1.837416
25,0.613611,0.950622,0.014725
26,0.617243,0.477226,-0.930835
27,0.410712,0.133867,1.368513
28,0.143114,0.965652,-1.428712
29,0.626444,0.031342,0.426993
30,0.699809,0.586709,-0.517133
31,0.729168,0.063737,-0.045073
32,0.521492,0.252613,2.586822
33,0.583688,0.614527,1.039121
34,0.155596,0.037797,0.497656
35,0.915663,0.048554,0.465655
36,0.212741,0.254292,2.081484
37,0.103166,0.661295,-0.890467
38,0.027436,0.151202,-0.170536
39,0.526650,0.916411,-0.444140
40,0.210224,0.549737,-1.200580
41,0.639475,0.860594,0.483779
42,0.927871,0.145510,1.549401
43,0.984802,0.119829,1.777087
44,0.235569,0.808621,-0.338077
45,0.198322,0.445304,-0.084638
46,0.802106,0.195834,0.724890
47,0.270497,0.558877,-0.282476
48,0.846342,0.465644,-1.767653
49,0.208209,0.884245,-0.053976
50,0.340688,0.037873,0.105301
51,0.594263,0.855329,-1.746326
52,0.112902,0.747524,0.339045
53,0.918532,0.142611,0.736632
54,0.731731,0.949187,0.810396
55,0.262409,0.454124,-0.934998
56,0.723629,0.099855,-0.492264
57,0.832670,0.212314,-0.138349
58,0.700298,0.931563,0.143435
59,0.738705,0.607858,-2.594466
60,0.841688,0.296300,-0.030007
61,0.434730,0.795438,-0.727861
62,0.157168,0.203616,0.591318
63,0.016846,0.379568,1.164127
64,0.040742,0.400443,0.884312
65,0.616205,0.268681,0.114106
66,0.532113,0.704616,-2.145556
67,0.141253,0.213138,-1.106899
68,0.445151,0.246113,0.063149
69,0.137224,0.089555,0.371052
70,0.759167,0.309758,-0.128149
71,0.532540,0.119432,-1.107080
72,0.982269,0.664759,0.992392
73,0.442527,0.698848,-0.278383
74,0.663493,0.414252,0.507590
75,0.201862,0.385245,1.557475
76,0.488655,0.743420,-0.988744
77,0.320287,0.637537,1.052277
78,0.246738,0.088350,1.969451
79,0.113802,0.228534,-0.620863
80,0.642679,0.088670,-0.622080
81,0.895323,0.428550,0.895117
82,0.034379,0.352392,0.736651
83,0.145617,0.764324,0.731829
84,0.066361,0.940703,-0.835497
85,0.504631,0.544320,-0.356303
86,0.255573,0.774731,-2.269811
87,0.638224,0.555337,-0.682392
88,0.695399,0.929747,0.272320
89,0.473594,0.680125,-1.058789
90,0.149554,0.665126,-0.317234
91,0.993408,0.202686,-0.658564
92,0.810422,0.102861,-0.707445
93,0.718517,0.425849,-0.172472
94,0.931289,0.540429,2.446629
95,0.495384,0.637522,0.552568
96,0.080125,0.753567,-0.289123
97,0.485222,0.689265,-1.249988
98,0.139513,0.423728,-2.917133
99,0.918303,0.190570,3.014142
100,0.433509,0.581338,-1.679038
101,0.502770,0.380316,1.487170
102,0.174624,0.436469,-0.698946
103,0.930098,0.251865,2.070785
104,0.801709,0.678569,-1.029641
105,0.394751,0.091264,1.820835
106,0.526879,0.693568,-1.650572
107,0.808103,0.435798,-1.655596
108,0.280262,0.246204,-0.491940
109,0.261769,0.801678,-0.517906
110,0.677409,0.326238,-2.367975
111,0.562860,0.319860,-0.197492
112,0.284352,0.048356,0.712537
113,0.468330,0.349355,1.329558
114,0.824491,0.627314,0.412166
115,0.052293,0.944900,0.564128
116,0.502281,0.698497,-1.720109
117,0.088594,0.653376,0.027574
118,0.706676,0.444541,0.580457
119,0.476631,0.847700,-0.465303
120,0.825727,0.889586,0.210199
121,0.715251,0.657511,-1.089672
122,0.562524,0.889235,-0.070927
123,0.620615,0.244526,-0.227958
124,0.367880,0.448188,-2.163520
125,0.498756,0.928161,0.579703
126,0.344686,0.939712,-0.132102
127,0.176425,0.943206,-0.317546
128,0.988693,0.134096,2.176103
129,0.006165,0.462364,0.494453
130,0.149218,0.255604,-0.517496
131,0.706615,0.553597,-0.059949
132,0.677226,0.903105,-0.350864
133,0.112810,0.147356,-0.137901
134,0.008728,0.105684,2.165923
135,0.747646,0.528145,-0.835322
136,0.981460,0.508675,0.958223
137,0.891279,0.569223,1.252734
138,0.384894,0.478660,-1.160326
139,0.777615,0.813230,-0.314922
140,0.103807,0.218402,-0.479439
141,0.918593,0.352712,-1.162953
142,0.327489,0.235264,0.873999
143,0.145739,0.577432,-0.364387
144,0.037201,0.510719,0.932613
145,0.147127,0.467262,-1.926342
146,0.311131,0.279850,0.021206
147,0.531472,0.207156,0.769916
148,0.117388,0.638483,-0.588484
149,0.874784,0.268833,-1.546240
150,0.882429,0.514824,1.977409
151,0.059297,0.586603,2.248345
152,0.048249,0.303502,0.184930
153,0.448798,0.894118,1.214306
154,0.057771,0.763363,-0.981339
155,0.673365,0.137423,-1.416873
156,0.823270,0.461357,-1.094714
157,0.825116,0.244846,-0.039234
158,0.641794,0.656413,-0.446417
159,0.045411,0.960311,0.550596
160,0.508675,0.769207,0.898133
161,0.089799,0.948363,-1.865469
162,0.006806,0.338613,1.514103
163,0.638697,0.683589,-0.882275
164,0.630838,0.738552,-1.057487
165,0.885695,0.393713,-0.247165
166,0.036652,0.308766,0.451846
167,0.120287,0.874739,-0.137172
168,0.792584,0.068772,0.144901
169,0.003189,0.872847,0.058861
170,0.377111,0.582254,0.112280
171,0.234302,0.272847,0.095485
172,0.611215,0.951217,-0.271864
173,0.441611,0.903120,1.388438
174,0.336599,0.261372,1.848049
175,0.579294,0.490196,-1.159730
176,0.475410,0.883757,1.211108
177,0.369299,0.338277,0.857883
178,0.244800,0.615625,-3.545706
179,0.655848,0.109590,-0.356367
180,0.931243,0.344732,-2.167484
181,0.889891,0.138231,-0.131806
182,0.041398,0.002213,0.274468
183,0.236606,0.594537,-2.518688
184,0.588800,0.944182,-0.352152
185,0.372656,0.468223,-1.413912
186,0.131472,0.824720,-0.694530
187,0.668528,0.324453,-3.122781
188,0.575113,0.389593,-0.341321
189,0.750698,0.369787,-1.083161
190,0.522438,0.855344,-0.380447
191,0.595682,0.126360,0.602628
192,0.696803,0.991775,0.879122
193,0.475456,0.080247,3.277319
194,0.165194,0.257496,-1.602652
195,0.010712,0.015839,-2.801156
196,0.056153,0.785519,-1.196444
197,0.778592,0.442176,-1.040029
198,0.281407,0.015183,1.602391
199,0.686778,0.555276,0.419705
200,0.627604,0.989654,-0.486192
201,0.542138,0.703456,-1.823618
202,0.743252,0.493111,-0.618001
203,0.099199,0.004822,0.683896
204,0.207523,0.607782,-1.921385
205,0.798657,0.367529,-0.447914
206,0.732784,0.037461,0.165682
207,0.675868,0.047333,-1.249982
208,0.808637,0.378408,-0.556193
209,0.462852,0.731304,-2.431956
210,0.952270,0.161425,2.209535
211,0.020676,0.277424,1.096443
212,0.696223,0.668544,-0.465002
213,0.556146,0.711437,-1.342796
214,0.546578,0.173678,-0.056388
215,0.263340,0.934432,-0.538942
216,0.992218,0.601572,0.144817
217,0.216312,0.277363,1.085606
218,0.805814,0.794675,0.812034
219,0.554894,0.054566,0.038189
220,0.317327,0.350118,-0.016418
221,0.814588,0.600351,0.482870
222,0.900237,0.130617,-0.144377
223,0.206897,0.130632,-0.031443
224,0.767788,0.897108,-0.274054
225,0.611353,0.110826,0.695168
226,0.349798,0.842374,-0.273662
227,0.333654,0.630579,1.062997
228,0.228199,0.741329,-0.015353
229,0.696422,0.870161,0.175105
230,0.893400,0.201526,2.221206
231,0.892103,0.474891,0.743052
232,0.268849,0.827192,0.032981
233,0.498680,0.735134,-0.524899
234,0.760494,0.177554,0.446664
235,0.344854,0.409857,-3.189186
236,0.663325,0.795361,0.718399
237,0.788739,0.264317,1.770091
238,0.764508,0.046281,-0.688941
239,0.940688,0.154726,2.767127
240,0.608637,0.788830,1.314419
241,0.995804,0.485420,1.119235
242,0.767712,0.757137,-0.715773
243,0.246891,0.950820,0.272026
244,0.552255,0.213184,1.361015
245,0.320195,0.377295,-0.781265
246,0.202548,0.332158,1.536533
247,0.895827,0.772595,0.841214
248,0.576333,0.748104,-0.688013
249,0.811872,0.181827,-0.020450
250,0.460121,0.269474,-0.955255
251,0.835645,0.501411,0.185422
252,0.930419,0.952377,-2.396219
253,0.570550,0.334432,-0.767547
254,0.634379,0.581369,0.292017
255,0.897337,0.853529,1.649597
256,0.805661,0.422278,-1.131333
257,0.834607,0.414633,-0.190879
258,0.090639,0.002808,0.946820
259,0.773663,0.741863,-2.521283
260,0.608606,0.259495,-0.511470
261,0.447807,0.992676,-1.444628
262,0.865751,0.128801,-1.701951
263,0.732830,0.750301,-0.315646
264,0.172854,0.203876,1.132828
265,0.119783,0.595239,-1.176896
266,0.786435,0.799466,0.247249
267,0.685161,0.025818,0.560793
268,0.326528,0.215732,0.442094
269,0.614389,0.025452,0.874092
270,0.816556,0.349386,1.125061
271,0.229633,0.852140,0.694094
272,0.349737,0.573617,-0.835669
273,0.056107,0.172427,0.585287
274,0.084749,0.026551,0.421214
275,0.213718,0.983429,-1.428494
276,0.679469,0.465278,0.473133
277,0.320897,0.519249,-1.758172
278,0.112261,0.853849,0.357098
279,0.268391,0.457252,-1.266860
280,0.370489,0.997116,-0.649716
281,0.041489,0.988586,1.045274
282,0.968093,0.637293,0.275012
283,0.287572,0.960739,-0.782968
284,0.983688,0.741192,-0.952616
285,0.094636,0.827543,-0.312657
286,0.253758,0.156603,0.750377
287,0.787625,0.173159,1.648390
288,0.648463,0.997147,-0.539240
289,0.232502,0.350469,1.421371
290,0.337789,0.357168,-1.136669
291,0.771771,0.002533,-0.843864
292,0.792630,0.569436,-0.066019
293,0.910689,0.232120,1.528734
294,0.492393,0.261585,1.556251
295,0.368551,0.301228,1.800672
296,0.056168,0.354147,0.418900
297,0.769650,0.884428,-0.312830
298,0.542275,0.135134,-1.690581
299,0.804761,0.463722,-0.682480
300,0.412787,0.053346,2.328500
301,0.191821,0.685389,-0.401976
302,0.885298,0.766125,-0.257603
303,0.391867,0.747280,0.546844
304,0.566506,0.582116,-0.152616
305,0.066880,0.425879,0.218728
306,0.684474,0.197482,1.055668
307,0.317494,0.303349,0.428279
308,0.179278,0.948562,-0.512504
309,0.641749,0.501228,-0.715036
310,0.253559,0.244327,1.339185
311,0.445792,0.098497,4.827213
312,0.043183,0.091691,0.825341
313,0.638865,0.926665,1.539980
314,0.893690,0.857115,1.836262
315,0.671153,0.241749,0.991775
316,0.246784,0.738735,0.133690
317,0.191241,0.863508,1.124814
318,0.816281,0.429541,-1.460771
319,0.891112,0.495323,1.306561
320,0.267872,0.967300,-0.568064
321,0.960754,0.448356,-0.182813
322,0.009155,0.797589,-1.420380
323,0.140566,0.659876,-0.684204
324,0.213397,0.997726,-0.884936
325,0.240497,0.851728,0.588960
326,0.211658,0.172335,2.423380
327,0.651637,0.276783,0.436290
328,0.492271,0.739437,-0.869168
329,0.051225,0.962570,-0.359549
330,0.265904,0.786145,-1.911859
331,0.107271,0.954849,-2.359439
332,0.251621,0.399374,1.127775
333,0.147692,0.805341,1.626993
334,0.235126,0.393881,1.609669
335,0.442771,0.156130,1.829423
336,0.049226,0.452720,1.008386
337,0.550454,0.448798,0.469927
338,0.477760,0.024384,-0.125343
339,0.787655,0.258579,1.990566
340,0.164141,0.461280,-2.115325
341,0.509285,0.769451,0.892080
342,0.486183,0.009842,-0.481284
343,0.057572,0.245304,-1.240945
344,0.665446,0.670420,0.039779
345,0.084306,0.825422,-0.248217
346,0.243259,0.747189,-0.326635
347,0.906462,0.167727,1.122289
348,0.530098,0.249851,2.580591
349,0.872313,0.708629,-2.588446
350,0.226658,0.882856,-0.689303
351,0.909239,0.595331,0.436335
352,0.764675,0.232166,1.204747
353,0.736217,0.185611,0.532294
354,0.619532,0.314900,-2.077892
355,0.189456,0.027481,1.098861
356,0.711254,0.608270,-1.891388
357,0.743725,0.523384,-0.914464
358,0.543191,0.019287,-0.626579
359,0.717800,0.357153,-1.394382
360,0.737530,0.496880,-0.751529
361,0.533761,0.596735,2.073315
362,0.665263,0.796216,0.733863
363,0.873686,0.426444,-0.087350
364,0.698863,0.346288,-1.003713
365,0.200809,0.439155,-0.268497
366,0.263722,0.235843,0.991355
367,0.248280,0.263447,0.508220
368,0.574701,0.464500,-1.279383
369,0.573892,0.907500,-0.032109
370,0.584360,0.468803,-1.061854
371,0.603403,0.465431,-0.779416
372,0.572885,0.683436,-1.457126
373,0.218540,0.237842,1.835553
374,0.182666,0.900313,0.170832
375,0.120394,0.188678,-0.326911
376,0.181735,0.683528,0.302787
377,0.389746,0.409247,-1.389942
378,0.709483,0.511543,0.249067
379,0.305119,0.048463,0.936465
380,0.599359,0.907668,0.277712
381,0.802609,0.338125,2.092386
382,0.084596,0.121889,-0.891658
383,0.667887,0.020356,0.271648
384,0.477653,0.216831,-1.034350
385,0.458457,0.102174,4.064878
386,0.799191,0.816770,0.023909
387,0.865629,0.186313,0.228399
388,0.830442,0.446174,-1.571782
389,0.292531,0.352361,-0.171525
390,0.359670,0.581247,-0.488269
391,0.416815,0.928298,-0.911032
392,0.726253,0.579873,-1.316891
393,0.142214,0.264256,-0.219736
394,0.389471,0.114244,1.595420
395,0.173617,0.497673,0.331899
396,0.818433,0.404273,-0.192265
397,0.727138,0.240635,-0.021476
398,0.889448,0.877882,0.751776
399,0.381857,0.841245,-1.599241
400,0.315846,0.003265,1.674136
401,0.058412,0.252277,-0.942091
402,0.856825,0.838392,0.638330
403,0.936599,0.556542,2.627099
404,0.843275,0.034134,1.375332
405,0.496666,0.742748,-0.477893
406,0.578332,0.474693,-1.006792
407,0.289601,0.771359,-0.877841
408,0.183719,0.939666,-0.447750
409,0.278691,0.310674,-0.933876
410,0.765316,0.192508,0.193514
411,0.255390,0.651133,-2.722227
412,0.009598,0.290669,1.398500
413,0.158267,0.876402,0.026979
414,0.158648,0.958892,-0.996110
415,0.812711,0.652186,-0.244092
416,0.622599,0.296574,-1.459040
417,0.045808,0.786511,-1.143315
418,0.338857,0.333227,0.341255
419,0.163653,0.980880,-1.904175
420,0.233326,0.767330,-0.994138
421,0.300298,0.650782,-0.096229
422,0.174365,0.193820,1.500810
423,0.098360,0.344610,-0.467610
424,0.530755,0.851774,-0.126098
425,0.880827,0.289586,-0.803968
426,0.696880,0.423560,-0.565611
427,0.087694,0.068894,-1.723920
428,0.411719,0.564706,-1.470512
429,0.588876,0.431601,-1.608751
430,0.622232,0.850324,0.012790
431,0.078614,0.784421,-0.840639
432,0.081575,0.836439,0.543402
433,0.993835,0.567590,0.227706
434,0.902739,0.359289,-0.772435
435,0.649516,0.609262,0.284412
436,0.977417,0.330449,-2.015584
437,0.379370,0.754604,0.544174
438,0.967468,0.314748,-1.258890
439,0.939574,0.858579,-1.121087
440,0.391547,0.850752,-1.625526
441,0.477623,0.083314,3.073775
442,0.231174,0.721614,0.378300
443,0.985763,0.892485,0.460204
444,0.716243,0.214649,0.649216
445,0.204242,0.412757,0.281553
446,0.888624,0.615473,-0.620236
447,0.046387,0.621424,0.944639
448,0.180148,0.420737,-0.730020
449,0.824430,0.748623,-1.421444
450,0.351888,0.289357,0.673396
451,0.914397,0.066804,0.792237
452,0.893858,0.275578,-0.839999
453,0.053681,0.164874,-0.290476
454,0.415869,0.561410,-1.367234
455,0.917418,0.115572,-1.276065
456,0.456565,0.808118,-0.300386
457,0.917586,0.516777,0.057986
458,0.139452,0.546441,-1.467016
459,0.448493,0.230838,-0.173071
460,0.388510,0.468711,-1.507444
461,0.559762,0.397360,-0.053817
462,0.469200,0.966125,0.627123
463,0.341299,0.833478,-0.165108
464,0.495369,0.479530,0.890570
465,0.398138,0.321538,0.443656
466,0.859342,0.423270,-0.986247
467,0.075364,0.640253,0.672507
468,0.064790,0.402564,0.299028
469,0.534813,0.605493,1.800523
470,0.119219,0.449592,-2.225883
471,0.248173,0.404349,0.994192
472,0.731655,0.286732,-1.076988
473,0.525826,0.842405,-0.900499
474,0.757809,0.265232,0.918056
475,0.216190,0.367422,2.511985
476,0.796353,0.816358,-0.026881
477,0.263218,0.141527,-0.095083
478,0.831846,0.726268,-2.146968
479,0.070405,0.831159,0.358223
480,0.907362,0.753536,0.778268
481,0.949859,0.711238,0.037203
482,0.581888,0.711788,-0.286697
483,0.514214,0.413153,0.024937
484,0.645884,0.233783,1.569421
485,0.526589,0.270192,2.586177
486,0.330114,0.530694,-1.647152
487,0.877363,0.583780,0.730048
488,0.387213,0.303456,1.458874
489,0.706798,0.855238,-0.652437
490,0.864775,0.871214,1.151465
491,0.031647,0.442451,1.615314
492,0.779431,0.008133,-0.878852
493,0.359426,0.835492,-0.522877
494,0.562692,0.685359,-1.547432
495,0.021836,0.182666,0.783030
496,0.363851,0.945403,0.718000
497,0.588342,0.102434,-0.853334
498,0.387182,0.923857,-0.298250
499,0.990341,0.314733,-0.473580
500,0.776196,0.643153,-2.584354
501,0.493828,0.385657,1.721695
502,0.322103,0.995514,-1.745846
503,0.379583,0.445594,-2.200613
504,0.845289,0.775494,-0.766506
505,0.952163,0.909606,0.203374
506,0.380133,0.621378,1.128163
507,0.028168,0.105669,1.902966
508,0.683833,0.000610,1.358061
509,0.781643,0.325292,0.825009
510,0.163500,0.624643,-1.065350
511,0.255299,0.423178,-0.776137
512,0.821164,0.032486,0.688086
513,0.771710,0.078660,-0.321722
514,0.806424,0.361639,0.111300
515,0.173480,0.353765,-0.111242
516,0.142473,0.523278,-0.407683
517,0.987640,0.561349,0.310907
518,0.516732,0.136751,-1.158086
519,0.015457,0.736843,-1.574834
520,0.439551,0.924514,0.975777
521,0.380346,0.391562,-1.257299
522,0.087251,0.755138,-0.034415
523,0.937560,0.730831,-0.792516
524,0.623224,0.512764,-0.453557
525,0.537545,0.482841,1.221499
526,0.618585,0.013230,0.403355
527,0.243473,0.168246,1.601917
528,0.019638,0.522377,0.807739
529,0.728191,0.732174,-0.191323
530,0.720851,0.547112,-0.899143
531,0.799817,0.147433,0.500846
532,0.181262,0.141222,-0.127958
533,0.079744,0.541344,0.045743
534,0.540139,0.382605,0.083543
535,0.786526,0.524666,-0.643980
536,0.951293,0.458350,0.030154
537,0.773632,0.555871,0.209403
538,0.072251,0.253620,0.504727
539,0.479133,0.505226,2.046706
540,0.583841,0.063798,-0.172577
541,0.212787,0.372717,2.356385
542,0.454520,0.739757,-1.945417
543,0.216342,0.118486,1.301892
544,0.965164,0.201480,2.196405
545,0.071275,0.339498,0.386091
546,0.025727,0.939467,2.832981
547,0.460395,0.762341,-0.847605
548,0.309255,0.957519,-1.795776
549,0.613397,0.619104,1.092369
550,0.473289,0.481544,0.729984
551,0.404456,0.135256,0.946615
552,0.849866,0.551507,0.473083
553,0.252659,0.873365,-0.747583
554,0.965606,0.110292,0.471319
555,0.353475,0.572427,-0.607602
556,0.717189,0.967376,1.259091
557,0.557855,0.478294,0.128145
558,0.611261,0.790845,1.442691
559,0.745663,0.462196,0.624453
560,0.266484,0.492134,-1.797072
561,0.219287,0.849729,0.607340
562,0.328557,0.680735,1.941399
563,0.613413,0.956146,-0.431492
564,0.327306,0.099657,0.703013
565,0.858274,0.598672,-0.285426
566,0.350729,0.991653,-1.501476
567,0.100877,0.368704,-0.459714
568,0.131106,0.796155,1.588251
569,0.769604,0.262226,1.340788
570,0.598276,0.770871,0.411738
571,0.355703,0.892607,0.007172
572,0.099474,0.128862,-0.901031
573,0.090333,0.508263,-0.201034
574,0.826413,0.789792,0.287337
575,0.236744,0.923110,-0.468145
576,0.713878,0.285695,-0.523087
577,0.317708,0.744808,0.102843
578,0.585183,0.318578,-0.316473
579,0.874128,0.784878,-1.130281
580,0.940810,0.247700,2.730163
581,0.366278,0.072374,1.983836
582,0.624445,0.434607,-0.518466
583,0.343145,0.281544,0.707431
584,0.830564,0.888136,0.082725
585,0.368887,0.586633,0.115188
586,0.318349,0.129427,-0.501249
587,0.030838,0.284321,0.292176
588,0.776349,0.514366,-0.974210
589,0.753262,0.416709,-1.046509
590,0.308186,0.246326,-0.453910
591,0.897414,0.664286,-1.233866
592,0.330846,0.204608,-0.884965
593,0.600427,0.584253,-0.165705
594,0.522774,0.625391,0.880098
595,0.226139,0.128878,0.942867
596,0.457542,0.581613,-1.743039
597,0.119692,0.617609,-0.607737
598,0.716793,0.347250,-1.402847
599,0.353445,0.469398,-1.918409
600,0.747250,0.540719,-1.076516
601,0.437186,0.187213,1.113102
602,0.445624,0.086793,4.906609
603,0.539864,0.119875,-1.287653
604,0.348333,0.740429,0.628263
605,0.257740,0.910735,-1.000185
606,0.507591,0.612802,0.422367
607,0.843397,0.591836,0.104552
608,0.892866,0.022385,-0.314480
609,0.988312,0.842359,-1.652195
610,0.710674,0.513741,0.008159
611,0.190890,0.553643,-1.531530
612,0.625879,0.401144,-0.377896
613,0.218326,0.452903,-1.250838
614,0.057740,0.681224,-0.406388
615,0.729213,0.256214,-0.093263
616,0.408438,0.519356,-1.221856
617,0.848585,0.778302,-0.854697
618,0.699458,0.183322,0.988028
619,0.636408,0.282261,-0.600893
620,0.610330,0.433448,-1.077717
621,0.995468,0.319875,-0.401001
622,0.565118,0.022095,1.421741
623,0.883238,0.140261,-0.970857
624,0.279622,0.497108,-2.296880
625,0.799542,0.742382,-2.568882
626,0.057786,0.357702,0.669515
627,0.087831,0.863325,0.141960
628,0.928557,0.242878,2.374267
629,0.007797,0.618463,-0.203458
630,0.340703,0.777508,0.399251
631,0.898146,0.857343,1.585788
632,0.481712,0.652247,0.706387
633,0.770459,0.396857,-0.637228
634,0.322576,0.414115,-1.970974
635,0.374502,0.377752,-1.061961
636,0.270176,0.309133,-0.915021
637,0.735134,0.676783,-1.507544
638,0.929595,0.696162,0.002084
639,0.897292,0.111620,-0.235885
640,0.736736,0.520409,-0.922318
641,0.112856,0.837186,0.078934
642,0.155261,0.943862,-0.563894
643,0.339879,0.289311,0.240147
644,0.178256,0.765545,0.692149
645,0.352300,0.159182,-2.607506
646,0.512703,0.429297,0.276958
647,0.284596,0.409369,-2.145083
648,0.794308,0.942428,0.169106
649,0.017441,0.634562,0.401313
650,0.690562,0.445502,0.361186
651,0.657664,0.256687,1.350250
652,0.131258,0.077211,1.034322
653,0.106218,0.557122,0.290377
654,0.273808,0.564645,-0.289560
655,0.967193,0.673167,1.578743
656,0.907530,0.182528,2.411922
657,0.195621,0.894606,0.189109
658,0.104356,0.527550,0.958089
659,0.200427,0.672282,-0.771968
660,0.241489,0.472419,-1.568971
661,0.264576,0.373602,0.381943
662,0.158648,0.507317,0.388525
663,0.434592,0.741787,-1.491910
664,0.905653,0.415824,0.487002
665,0.195560,0.725765,0.727811
666,0.010834,0.948775,2.446179
667,0.057710,0.077287,-0.676325
668,0.937774,0.157366,2.840959
669,0.040772,0.649241,-0.295650
670,0.189334,0.854551,0.761737
671,0.880415,0.804517,-0.307660
672,0.959701,0.918471,0.289686
673,0.047669,0.378820,1.720243
674,0.751125,0.879637,-1.352335
675,0.005356,0.816114,-0.464456
676,0.198489,0.224338,0.498391
677,0.059220,0.101884,-0.806268
678,0.126268,0.911681,-1.401111
679,0.788220,0.169436,1.602942
680,0.061540,0.028672,0.855550
681,0.731868,0.877241,-1.762279
682,0.157626,0.731487,0.735925
683,0.099779,0.724529,-0.679160
684,0.718181,0.467613,1.628381
685,0.776211,0.846738,-0.887047
686,0.623758,0.399359,-0.590929
687,0.478553,0.672755,-0.546094
688,0.473594,0.726116,-2.591388
689,0.132784,0.324788,-0.005082
690,0.973190,0.875303,-0.274900
691,0.118105,0.757504,0.896551
692,0.581842,0.507652,-1.179586
693,0.078264,0.531624,-0.378561
694,0.535668,0.020890,-1.076134
695,0.085344,0.296635,-0.029446
696,0.559258,0.847745,-0.483973
