,x,y,z_pred
0,0.325444,0.418250,-2.216751
1,0.039200,0.953109,2.223679
2,0.888701,0.002380,-0.574865
3,0.340642,0.563592,-0.957649
4,0.038224,0.574273,0.591186
5,0.103334,0.153826,0.558355
6,0.295674,0.935134,-1.502918
7,0.905562,0.640894,-1.300823
8,0.650584,0.296254,-1.921873
9,0.181277,0.290532,1.301612
10,0.137270,0.368704,-1.201685
11,0.064530,0.917815,1.308457
12,0.148486,0.540642,-1.384250
13,0.179217,0.783688,1.499589
14,0.217670,0.592721,-1.832653
15,0.760632,0.712123,-1.022019
16,0.020829,0.856428,-0.748629
17,0.609415,0.389334,-1.842546
18,0.302739,0.628397,-0.427636
19,0.861372,0.989776,-0.071633
20,0.889509,0.909102,-0.639190
21,0.951125,0.733318,-0.208076
22,0.536675,0.289891,0.624401
23,0.466682,0.485405,1.069824
24,0.388449,0.936431,-0.973078
25,0.817441,0.298787,0.198330
26,0.795483,0.418448,-1.379506
27,0.292576,0.235126,-0.472988
28,0.085496,0.205844,-0.602517
29,0.930419,0.052232,0.752108
30,0.704692,0.502220,0.798580
31,0.600641,0.127459,0.881918
32,0.830777,0.517830,0.213324
33,0.568338,0.939879,-0.905666
34,0.156771,0.943252,0.208670
35,0.869245,0.091615,-0.162491
36,0.794110,0.832364,-0.804836
37,0.702388,0.339620,-0.927686
38,0.215503,0.486748,-2.162730
39,0.952193,0.065339,0.278953
40,0.189670,0.928573,-0.325768
41,0.591363,0.542382,-1.358002
42,0.790448,0.586603,-0.053259
43,0.294163,0.320867,0.045500
44,0.064561,0.201648,0.201686
45,0.833722,0.180377,-0.363073
46,0.929732,0.687694,1.581392
47,0.805768,0.735760,-3.116678
48,0.425101,0.554788,-1.467301
49,0.891890,0.362829,-0.895943
50,0.921401,0.613718,0.254105
51,0.373465,0.530770,-2.207472
52,0.918151,0.064591,0.798467
53,0.217762,0.291295,0.144773
54,0.091279,0.824216,-0.540767
55,0.678523,0.782681,0.082480
56,0.854429,0.444739,-0.970737
57,0.730236,0.920409,0.447543
58,0.335180,0.822370,0.265203
59,0.062425,0.738506,-0.274572
60,0.555505,0.100343,-0.694265
61,0.071763,0.319493,-0.790928
