,x,y,z_pred
0,0.175525,0.267552,0.661190
1,0.184512,0.466285,-0.621336
2,0.558389,0.827298,-1.436793
3,0.782589,0.547845,-1.591332
4,0.876661,0.665171,-1.429157
5,0.993469,0.349477,-0.154879
6,0.810758,0.665888,-2.924873
7,0.202396,0.688167,-1.486424
8,0.235355,0.766766,-1.526103
9,0.288304,0.120455,1.462556
10,0.408804,0.697108,0.552607
11,0.641901,0.053254,1.309986
12,0.283879,0.749310,-1.266607
13,0.922408,0.270436,1.718548
14,0.659373,0.935409,-0.223616
15,0.796353,0.425406,-1.304238
16,0.623560,0.943191,-0.724706
17,0.486229,0.509239,0.466678
18,0.442176,0.813367,-0.875815
19,0.636316,0.224369,2.947508
20,0.897642,0.298268,1.182081
21,0.249424,0.591302,-1.883275
22,0.298878,0.350896,1.639764
23,0.850858,0.997406,0.445580
24,0.727825,0.217288,2.581939
25,0.899825,0.247608,1.074804
26,0.759579,0.880568,-1.377824
27,0.364187,0.642679,-1.424098
28,0.610330,0.471473,-0.913689
29,0.923217,0.755123,-1.499554
30,0.415366,0.386175,0.700125
31,0.138216,0.121721,-0.187672
32,0.350622,0.174746,0.945556
33,0.779370,0.786709,-2.528661
34,0.743343,0.662760,-2.832224
35,0.852766,0.506661,-1.557018
36,0.544640,0.405509,0.059176
37,0.129595,0.868544,-0.966973
38,0.536233,0.259831,2.123233
39,0.960769,0.742565,-0.357219
40,0.926223,0.048798,0.742328
41,0.797726,0.520378,-1.776346
42,0.929580,0.819867,-1.080484
43,0.587640,0.557824,-0.696482
44,0.680491,0.049622,1.306285
45,0.594293,0.816602,-1.230288
46,0.267842,0.485222,-0.814094
47,0.299107,0.250263,2.249760
48,0.762325,0.429603,-1.872617
49,0.573587,0.608316,-0.671298
50,0.261860,0.055238,0.419779
51,0.457282,0.966201,-0.714743
52,0.589563,0.195453,1.800338
53,0.991669,0.029206,-0.183928
54,0.315328,0.962585,-1.747937
55,0.679301,0.393194,-1.171483
56,0.153613,0.575814,-0.158043
57,0.330861,0.829389,-0.968022
58,0.976150,0.597375,0.622274
59,0.611231,0.600641,-0.690313
60,0.198444,0.845518,-0.763366
61,0.748409,0.801831,-1.799160
62,0.546761,0.536828,-0.142093
63,0.415137,0.625895,-0.990935
64,0.887343,0.607660,-0.473748
65,0.127169,0.740734,-1.052043
66,0.700481,0.421210,-1.759223
67,0.450752,0.449836,-0.173781
68,0.471595,0.265843,1.257227
69,0.468894,0.724178,-0.454207
70,0.773220,0.799802,-2.100027
71,0.895247,0.152590,-0.198802
72,0.786450,0.258869,1.902982
73,0.710536,0.820432,-0.926301
74,0.720546,0.988098,-0.168512
75,0.196429,0.584680,-1.128399
76,0.547326,0.704250,-1.113935
77,0.925490,0.902846,-1.236506
78,0.122469,0.635752,0.326936
79,0.568627,0.091646,1.349549
80,0.528756,0.508629,0.503347
81,0.137896,0.875578,-0.932209
82,0.918273,0.513619,-0.269231
83,0.942565,0.641886,0.547090
84,0.033600,0.451316,1.494127
85,0.469261,0.022232,2.007619
86,0.272145,0.032288,0.744413
87,0.830732,0.168460,0.201798
88,0.139208,0.011658,0.254549
89,0.861738,0.815122,-2.096679
90,0.748440,0.937881,-0.945015
91,0.132692,0.410239,0.021474
92,0.868391,0.634119,-1.126127
93,0.194797,0.119173,0.252885
94,0.767575,0.161334,1.509633
95,0.249393,0.996704,-2.053469
96,0.420218,0.486290,-0.920028
97,0.256504,0.634531,-2.701643
98,0.560220,0.550668,-0.366670
99,0.634730,0.089158,1.265825
100,0.493523,0.358129,0.840009
101,0.335653,0.805600,-0.836680
102,0.917800,0.263890,1.606091
103,0.760571,0.452720,-1.704269
104,0.292729,0.673533,-2.348858
105,0.662226,0.252216,3.253983
106,0.838163,0.571359,-1.330887
107,0.609308,0.333455,0.690057
108,0.194858,0.425437,0.291532
109,0.890303,0.164599,-0.092238
110,0.804623,0.401404,-0.638926
111,0.799420,0.847303,-1.754341
112,0.798291,0.711406,-3.530555
113,0.674540,0.168551,1.983087
114,0.272450,0.242222,2.664620
115,0.240269,0.925887,-1.217570
116,0.161685,0.952804,-1.745489
117,0.580835,0.969574,-1.307220
118,0.868223,0.641291,-1.205757
119,0.562737,0.563516,-0.486147
120,0.925322,0.741695,-1.325497
121,0.552575,0.669520,-1.019021
122,0.442206,0.124636,4.125470
123,0.158236,0.063767,-0.104302
124,0.835172,0.388418,0.396678
125,0.102586,0.906798,-1.121069
126,0.549462,0.393744,0.090331
127,0.216144,0.092836,0.362811
128,0.011231,0.167254,0.966919
129,0.846738,0.951537,-0.386319
130,0.122301,0.803464,-0.731718
131,0.567773,0.238376,2.261161
132,0.211872,0.877775,-0.631697
133,0.506111,0.906172,-0.691536
134,0.461738,0.600717,-1.562550
135,0.627436,0.075303,1.344681
136,0.681407,0.152667,1.764332
137,0.535622,0.474342,0.705061
138,0.870268,0.443153,-1.040228
139,0.146380,0.280735,0.513114
140,0.339498,0.643763,-1.913719
141,0.061250,0.099763,-0.750806
142,0.429740,0.018723,1.932129
143,0.837659,0.370108,0.927163
144,0.677165,0.772503,-1.944588
145,0.511376,0.080537,2.668562
146,0.835554,0.851225,-1.660594
147,0.290715,0.608545,-2.355003
148,0.958770,0.978561,-1.789472
149,0.128298,0.378363,0.438165
150,0.994522,0.044312,0.261259
151,0.896117,0.734249,-2.480092
152,0.375219,0.564218,-1.925320
153,0.199313,0.047440,0.234474
154,0.442481,0.575784,-1.505316
155,0.105379,0.169177,-0.026071
156,0.784558,0.054459,1.512588
157,0.870787,0.514199,-1.061835
158,0.347127,0.173114,0.973829
159,0.157244,0.417105,-0.315372
160,0.641245,0.682704,-1.436127
161,0.920195,0.729488,-1.371533
162,0.006287,0.592538,0.847639
163,0.867750,0.415686,-0.068933
164,0.702403,0.570184,-0.448446
165,0.577447,0.985443,-1.459347
166,0.347814,0.542382,-1.921841
167,0.722805,0.773785,-2.371161
168,0.932647,0.085573,0.519722
169,0.943221,0.692271,0.401626
170,0.635874,0.301610,1.434893
171,0.427695,0.126894,3.825106
172,0.170413,0.785153,-0.679311
173,0.016403,0.918593,-0.441011
174,0.485145,0.260456,1.345947
175,0.102861,0.630457,0.782523
176,0.378424,0.924636,-1.301906
177,0.791882,0.983841,0.430772
178,0.088258,0.291386,0.906192
179,0.418860,0.882582,-1.689198
180,0.740307,0.614343,-1.902565
181,0.254414,0.179751,1.999530
182,0.298375,0.737713,-1.054190
183,0.878599,0.191272,0.281154
184,0.435172,0.906706,-1.408197
185,0.257740,0.321569,1.813221
186,0.448829,0.447868,-0.208891
187,0.960143,0.728389,-0.077061
188,0.973632,0.511376,-0.366218
189,0.310582,0.056382,1.254034
190,0.665904,0.011185,1.218822
191,0.015610,0.827283,-1.531775
192,0.773327,0.248402,1.957104
193,0.302541,0.633341,-2.599597
194,0.731258,0.915541,-0.950183
195,0.827878,0.861189,-1.572057
196,0.125460,0.514702,0.075150
197,0.941665,0.488548,-0.311580
198,0.831235,0.638590,-1.992730
199,0.443793,0.003510,1.840483
200,0.891508,0.240177,0.876274
201,0.476799,0.416297,0.502465
202,0.176196,0.061662,0.064896
203,0.985489,0.510628,-0.395731
204,0.387716,0.104677,2.512933
205,0.199130,0.199145,0.753065
206,0.881788,0.248829,0.918285
207,0.931640,0.298253,1.771440
208,0.767559,0.250767,1.981365
209,0.637354,0.186694,2.266992
210,0.358404,0.255818,1.865691
211,0.258457,0.390143,1.723972
212,0.554604,0.333806,0.909715
213,0.405753,0.694560,0.501115
214,0.731838,0.373877,-1.368889
215,0.827131,0.772137,-3.119432
216,0.006226,0.813733,-1.504071
217,0.807736,0.414145,-0.920436
218,0.792630,0.542367,-1.657102
219,0.996735,0.314488,0.877557
220,0.647395,0.608164,-0.606278
221,0.685206,0.866651,-0.335164
222,0.601678,0.937865,-0.886152
223,0.838529,0.834546,-1.746599
224,0.995163,0.445563,-1.163907
225,0.836240,0.635859,-1.863125
226,0.671763,0.862409,-0.126953
227,0.980667,0.501762,-0.521481
228,0.787335,0.164233,1.247985
229,0.500328,0.514580,0.375414
230,0.080613,0.552300,1.452310
231,0.115404,0.634730,0.500595
232,0.137255,0.129747,-0.294236
233,0.390585,0.017807,1.507858
234,0.904387,0.242832,1.188927
235,0.012604,0.630411,1.137579
236,0.410346,0.358724,1.622077
237,0.233341,0.695171,-1.782762
238,0.391714,0.234180,1.586840
239,0.765850,0.436591,-1.828400
240,0.130388,0.280781,0.653022
241,0.870695,0.559854,-0.850103
242,0.009155,0.614755,0.960645
243,0.291630,0.214115,2.449209
244,0.471199,0.230640,1.673525
