,x,y,z_pred
0,0.302831,0.543633,-2.402249
1,0.586618,0.666560,-1.047393
2,0.779797,0.233448,1.871017
3,0.357885,0.108110,2.357080
4,0.979309,0.773556,-0.776177
5,0.439872,0.675731,0.271675
6,0.497475,0.256367,1.758423
7,0.706813,0.236347,2.195801
8,0.371511,0.693858,0.670071
9,0.110857,0.716884,-1.079851
10,0.753201,0.779294,-2.125710
11,0.090105,0.901183,-0.520901
12,0.894591,0.847684,-0.708140
13,0.034348,0.761822,-1.176519
14,0.074311,0.770138,-0.934040
15,0.767697,0.162417,1.254625
16,0.914900,0.844541,-0.687745
17,0.135378,0.512779,-0.196252
18,0.501411,0.132341,3.114226
19,0.197452,0.750835,-0.957715
20,0.710796,0.493797,-0.406250
21,0.646204,0.051438,0.895138
22,0.729625,0.380453,-1.462480
23,0.419318,0.744198,0.196588
24,0.093355,0.667475,-0.256137
25,0.152377,0.866682,-0.691842
26,0.631220,0.277211,2.492507
27,0.972778,0.168658,1.349677
28,0.853376,0.820386,-1.854895
29,0.295216,0.731258,-0.787874
30,0.534890,0.930648,-0.883862
31,0.128573,0.244587,0.190531
32,0.666651,0.278859,1.874915
33,0.564340,0.109346,1.109261
34,0.251194,0.386252,1.866566
35,0.867338,0.165332,-0.378550
36,0.340261,0.817777,-0.400688
37,0.475395,0.448402,0.558258
38,0.864790,0.455787,-1.298735
39,0.668818,0.214298,2.897139
40,0.383230,0.677867,0.473182
41,0.226719,0.425330,0.394038
42,0.568719,0.670451,-1.306710
43,0.340139,0.586770,-2.616231
44,0.397177,0.083314,3.014559
45,0.531121,0.492866,0.419889
46,0.461814,0.925826,-0.326479
47,0.891386,0.534371,0.014977
48,0.514153,0.558145,-0.667476
49,0.039689,0.171450,0.256318
50,0.843381,0.419684,-0.528298
51,0.311101,0.270710,1.901737
52,0.647608,0.966735,-0.353417
53,0.288624,0.914427,-1.210150
54,0.101457,0.755337,-0.867882
55,0.979095,0.366369,-0.458408
56,0.940337,0.233539,2.330463
57,0.990356,0.564874,0.571452
58,0.214176,0.850523,-0.728199
59,0.065644,0.455680,1.438874
60,0.757488,0.342748,-0.094982
61,0.250507,0.538720,-1.659856
62,0.384222,0.145785,1.854606
63,0.297444,0.047303,1.387532
64,0.242725,0.800626,-1.335581
65,0.309758,0.846693,-0.841692
66,0.028305,0.125856,0.095929
67,0.045777,0.199283,0.376478
68,0.632517,0.510445,-0.942562
69,0.054429,0.367468,1.445683
70,0.847791,0.404471,-0.178151
71,0.139361,0.433387,-0.888085
72,0.235233,0.628519,-2.485458
73,0.566217,0.074784,1.338632
74,0.720455,0.559609,-0.683791
75,0.575372,0.465675,-0.272308
76,0.952529,0.498558,-0.329561
77,0.091203,0.609445,1.259013
78,0.484611,0.476539,0.579698
79,0.548745,0.020279,0.730731
80,0.220691,0.397269,1.744560
81,0.110719,0.701808,-1.069921
82,0.151415,0.380224,0.186733
83,0.592798,0.178515,1.720044
84,0.641154,0.025132,1.145098
85,0.494362,0.805539,-1.052830
86,0.313222,0.601755,-2.637042
87,0.941665,0.310491,1.280787
88,0.221729,0.646311,-2.249158
89,0.182605,0.138430,0.065766
90,0.288334,0.718410,-0.912927
91,0.870344,0.522133,-0.288925
92,0.462318,0.664607,0.151598
93,0.604807,0.078630,1.275531
94,0.750378,0.447822,-1.061651
95,0.566873,0.115465,1.116255
96,0.314168,0.189197,1.533384
97,0.682841,0.196277,2.494566
98,0.655711,0.480888,-0.813875
99,0.150774,0.655680,-0.653697
100,0.755489,0.265583,1.743677
101,0.364691,0.923583,-1.017012
102,0.014374,0.120119,0.104630
103,0.721736,0.695232,-2.534329
