,x,y,z_pred
0,0.591150,0.830625,-0.703111
1,0.447196,0.680613,0.034435
2,0.230182,0.762142,-0.852554
3,0.711513,0.065446,0.783225
4,0.786893,0.932235,-0.166984
5,0.169299,0.211154,1.051243
6,0.817350,0.214328,1.127069
7,0.435508,0.885710,-1.115198
8,0.755718,0.299672,0.628334
9,0.871855,0.577111,0.759385
10,0.908782,0.216571,1.980546
11,0.944305,0.278828,2.043975
12,0.409232,0.538674,-2.216583
13,0.997864,0.701671,0.316460
14,0.338460,0.120531,1.850937
15,0.632456,0.060624,-0.151097
16,0.965499,0.950164,-1.593977
17,0.426459,0.399100,-0.185538
18,0.245197,0.022568,0.470142
19,0.274647,0.089723,2.097347
20,0.127749,0.780423,0.211354
21,0.361379,0.994415,-1.336602
22,0.954833,0.100664,-0.416356
23,0.343816,0.224384,1.616969
24,0.181598,0.621546,-1.026160
25,0.007218,0.188296,1.050160
26,0.761517,0.853895,-1.479983
27,0.122759,0.670451,-1.216338
28,0.104311,0.599344,0.554932
29,0.639567,0.562509,0.079078
30,0.820676,0.944213,-0.334874
31,0.026337,0.025284,-1.582103
32,0.588251,0.360830,0.230980
33,0.050294,0.758602,-1.068333
34,0.101213,0.245274,0.803432
35,0.878264,0.172229,0.547563
36,0.135256,0.065888,0.776984
37,0.188464,0.884306,0.163861
38,0.556252,0.976135,-1.836682
39,0.664744,0.661479,-0.717194
40,0.040650,0.528389,1.081778
41,0.611597,0.131441,1.351238
42,0.401099,0.226871,2.194507
43,0.005753,0.375219,1.491254
44,0.760815,0.978164,0.492219
45,0.456672,0.111131,4.272518
46,0.074876,0.115648,-1.374406
47,0.026474,0.169467,0.458710
48,0.719448,0.348852,-1.115796
49,0.188190,0.723507,-0.163032
50,0.451240,0.344167,1.786953
51,0.978576,0.665248,1.156865
52,0.564782,0.224750,1.851258
53,0.253681,0.084504,1.313930
54,0.393744,0.472160,-1.571029
55,0.158694,0.769558,-0.138959
56,0.699428,0.120287,0.685426
57,0.316258,0.268742,1.531730
58,0.167849,0.452186,-0.797670
59,0.499886,0.625360,-0.352924
60,0.568551,0.627329,-0.007529
61,0.817350,0.966796,1.056512
62,0.906218,0.585183,0.551564
63,0.897841,0.978882,-0.065417
64,0.326650,0.728161,0.253595
65,0.920455,0.063478,0.514967
66,0.847486,0.200244,0.239487
67,0.963592,0.865675,-0.804910
68,0.968338,0.518853,1.120664
69,0.652796,0.080598,-0.118125
70,0.642267,0.535729,-0.182780
71,0.959411,0.056428,-0.210488
72,0.611749,0.270268,1.851022
73,0.810407,0.648676,-1.508639
74,0.408637,0.423239,-0.747786
75,0.897749,0.129259,-0.021802
76,0.366506,0.298192,2.135675
77,0.269184,0.481666,-1.483401
78,0.999847,0.031830,1.531642
79,0.586633,0.480186,-0.139967
80,0.389624,0.625605,-0.185283
81,0.972778,0.193347,1.287524
