,x,y,z_pred
0,0.915816,0.878721,-2.513085
1,0.532311,0.960235,-1.699045
2,0.769207,0.681819,-2.052920
3,0.086748,0.447715,1.354798
4,0.894530,0.824842,-2.483308
5,0.985672,0.800519,-1.972402
6,0.056504,0.451209,1.587650
7,0.617258,0.529763,0.878012
8,0.242817,0.702800,-0.263614
9,0.746563,0.343877,1.912067
10,0.937652,0.880140,-2.415734
11,0.230732,0.098390,-0.346764
12,0.229236,0.514534,0.944703
13,0.326574,0.085466,0.563528
14,0.185534,0.192752,-0.025803
15,0.376318,0.152590,1.290767
16,0.169223,0.945876,-1.199064
17,0.008667,0.775158,0.562697
18,0.821607,0.494545,0.096395
19,0.887633,0.021790,2.134936
20,0.458595,0.991211,-1.637128
21,0.418784,0.608286,0.033036
22,0.346792,0.562646,0.081261
23,0.380346,0.123461,1.302128
24,0.229786,0.851530,-0.837330
25,0.328374,0.543511,0.337745
26,0.340627,0.677470,-0.156560
27,0.464775,0.896651,-1.310191
28,0.718242,0.129107,2.601058
29,0.114611,0.838865,-0.453410
30,0.166461,0.087663,-0.778167
31,0.618265,0.138491,2.434813
32,0.246555,0.669581,-0.196528
33,0.534279,0.552789,0.952695
34,0.549264,0.259693,2.933732
35,0.113649,0.624887,1.351783
36,0.434501,0.845182,-1.278250
37,0.626505,0.189792,2.818957
38,0.738796,0.026307,2.281523
39,0.643336,0.085725,2.301721
40,0.209445,0.622263,0.466079
41,0.450507,0.031510,1.926361
42,0.555718,0.931868,-1.577636
43,0.914626,0.743572,-2.009070
44,0.650263,0.759869,-1.767450
45,0.687266,0.750561,-2.151557
46,0.324346,0.640330,-0.331065
47,0.298848,0.583505,0.042474
48,0.135241,0.540764,1.297648
49,0.651469,0.857435,-1.675723
50,0.253574,0.909667,-1.229593
51,0.656474,0.009354,1.957917
52,0.984451,0.404364,0.561888
53,0.602335,0.228702,2.940554
54,0.012589,0.343450,1.072025
55,0.968322,0.825406,-1.930509
56,0.231235,0.942809,-1.203967
57,0.262150,0.349828,1.799605
58,0.271214,0.030793,-0.117826
59,0.666880,0.692317,-1.041188
60,0.296330,0.183597,0.972819
61,0.221576,0.314412,1.321295
62,0.570306,0.921157,-1.600173
63,0.475608,0.292348,2.542441
64,0.090700,0.428611,1.255894
65,0.616770,0.178576,2.671765
66,0.075547,0.739437,0.719222
67,0.627436,0.834241,-1.551781
68,0.620523,0.419486,1.472661
69,0.124407,0.404547,0.939650
70,0.902800,0.966293,-2.361713
71,0.565423,0.599817,0.635173
72,0.481224,0.841367,-1.142853
73,0.733440,0.826490,-2.382298
74,0.005249,0.849607,-0.419862
75,0.314626,0.735821,-0.385476
76,0.583215,0.745815,-0.849568
77,0.324666,0.489418,0.867520
78,0.137148,0.460212,0.982016
79,0.800702,0.012726,2.328158
80,0.464286,0.166415,2.771017
81,0.316625,0.147539,0.683122
82,0.629816,0.355337,2.136942
83,0.281468,0.050660,-0.027600
84,0.917617,0.563409,-0.026376
85,0.842847,0.523430,-0.250236
86,0.547524,0.424628,1.984355
87,0.188693,0.547463,0.944642
88,0.000809,0.346624,1.091682
89,0.478767,0.066636,2.528795
90,0.866514,0.118517,1.968315
91,0.249683,0.067796,-0.316174
92,0.111254,0.723308,0.542164
93,0.468101,0.410193,2.241527
94,0.278508,0.159243,0.679696
95,0.317449,0.965209,-1.712416
96,0.182300,0.421851,1.183132
97,0.116579,0.270192,0.178270
98,0.097276,0.767361,0.342185
99,0.457527,0.525826,1.069738
100,0.157351,0.382742,0.927143
101,0.455619,0.739467,-0.191691
102,0.792630,0.171359,2.494673
103,0.485710,0.401144,2.230259
104,0.215824,0.565393,0.657507
105,0.703792,0.654215,-0.881062
106,0.370886,0.066392,1.079314
107,0.787793,0.113222,2.352643
108,0.783108,0.726741,-2.793846
109,0.071687,0.950683,-0.735767
110,0.938476,0.271473,2.574192
111,0.694774,0.695857,-1.453048
112,0.581384,0.362264,2.258049
113,0.207294,0.913451,-1.039790
114,0.552804,0.039445,2.020186
115,0.264286,0.445228,1.557930
116,0.933379,0.480308,0.409456
117,0.827207,0.496437,0.018866
118,0.321141,0.543465,0.376181
119,0.902174,0.036240,2.042102
120,0.560662,0.489647,1.487117
121,0.480323,0.837781,-1.123817
122,0.044175,0.489754,1.728449
123,0.512200,0.684779,-0.137058
124,0.656886,0.622858,0.033265
125,0.845502,0.945373,-2.317530
126,0.097398,0.623331,1.507310
127,0.112810,0.024186,-1.252929
128,0.064469,0.361395,1.008474
129,0.954788,0.830838,-2.063800
130,0.059617,0.109728,-1.367738
131,0.646235,0.280873,3.206515
132,0.428702,0.614374,0.067772
133,0.285420,0.817411,-0.865946
134,0.834470,0.351675,2.381604
135,0.727642,0.996628,-1.959776
136,0.950332,0.477882,0.295422
137,0.810193,0.780331,-2.910389
138,0.559884,0.108721,2.345861
139,0.437156,0.114763,2.547164
140,0.340291,0.729244,-0.146412
141,0.105669,0.675441,1.025563
142,0.865766,0.942351,-2.380864
143,0.829450,0.522683,-0.215496
144,0.111360,0.481132,1.182255
145,0.402579,0.398718,2.007224
146,0.007370,0.321859,0.906363
147,0.034867,0.640345,1.881842
148,0.469612,0.151293,2.827895
149,0.651240,0.493156,1.073867
150,0.166323,0.970397,-1.362805
151,0.067109,0.253391,0.059644
152,0.758251,0.885496,-2.554865
153,0.786725,0.121172,2.338714
154,0.219867,0.713741,-0.162085
155,0.253254,0.176867,0.741648
156,0.657359,0.191745,2.973716
157,0.714778,0.773342,-2.405035
158,0.365743,0.759808,-0.155596
159,0.929686,0.945815,-2.502020
160,0.059846,0.145266,-1.050166
161,0.308675,0.428779,1.579575
162,0.506752,0.365164,2.265328
163,0.874449,0.334676,2.388800
164,0.465202,0.883589,-1.273980
165,0.002716,0.892790,-0.616121
166,0.076600,0.416419,1.319587
167,0.398184,0.430182,1.683715
168,0.208576,0.146792,-0.225396
169,0.775402,0.397238,1.278416
170,0.565545,0.379202,1.953445
171,0.426581,0.261463,2.464991
172,0.145266,0.251835,0.112967
173,0.664515,0.266423,3.254840
174,0.302251,0.222644,1.303300
175,0.973754,0.654658,-0.454751
176,0.752514,0.347753,1.896994
177,0.394812,0.793179,-0.598652
178,0.719570,0.288655,2.804226
179,0.653117,0.703349,-1.070876
180,0.956390,0.776837,-1.800338
181,0.660700,0.838239,-1.706327
182,0.415335,0.554711,0.413458
183,0.740795,0.880842,-2.534985
184,0.344549,0.395605,1.984282
185,0.899855,0.835218,-2.488687
186,0.339437,0.180865,1.039454
187,0.827619,0.157122,2.089427
188,0.864698,0.713664,-2.467137
189,0.980865,0.165743,1.977312
190,0.111742,0.348409,0.730277
191,0.494255,0.870787,-1.279076
192,0.513451,0.424643,2.002349
193,0.109194,0.440803,1.145215
194,0.993790,0.880781,-2.299006
195,0.946166,0.860349,-2.247089
196,0.404486,0.289540,2.440927
197,0.558495,0.286152,2.908398
198,0.406851,0.277821,2.420678
199,0.260548,0.137240,0.283697
200,0.046509,0.994659,-0.220456
201,0.730220,0.448600,0.794307
202,0.231128,0.768688,-0.712235
203,0.928710,0.492653,0.385947
204,0.203861,0.784665,-0.503822
205,0.934325,0.421698,0.953190
206,0.924437,0.142748,1.777913
207,0.613382,0.927352,-1.749097
208,0.221714,0.258228,1.112475
209,0.397345,0.507424,0.800672
210,0.270359,0.897765,-1.091634
211,0.775738,0.921614,-2.510423
212,0.752499,0.479881,0.571297
213,0.688624,0.154650,2.730649
214,0.742245,0.808301,-2.554607
215,0.226123,0.544732,0.744827
216,0.604807,0.089204,2.309149
217,0.290150,0.591760,0.004678
218,0.032609,0.373419,1.290944
219,0.791104,0.787671,-2.870241
220,0.519371,0.577539,0.661577
221,0.798688,0.747295,-2.936978
222,0.045518,0.914305,-0.571676
223,0.092592,0.454887,1.319460
224,0.746334,0.331228,2.179955
225,0.135332,0.841215,-0.549229
226,0.325872,0.197604,1.167694
227,0.741619,0.425589,0.930922
228,0.791516,0.674266,-1.947095
229,0.475151,0.054139,2.348459
230,0.108324,0.020768,-1.263202
231,0.116243,0.608621,1.384293
232,0.606363,0.430640,1.458749
233,0.166522,0.525841,0.999737
234,0.901778,0.547723,0.017146
235,0.617533,0.758587,-1.276114
236,0.815320,0.593683,-0.844573
237,0.323659,0.280140,1.891446
238,0.127810,0.377371,0.834181
239,0.883207,0.608316,-0.808190
240,0.438834,0.579614,0.231023
241,0.092515,0.593774,1.828194
242,0.174716,0.409445,1.162279
