,x,y,z_pred
0,0.578759,0.527199,0.072937
1,0.532692,0.501411,1.060394
2,0.033295,0.612207,1.433344
3,0.045624,0.922515,-0.167293
4,0.295277,0.465187,-0.218864
5,0.526741,0.750500,-0.020236
6,0.646250,0.299275,1.708815
7,0.047776,0.035492,-1.289563
8,0.985534,0.442359,0.131646
9,0.923278,0.371847,0.900265
10,0.112261,0.417365,0.690023
11,0.444617,0.220554,2.728959
12,0.538277,0.876295,-0.350665
13,0.155337,0.483589,0.874113
14,0.920500,0.905257,-1.577021
15,0.374319,0.774166,-0.318587
16,0.127703,0.473503,0.738079
17,0.665415,0.397559,1.082812
18,0.410895,0.092302,2.936714
19,0.892561,0.314870,1.942453
20,0.669108,0.519692,1.023282
21,0.958450,0.026749,1.330273
22,0.849699,0.123659,1.060515
23,0.476326,0.298314,2.476985
24,0.620630,0.744228,-1.389225
25,0.672358,0.176150,2.478752
26,0.457481,0.192615,2.699263
27,0.217716,0.940566,-1.195218
28,0.374624,0.895430,-1.171995
29,0.646555,0.845304,-0.636441
30,0.757885,0.195178,2.447621
31,0.772824,0.484413,0.289247
32,0.182559,0.846143,-0.437291
33,0.176806,0.973404,-1.821699
34,0.116487,0.447547,0.564302
35,0.324651,0.843122,-0.986156
36,0.158389,0.747295,-0.227960
37,0.770260,0.207797,2.552313
38,0.747494,0.714656,-2.102657
39,0.187289,0.257832,0.783355
40,0.078233,0.817334,-0.877940
41,0.800443,0.394339,1.158135
42,0.700862,0.688640,-1.582797
43,0.121599,0.692210,-0.254728
44,0.806195,0.431724,0.317589
45,0.620447,0.707897,-1.223076
46,0.433722,0.414176,1.507618
47,0.848768,0.399664,1.219234
48,0.481239,0.370596,2.460051
49,0.906722,0.910140,-1.464495
50,0.624765,0.508873,0.474422
51,0.114321,0.091859,-0.521672
52,0.756359,0.074556,1.730909
53,0.696117,0.842802,-1.296162
54,0.987549,0.559625,0.452063
55,0.721309,0.991165,-0.888321
56,0.399756,0.268360,2.747655
57,0.988647,0.808362,-1.083453
58,0.299702,0.030365,0.933053
59,0.452583,0.974472,-1.033241
60,0.888197,0.670497,-1.470434
61,0.545602,0.743236,-1.024902
62,0.292622,0.445182,0.228920
63,0.105867,0.587808,1.054692
64,0.131548,0.073823,-0.396762
65,0.224216,0.484260,0.341749
66,0.384817,0.360662,2.377673
67,0.773236,0.724819,-2.983407
68,0.845243,0.244617,2.149109
69,0.756878,0.639704,-1.935526
70,0.276280,0.999634,-1.617469
71,0.784848,0.551400,0.031469
72,0.765835,0.035477,1.524546
73,0.121736,0.662379,0.034691
74,0.917342,0.137148,1.204757
75,0.373434,0.705333,0.491252
76,0.005570,0.344793,1.251482
77,0.586236,0.439765,0.568037
78,0.667643,0.848295,-0.815773
79,0.953811,0.214450,3.156268
80,0.732601,0.367163,0.708614
81,0.019272,0.899199,-0.759079
82,0.991363,0.938888,-1.600567
83,0.113848,0.733242,-0.591701
84,0.236362,0.718486,-0.584209
85,0.970657,0.517174,1.096613
86,0.862333,0.472374,0.334809
