,x,y,z_pred
0,0.377707,0.824811,0.001809
1,0.139315,0.867491,0.775426
2,0.765881,0.733227,-2.688478
3,0.600534,0.780789,0.238732
4,0.811658,0.045151,0.094983
5,0.124681,0.837629,0.663159
6,0.199496,0.901671,-0.399171
7,0.202716,0.587793,-0.375699
8,0.291218,0.185382,3.553786
9,0.597894,0.100404,2.676325
10,0.108721,0.451438,3.151642
11,0.020111,0.104265,1.621184
12,0.344259,0.182422,2.509548
13,0.048478,0.104692,-0.086186
14,0.201572,0.876478,0.254276
15,0.699687,0.016846,0.510320
16,0.643580,0.133837,3.675890
17,0.142245,0.785672,0.148808
18,0.323125,0.412604,0.591659
19,0.914626,0.493568,0.729448
20,0.097856,0.935241,0.775669
21,0.038468,0.014389,-1.435112
22,0.657801,0.831525,3.528401
23,0.245212,0.986801,-1.740420
24,0.963210,0.855604,0.052558
25,0.243717,0.607156,-1.882435
26,0.829480,0.255634,4.557024
27,0.393240,0.659541,0.630721
28,0.507256,0.107164,21.323517
29,0.602502,0.059449,2.646070
30,0.859419,0.316670,6.730346
31,0.501656,0.723430,-0.882375
32,0.259419,0.975784,-1.087893
33,0.727535,0.186221,4.954100
34,0.114290,0.985153,0.569293
35,0.984710,0.631739,1.323200
36,0.623697,0.568673,-0.760386
37,0.839673,0.134829,0.928799
38,0.682292,0.275166,2.649700
39,0.162478,0.808743,0.683406
40,0.661616,0.479362,0.521781
41,0.161532,0.517357,1.684965
42,0.654856,0.015396,0.662816
43,0.863157,0.212604,2.253528
44,0.564340,0.951110,1.049479
45,0.567468,0.568124,-0.993745
46,0.764569,0.345800,1.841200
47,0.465873,0.330632,5.145993
48,0.688319,0.360555,0.308391
49,0.996841,0.422110,0.425489
50,0.008392,0.628382,0.763379
51,0.600580,0.837659,1.069304
52,0.185214,0.999145,-1.082289
53,0.663783,0.461387,0.634904
54,0.357519,0.584115,-3.014508
55,0.246860,0.024857,0.538121
56,0.503365,0.652293,0.294679
57,0.929610,0.577111,1.735709
58,0.585245,0.093584,2.538986
59,0.246616,0.074723,1.091397
60,0.516716,0.957610,0.913988
61,0.052674,0.641703,1.235090
62,0.195712,0.830320,0.416222
63,0.156588,0.781460,0.468242
64,0.039109,0.882536,-0.247529
65,0.842573,0.072511,0.898272
66,0.039567,0.074266,-0.471937
67,0.573190,0.487205,-0.129411
68,0.881315,0.459113,0.927050
69,0.309560,0.024674,4.233663
70,0.099367,0.417639,4.057692
71,0.432258,0.973114,0.652147
72,0.424521,0.424216,0.413962
73,0.752422,0.910353,0.424496
74,0.371832,0.219242,2.973825
75,0.154376,0.217777,1.171844
76,0.194522,0.329671,2.907027
77,0.392493,0.167361,7.579875
78,0.444312,0.050111,22.185303
79,0.937621,0.772519,0.129064
80,0.139178,0.998795,0.338204
81,0.082704,0.699413,-0.089165
82,0.752483,0.672374,-1.677542
83,0.974472,0.162646,1.791436
84,0.604486,0.712886,-1.045400
85,0.645853,0.386877,0.777759
86,0.033783,0.120546,1.094526
87,0.317784,0.617807,-3.013820
88,0.505516,0.106661,23.036259
89,0.606256,0.965469,1.610352
90,0.799588,0.258198,8.025843
91,0.884825,0.988266,0.616618
92,0.864805,0.366278,4.556269
93,0.129412,0.372213,1.847829
94,0.109392,0.836164,0.624391
95,0.628428,0.957443,4.378918
96,0.057847,0.117754,-0.442779
97,0.998779,0.828382,0.539464
98,0.859739,0.166567,1.220540
99,0.006210,0.108766,2.015681
100,0.255436,0.756649,0.406738
101,0.397772,0.124559,22.162312
102,0.076265,0.112856,-2.221752
103,0.006867,0.088533,0.600332
104,0.422736,0.309270,3.359322
105,0.235676,0.093767,2.277537
106,0.297169,0.911559,-0.803910
107,0.548669,0.590875,-0.335290
108,0.512428,0.417716,3.823256
109,0.356268,0.988296,-0.303330
110,0.449241,0.873442,-0.175649
111,0.568383,0.897810,1.823419
112,0.707118,0.068589,1.872475
